PDF File Name,Job Role,Skills,Education
10554236.pdf,ACCOUNTANT,Accounting; General Accounting; Accounts Payable; Program Management.,"Northern Maine Community College 1994 Associate : Accounting City , State , USA
Emphasis in Business
1994 Associates : Accounting City , State , USA GPA: GPA: 3.41
Accounting GPA: 3.41 174 Hours, Quarter
Attended Husson College, major Accounting 78 semester hours toward Bachelors degree.
Professional Military Comptroller School, 6wk, 4-98; Managerial Accounting I, 09-98; Interested-Based Bargaining Training for Management,
24hrs, 09-01; Auditing Methods and Concepts 09-98; Organizational Leadership, 32hrs, 07-03; Management Development II, 32hrs, 07-03.
Certifications
Certified Defense Financial Manager, CDFM, May 2005
Interests
American Society Of Military Comptrollers
Additional Information
Skills
Accounting; General Accounting; Accounts Payable; Program Management."
10674770.pdf,STAFF ACCOUNTANT,"accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,
book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,
financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft
Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick
Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end
Additional Information
Activities: Alpha Sigma Phi: Officer and Chair positions January 2006- May 2010 Vice President Social Chair Greek Week Delegate
Livestrong Foundation: Bike-a-thon","Bachelor of Science : Accounting , May 2010 University of North Carolina ï¼​ City , State Accounting
Bachelor of Science : Business Administration Finance , May 2010 Business Administration Finance
Experience
Staff Accountant 
January 2014 to October 2014 Company Name ï¼​ City , State
Performed all month end functions to produce financial statements.
The functions include: reconciliation of the operating and payroll bank accounts, recorded sales for the month, recorded payroll journals,
accrued payroll, recorded sales tax, submitted sales tax to NC department of revenue, recorded inventory adjustments, and recorded
balance sheet month end entries.
Entered all payables and receivables for the 7 franchise locations.
Worked with vendors to resolve any situations that arose.
Reviewed and maintained that all needed franchise document were on file and up to date.
Worked directly with controller on year-end review.
Assembled all requested financial and legal documentation that was put into presentable formats.
Maintained weekly spreadsheet on collected franchise royalties and advertising fees.
This spreadsheet is used for the year-end audit.
Managed a company that owned and rented out 12 commercial properties of a shopping center to approved businesses.
Responsible for: negotiating rent rates for new or renewing tenants, writing leases, collecting rent, cash flow management, payables, and
resolving any tenant complaints or inquires.
Managed a company that was a small farming entity.
Responsible for maintaining cash flow, all payables, and setting up credit accounts with vendors.
Entered all payroll journals and maintained cash flow for company that employed labor to work at farming entity.
Filed North Carolina Annual Report for all companies managed by Cary Keisler Inc.
and verified that all were current on their filings.
Staff Accountant 
March 2013 to January 2014 Company Name ï¼​ City , State
Collect daily deposits for newly entered SOs as well the balance for any SO that has completed once a job status report has been ran.
Interact directly with customers on outstanding deposits and balances due.
Responsible for all PO and non PO payable entry/coding for all companies.
Work directly with vendors to resolve and discrepancy with payables.
Pull weekly-unpaid bills reports that are used for cash flow projections.
Complete weekly check run for all companies.
Reconcile monthly purchasing American Express credit card that ranges from $60,000.00 - $100,000.00+.
Helped facilitate roll of purchasing manager during turnover period from September 2013 - December 2013.
Responsible for ordering needed materials/supplies for factory production floor.
Worked directly with VP of Finance and members of the production floor in collection of data to develop unit valuation.
This information combined with continued data collection is being used for future bills of materials and job costing.
Staff Accountant 
April 2012 to March 2013 Company Name ï¼​ State
Lead reconciliation of Balance Sheet to ensure no discrepancy with General Ledger.
Research and resolve any transaction deviating from ordinary operations.
Run Project Cost Reconciliation at month end to ensure all billable expenses are posted to a project.
This ensures all enries are posted to the correct project and General Ledger account.
This provides billing information as well as the correct bottom line for each project.
Design Excel Spreadsheet for prepaid employee benefits for EOM reconciliation purposes.
Reconcile American Express accounts for SDI and Battleware.
10 Accounts) Responsible for all entry and custodial book keeping of SDI's fixed assets for depreciation purposes.
Daily reconciliation SDI's Operating, Interest Sweep, and Line of Credit accounts for most accurate cash projections.
Responsible for coding and entry of all Payables items for SDI and Battleware.
Prepare monthly Sales and Use Tax.
Financial Management Partner 
July 2010 to August 2011 Company Name ï¼​ City , State
Identified, reported, tracked, and resolved subsidiary ledger discrepancies in all phases of the revenues and receivables accounting
processes.
Provide an end to end financial statement assurance and accurate presentation by aiding and completing tasks in all areas of operations;
performing all monthly bank reconciliations, applying all required financial regulations in preparing and delivery of financial statements.
Provided Support to clients and other employees via email on implementations, software support, and financial reporting issues in all aspects
of day-to-day operations.
Trained new accounting department employees with functionality demonstration to assist in proficient accounting support and software
transitioning i.e.
QuickBooks, Peachtree and excel transitioning.
Able to perform duties of all departments of accounting including accounts payable, accounts receivable, legal coordination and transactional
audit and review.
Coordinate Lien and Foreclosure preparations, research ownership status and balance histories in order to accurately file legal claims on
behalf of our cliental.
Constant analysis of all clients' interim financial reports and comparative statements to verify the validity and monitor for inconsistency.
Prepare variance reports and explanations to quickly summarize areas of increased variances in expenses.
Assist other areas of management in fund accounting budget preparations and presentation at annual and monthly board meetings.
Coordinate and prepare materials for audits, review, and tax returns.
Assist in annual budget preparations, prepare billings for all cycles, perform all adjusting month end transactions and required G/L posting
entries required to correct errors or balance discrepancies.
Interests
Alpha Sigma Phi: Officer and Chair positions January 2006- May 2010 Vice President Social Chair Greek Week Delegate Livestrong
Foundation: Bike-a-thon
Skills
accounting, accounts payable, Accounts Receivable, ADP, advertising, AR, balance sheet, balance, bank reconciliations, benefits, billing, billings,
book keeping, budget, cash flow projections, cash flow, controller, Credit, clients, data collection, delivery, documentation, email, Finance,
financial, financial reporting, financial statements, fixed assets, General Ledger, inventory, job costing, ledger, legal, materials, meetings, Microsoft
Access, Microsoft Excel, Excel, Microsoft Word, negotiating, DBA, Payables, payroll, Peachtree, processes, coding, purchasing, Express, Quick
Books, QuickBooks, Research, Sage, Sales, Spreadsheet, Tax, software support, valuation, year-end
Additional Information
Activities: Alpha Sigma Phi: Officer and Chair positions January 2006- May 2010 Vice President Social Chair Greek Week Delegate
Livestrong Foundation: Bike-a-thon"
11163645.pdf,ACCOUNTANT,"accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi,
closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel,
Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow,
written","Skills
accounts payables, accounts receivables, Accounts Payable, Accounts Receivable, administrative functions, trial balance, banking, budget, bi,
closing, Computer Applications, Credit, clients, Customer Service, data entry, delivery, driving, email, insurance, inventory, ledger, Access, Excel,
Outlook, PowerPoint, Word, mortgage loan, Enterprise, policies, QuickBooks, Sales, sales reports, telecommunications, phone, workflow,
written"
11759079.pdf,SENIOR ACCOUNTANT,"accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets,
Funds, Government, Information Technology, inventory, investments, ledger, MA, Microsoft Excel, natural, page, payables, processes,
programming, Real Estate, research, sales, scheme, telephone, writing skills
Additional Information
COMMUNITY SERVICE, CERTIFICATIONS AND AWARDS Fulton County CASA Board of Directors Member, Treasurer. Plan
fund raisers, review budget and financial statements, and supervise CASA staff in not-for-profit organization that trains volunteers to mentor
children being pulled from their homes through the Fulton County court system for abuse and neglect. CPA, Hold an active Georgia license
and scored between 87 and 93 out of a possible 99 on each of the four sections of the CPA exam. CFE, Certified Fraud Examiner, which
requires passing four exams and two years work experience in preventing and detecting fraud. Recipient, 2007 John R. Jones Accounting
Award. Given annually by vote of Emory University Professors to recognize the top performing senior year student in academia, community
involvement, and character. Recipient, 2006 Ben Pius Award. Awarded by Emory Professors to recognize exceptional achievements by the
highest performing junior year accounting student at Emory University.","EMORY UNIVERSITY, Goizueta Business School 5 2007 Bachelor of Business Administration : Accounting City , State GPA: GPA: 3.63/4.0
GPA: 3.77/4.0 Accounting GPA: 3.63/4.0 GPA: 3.77/4.0
Interests
Fulton County CASA Board of Directors Member, Treasurer. Plan fund raisers, review budget and financial statements, and supervise CASA
staff in not-for-profit organization that trains volunteers to mentor children being pulled from their homes through the Fulton County court system
for abuse and neglect. CPA, Hold an active Georgia license and scored between 87 and 93 out of a possible 99 on each of the four sections of the
CPA exam. CFE, Certified Fraud Examiner, which
Skills
accounting, balance sheet, budgets, client, clients, derivatives, drafting, equity, financial, financial accounting, financial statements, fixed assets,
Funds, Government, Information Technology, inventory, investments, ledger, MA, Microsoft Excel, natural, page, payables, processes,
programming, Real Estate, research, sales, scheme, telephone, writing skills
Additional Information
COMMUNITY SERVICE, CERTIFICATIONS AND AWARDS Fulton County CASA Board of Directors Member, Treasurer. Plan
fund raisers, review budget and financial statements, and supervise CASA staff in not-for-profit organization that trains volunteers to mentor
children being pulled from their homes through the Fulton County court system for abuse and neglect. CPA, Hold an active Georgia license
and scored between 87 and 93 out of a possible 99 on each of the four sections of the CPA exam. CFE, Certified Fraud Examiner, which
requires passing four exams and two years work experience in preventing and detecting fraud. Recipient, 2007 John R. Jones Accounting
Award. Given annually by vote of Emory University Professors to recognize the top performing senior year student in academia, community
involvement, and character. Recipient, 2006 Ben Pius Award. Awarded by Emory Professors to recognize exceptional achievements by the
highest performing junior year accounting student at Emory University."
12065211.pdf,SENIOR ACCOUNTANT,"Aderant/CMS
Excel
QuickBooks Pro
SQL
AccessÂ 
Peachtree
Hyperion
Financial reporting
US GAAP principles
IFRS
Bookkeeping
Budget development
Individual tax returns
Essbase
Work History
Senior Accountant Mar 2006 - Current 
Company Name City , State 
Reconcile various balance sheet accounts not limited to cash and liability accounts, including bank statements, for the purpose of maintaining
the accuracy of the general ledger in accordance with cash, GAAP, and various international tax legislative basis.
Perform the primary liaison function for the interim and annual audits performed by Deloitte.Â 
Perform assigned schedules for interim and annual audits.Â 
Assist auditors with understanding of firm's internal controls which include revenue and expenditure cycle. Â 
Review and analyze journal entries from the original accounting source and if a variance from the general ledger is found, initiate discussions
with specialists in accounts receivable, accounts payable, payroll, and tax department to resolve the discrepancy.
Review and analyze international payrolls inÂ aspect of income tax, local tax, consumption tax, and fringe benefit deductions for Seoul,
Shanghai, and Tokyo office and upload into Aderant/CMS for posting into the general ledger.
Analyze and reconcileÂ value added tax for Vienna and Seoul office
Resolve currency fluctuation issues and record gains/losses related to currency exchange rates for the international offices of the firm by
using currency mode journal entries.
Analyze expatriate expenditures on monthly basis to be reported on W-2 form.
Prepare initial K-1 schedules to be filed by tax department
Prepare month-end various accrual journal entries including base wage, bonus, occupancy, prepaid property insurance, telecommunications,
and catering accruals.
Prepare and analyze expense allocations from firm general to local offices on a monthly basis.
Review and analyze inter-company transactions for Seoul, Shanghai, Tokyo, and Vienna office
Prepare monthly financial statements, which are shared with the partners and management of the firm.
Assist in translation of various fixed asset invoices from Seoul and Tokyo office and other Asian offices' travel expense reports.
Notable accomplishments: Found material misstatement in prepaid property insurance for the first quarter of '08 and made prospective
adjustments to the related general ledger accounts.
Provided clarity in Japanese payroll systems associated with health, welfare, and childcare allowance to the management and made
prospective adjustments to the related general ledger accounts.
Accountant Jan 2005 - Mar 2006 
Company Name City , State 
Maintain financial records in accordance with GAAP to be reported to a parent company and investors.
Analyze & reconcile G/L accounts and prepare semi-annual, and end year B/S, I/S, and statement of cash flows Coordinate with
warehouse manager to ensure daily shipping schedules.
Communicate with outside company's designated CPAs when tax issues arise.
Establish master employee payroll record file for information entry into payroll system.
Receive & compute hours, make deductions for 401K, health insurance, and other adjustments thru Paychex Prepare loan applications and
maintain factoring arrangements with A/R schedule.
Assist in training, guidance and coordination of accounts payable, accounts receivable, and other departments and site personnel.
Performed semi-annual inventory valuation.
Financial Analyst Aug 2002 - Jan 2005 
Company Name City , State 
Manage and forecast funds for Palm Desert National Bank sponsored 350 ATM terminals averaging 2.5 million on a weekly basis.
Reconcile & settle, and act as lead accountant for Innobeta Systems, Inc., (affiliate of Money Marketing, Inc.).
Prepare monthly Profit and Loss reports as to surcharge and interchange.
Analyze communication and armor carrier expenses as a temporary M&A team member during due diligence procedure of ATM World
Corp.
Analyze processing costs and network fees in terms of EFTs.
Prepare audit work papers, confirmations and other documentation to make the audit efficient and hold on audit fees in connection with
annual audit.
Perform analysis of general ledger accounts; prepared journal entries and adjustments to facilitate closings.
Assist in the preparation of full financial statements and footnotes for investors and lenders.
Review work of staff and operations to assure that certain daily procedures and reconciliations were performed routinely according to
policies and procedures.
Translate and prepare documents pertaining to defective parts of ComNet ATM Series assembled and distributed by Nextran Industries, a
subsidiary company of Chungho ComNet Co., Ltd.
Consult private investors and customer services.
Education
Bachelor of Business Administration : Accounting August 2002 
TEMPLE UNIVERSITY City , State 
Accounting Audit Project: ""Identifying potential risks that would impact the audit of Xerox Corp."" Select Courses: Advance Accounting,
Accounting Information System, Auditing & Assurance Services, Taxation
Interests
World travel/Photography/Golf/Soccer/Movie/Fashion
Certifications
Certified Public Accountant, New York State, Date of issued: 03/04/2015, License number: 117205
Additional Information
Activities: Vice President, APS (Accounting Professional Society) at Temple University, 2001 - 2002","Bachelor of Business Administration : Accounting August 2002 
TEMPLE UNIVERSITY City , State 
Accounting Audit Project: ""Identifying potential risks that would impact the audit of Xerox Corp."" Select Courses: Advance Accounting,
Accounting Information System, Auditing & Assurance Services, Taxation
Interests
World travel/Photography/Golf/Soccer/Movie/Fashion
Certifications
Certified Public Accountant, New York State, Date of issued: 03/04/2015, License number: 117205
Additional Information
Activities: Vice President, APS (Accounting Professional Society) at Temple University, 2001 - 2002"
12202337.pdf,INVESTMENT ACCOUNTANT,"Internet and Microsoft Office - MS Word, MS Power Point, MS Excel, Pivot Tables, Spreadsheets,
Macros.
* Business Objects, Lombardi, Eagle Accounting System, PEGA, DRAS, Workbench.
Account reconciliations
Detail-oriented
Variance analysis
Detail-oriented
Analytical
Expert in MS Office Suite
Account reconciliation expert
Effective time management
Complex problem solving
Superior research skills
Accomplishments
Multiple awards for performance.Formally recognized for excellence achieved in financial analysis, budgeting and forecasting.Increased efficiency
of discrepancy investigations by [Number]% by designing a more accurate cash-forecasting system.
Professional Experience
Company Name City , State Investment Accountant 10/2012 to 11/2015
Reconciled mutual fund accounts with the custody Identified and Resolved differences in Custody and Accounting Cash, Currency and
Positions using Eagle, IAX, Business Objects, Lombardi and Workbench Reports Communicated and Collaborated with other areas in the
firm, client, fund accountant, custodians that are impacted by the functions of the team Conducted weekly client meetings and act as liaison
between Accounting and custody to resolve any outstanding items in cash, currency and positions.
Completed special projects from the management as needed Trained, Oversee and assisted staff in offshore team (Pune, India) and acted as
a liaison between Pune Office and US.
Helped US team by performing tests on Pega Vs.
Business Objects and Eagle during the Platform Migration Trained new staff and assist them as needed to meet the department goals.
Ran daily reports for fund accountants using business objects and MS Database.
Award: Received a special achievement award at BNY Mellon Bank in Asset Servicing (Dec 2013) Award: Received a special
achievement award at BNY Mellon Bank in Asset Servcing (Dec 2014.
Company Name City , State AML Compliance Officer 11/2011 to 03/2012
Audited customer's bank accounts in the company's system Performed quality assurance reviews on customer information maintained on
various bank systems Reconciled the quality assurance results on spreadsheets Performed background search on clients using tools such as
world check and google search Finance Projects at UD Project 1: Group simulation project to develop the investment philosophy and
strategy to drive a simulated investment of $1,000,000 using Stock-Track.
Invested about 50% of our funds in moderate to high-risk investment in order to achieve capital appreciation; Invested about 25% of our
funds in low to moderate risk investment in order to preserve our capital.
Invested 25% of our funds in derivatives and rest in index fund, cash and money market.
Performed an analysis to determine the allocation of stocks by minimizing CV and graphed the daily returns for each stocks Performed
regression analysis and analyzed the regression statistics on weekly returns.
Performed an analysis on our group's portfolio with the market and with other groups.
Case analysis on Price Momentum Strategy Used price momentum model analysis to test whether the price momentum model will work on
US stock market as it did with the US Canadian stocks.
Used the weighted annual returns and created the worst outlook portfolio and the best outlook portfolio Selected the top eight performing
stocks for each quarter to create the best outlook portfolio and compared to the market to determine if the pricing momentum would hold
up.
Calculated the average return for each portfolio and rebalanced the portfolio and compared to the S&P 500 for each quarter within the
same time period.
Company Name City , State Medical Technologist 07/2008 to 03/2012
Clinical Microbiology Experience - Highlights include ordering, processing, plating and culturing patient's specimens Tests - Performing
rapid tests such as Rapid flu, C.Diff quick check and many more; Performing rapid and confirmatory tests to identify organism; Reading
Gram stain slides.
Other - Performing daily maintenance and running quality control on instruments.
Education
Master of Business Administration : Finance 2011 University of Delaware , City , State , USA
Finance
Bachelor of Science : Medical Technology 2008 University of Delaware , City , State , USA
Medical Technology
Related course work in Business: Financial Reporting and Analysis, Financial Management, Corporate Financial Policies, Investment Analysis and
Portfolio Management, Corporate Governance, Financial Engineering and Risk Management (Derivatives).
Languages
English, Marathi, Hindi, Gujarati
Personal Information
Excellent multitasking, analytical thinking, time management, negotiation, communication, organization and leadership skills
Additional Information
Excellent multitasking, analytical thinking, time management, negotiation, communication, organization and leadership skills
MS Office: Database, Macros, V-look up, Pivot tables, Outlook
Company Platforms: Business Objects, Workbench, Eagle, Pega, Lombardi, DRAS.","Master of Business Administration : Finance 2011 University of Delaware , City , State , USA
Finance
Bachelor of Science : Medical Technology 2008 University of Delaware , City , State , USA
Medical Technology
Related course work in Business: Financial Reporting and Analysis, Financial Management, Corporate Financial Policies, Investment Analysis and
Portfolio Management, Corporate Governance, Financial Engineering and Risk Management (Derivatives).
Languages
English, Marathi, Hindi, Gujarati
Personal Information
Excellent multitasking, analytical thinking, time management, negotiation, communication, organization and leadership skills
Additional Information
Excellent multitasking, analytical thinking, time management, negotiation, communication, organization and leadership skills
Skills
MS Office: Database, Macros, V-look up, Pivot tables, Outlook
Company Platforms: Business Objects, Workbench, Eagle, Pega, Lombardi, DRAS."
12338274.pdf,ACCOUNTANT,"3d, accounting, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, auditing, banking, book,
Budget preparation, contracts, cost analysis, credit, clients, debit, Dec, documentation, Dos, senior Management, finance, Financial, financial
management, Preparation of Financial Statements, HR, Inspection, Inventory, inventory control, Macro Media Director, MS Office, 2K,
Windows 9.x, works, MIS, modeling, Developer 2000, Oracle 8I, Oracle, payroll, policies, reporting, Sales, tax, Video Editing
Affiliations
Enter any professional organizations that you are involved in.
See Examples","2006
Vidyasagar University City , State , India MBA : Finance Finance
2000
Mohan Lal Sukhadia University City , State , India Select...
Skills
3d, accounting, Accountant, Accounts receivables, Adobe Illustrator, Adobe Photoshop, Pagemaker, Audio Editing, auditing, banking, book,
Budget preparation, contracts, cost analysis, credit, clients, debit, Dec, documentation, Dos, senior Management, finance, Financial, financial
management, Preparation of Financial Statements, HR, Inspection, Inventory, inventory control, Macro Media Director, MS Office, 2K,
Windows 9.x, works, MIS, modeling, Developer 2000, Oracle 8I, Oracle, payroll, policies, reporting, Sales, tax, Video Editing
Affiliations
Enter any professional organizations that you are involved in.
See Examples"
12442909.pdf,ACCOUNTANT,,"Bachelor of Science , Accounting Strayer University ï¼​ City , State"
12780508.pdf,ACCOUNTANT II,"Superior attention to detail
Invoice coding familiarity
QuickBooks expert
Self-motivated professional
Strong communication skills
Accounting operations professional
Cash flow analysis
Data trending knowledge
Advanced bookkeeping skills
Work History
Accountant II , 02/2017 to Current 
Company Name â€“ City , State 
Responsible for preparing and posting entries for the daily posting packet.
Verifies and balances system originated interfaces and posts non-system generated transactions prepared from other sources.
System originated interfaces refers to the Credit Union owned system as well as external systems, such as shared branching and ATM
transaction networks.
A monitor flow of credit union transactions from the various supporting systems into and out of the general ledger daily, and identifies and
resolves errors, omissions, and irregularities to provide accurate records for TFCU and its service organizations.
Calculates and posts month end and year-end accruals as needed.
Responsible for maintaining fixed assets and prepaid sub-ledger accounts.
Prepares budget variance reports for various departments as assigned.
Works with that department manager in preparation of annual budget.
Responds to inquiries from that manager regarding budgeted and actual expenses.
Prepares analyses as requested by manager and other departments.
Manages the accounts payable function - including employee/volunteer reimbursement - from processing incoming invoices, through cost
center coding, approval by appropriate party, input into the system, to check preparation and mailing.
Identifies vendors requiring an IRS Form 1099 and prepares the form and transmittal.
Manages the Corporate VISA accounts for managers and volunteers, including ordering and canceling cards, processing corporate Visa
accounts for payment, and resolving discrepancies.
Along with other Finance Department staff, processes outgoing and incoming wires, verifies those wires have all required documentation,
and works with branch staff to ensure incoming wires are posted and resolve issues.
Responsible for assisting with the preparation of financial statements.
Accountant , 06/2015 to 02/2017 
Company Name â€“ City , State 
40hrs Coordinate and supervise employees within Accounts Payable interacting with internal customers and external suppliers monitoring all
controls.
Oversee employee business expense processing for multiple business units leading projects such as system testing and implementation.
Communicate accounting policies practices and procedures with department manager's vendors and internal customers to ensure
compliance.
Maintains knowledge of all Credit Union processes which affect the general ledger, including share drafts, ACH, wire transfers, ATM,
Federal Reserve, and Credit Cards.
Responsible for reconciliation of the clearing accounts, including vault, transfer, on us, bond clearing and cashier check clearing among it's
stock ownership.
Responsible for preparing month end and posting entries.
Responsible for assisting with the preparation of financial statements.
Prepare verified processed and maintained a variety of order reconciliation functions.
Use office automated systems to input data generate reports conduct investigations and respond to inquiries.
Maintains records for vendors and accounts payable, including 1099s and corporate Visa accounts.
Accountant , 08/2013 to 06/2015 
Company Name â€“ City , State 
40hrs Perform a variety of support duties related to the accounting function within the credit union; assisting the accounting team in
maintaining the financial, statistical, and accounting records; Accounts Payable processing; posting general ledger entries; reconciling general
ledger accounts as assigned and miscellaneous filing/scanning of checks, invoices and branch daily work.
Prepare daily cash flow, examined, and analyzed accounting record, financial statements, ACH, wires, and other financial reports to assess
accuracy, completeness, and conformation to reporting and procedural standards.
Responsible and supervised two Accounting Clerks Staff, scheduling shifts, assigning responsibilities, answering questions, solving problems,
helping with complex transactions and sensitive member relations issues or concerns.
Articulate policies and procedures to members and department staff Maintains files, including filing of general ledger journal vouchers,
account payable documentation, and other miscellaneous fillings.
Print daily account payable checks and inserts checks and invoices into envelopes for mailing.
Verifies and posts details of business transactions, such as funds received and disbursed, and totals accounts, using calculator or computer.
Responsible for ensuring staff are adequately trained in all phases of their jobs; and informed regarding all credit union products and services
Effectively research, track, and resolve or properly refer accounting or documentation problems and discrepancies.
Maintains regular contact with other departments to obtain and convey information and/or to correct transactions.
Order cash from the Federal Reserve for the branches and ATMs in a timely manner.
Financial Service Representative/ Back-up Supervisor , 01/2011 to 08/2013 
Company Name â€“ City 
40hrs Provided customers with prompt, accurate, courteous and professional banking service.
Identified and referred sales opportunities to Relationship Bankers about products and services.
Utilized several mediums such as phone and emails to help customers.
Assisted customers with opening and closing of accounts.
Answered and resolved problems that are within my authority.
Accepted and processed loan applications and conduct loan interviews.
Assisted members with their financial transactions, involving paying and receiving cash and other negotiable instruments.
Maintained proper cash levels at the branch.
Responsible for cash shipments to and from main office to the branch.
Processed all commercial deposits, balanced vault daily.
Responsible for equipment maintenance; assisted staff with balancing problems.
Did random spot check with staff to ensure cash levels are within predetermined branch limits.
Education
Bachelor of Science Degree : Finance , May 2010 
University of Maryland - State 
Finance
Accounting, Accounting System, accounts payable, accruals, Articulate, ATM, banking, budget, Business Intelligence, calculator, cash flow,
cashier, closing, Credit, documentation, equipment maintenance, filing, Finance, Financial, financial reports, financial statements, preparation of
financial statements, fixed assets, funds, general ledger, general ledger accounts, ledger, mailing, Access, Excel, Microsoft Office, office,
PowerPoint, Microsoft Word, Works, networks, PeopleSoft, policies, processes, coding, receiving, reconciling, Maintains files, reporting,
research, sales, scanning, scheduling, phone, year-end","Bachelor of Science Degree : Finance , May 2010 
University of Maryland - State 
Finance
Skills
Accounting, Accounting System, accounts payable, accruals, Articulate, ATM, banking, budget, Business Intelligence, calculator, cash flow,
cashier, closing, Credit, documentation, equipment maintenance, filing, Finance, Financial, financial reports, financial statements, preparation of
financial statements, fixed assets, funds, general ledger, general ledger accounts, ledger, mailing, Access, Excel, Microsoft Office, office,
PowerPoint, Microsoft Word, Works, networks, PeopleSoft, policies, processes, coding, receiving, reconciling, Maintains files, reporting,
research, sales, scanning, scheduling, phone, year-end"
12802330.pdf,LEAD ACCOUNTANT,"accounting, Accounting Systems, ad, analytical skills, auditing, automation, billing, budgeting, budgets, Budget, business operations, business
process, Cash-Flow, cash flow, closing, contracts, CPA, Crystal Reports, Database Management, Essbase, senior management, financial,
Financial Accounting, financial analysis, financial analysis/planning, Financial Reporting, financial statements, fixed assets, Forecasting, general
ledger, Great Plains, Hyperion, inventory, ledger, law, market, MAS 90, Excel, MS Office, negotiation, Enterprise, Peachtree, personnel, policies,
pricing, processes, quantitative analysis, QuickBooks, reconciling, relationship management, reporting, researching, Research, sales, Sarbanes-
Oxley, Strategic Planning, Tax Preparation, tax, taxes, Trend","BS : Accounting Business Administration , 2005 University of Maryland University College ï¼​ City , State Accounting Business Administration
CPA Candidate
Skills
accounting, Accounting Systems, ad, analytical skills, auditing, automation, billing, budgeting, budgets, Budget, business operations, business
process, Cash-Flow, cash flow, closing, contracts, CPA, Crystal Reports, Database Management, Essbase, senior management, financial,
Financial Accounting, financial analysis, financial analysis/planning, Financial Reporting, financial statements, fixed assets, Forecasting, general
ledger, Great Plains, Hyperion, inventory, ledger, law, market, MAS 90, Excel, MS Office, negotiation, Enterprise, Peachtree, personnel, policies,
pricing, processes, quantitative analysis, QuickBooks, reconciling, relationship management, reporting, researching, Research, sales, Sarbanes-
Oxley, Strategic Planning, Tax Preparation, tax, taxes, Trend"
