PDF File Name,Job Role,Skills,Education
10186968.pdf,CHILD FAMILY ADVOCATE,"scheduling appointments
AS 400, budgets
call center
Customer service
financial, funds
Labor Relations
Leadership
Sales","l Coursework in Organizational Behavior, Compensation, Labor Relations and Recruitment l Continuing education in Human Services Greenville
College l Desktop publishing workshop ï¼​ City , State
Skills
scheduling appointments
AS 400, budgets
call center
Customer service
financial, funds
Labor Relations
Leadership
Sales"
10344379.pdf,Summary,"ARMY, benefits, billing, blueprints, call center, catalogs, coaching, customer service, financial, hand tools, Inspect, Logistics, mechanical, mail,
power tools, quality, Read, recording, Research, safety, scheduling, soldering, Solder, Supply Chain Management, phone, troubleshooting, typing,
wiring","Logistics and Supply Chain Management - Post Secondary Training Certificate 2011 Florida State College at Jacksonville - City , State
Diploma 2003 Concorde Career Institution - City , State Military Service: 84 - 92 UNITED STATES ARMY Communications Specialist -
Received Honorable Discharge
Skills
ARMY, benefits, billing, blueprints, call center, catalogs, coaching, customer service, financial, hand tools, Inspect, Logistics, mechanical, mail,
power tools, quality, Read, recording, Research, safety, scheduling, soldering, Solder, Supply Chain Management, phone, troubleshooting, typing,
wiring"
10659182.pdf,SUBSTITUTE TEACHER,"adaptive equipment, administrative duties, appointment setting, agency, blood pressure, CNA, consultant, CPR (Certified, first aid, Home Care,
team building, meal prep, Medical terminology, medication management, meetings, bathing, policies, quality, record keeping, recording, scheduling,
supply inventory, teaching, phones, therapy, vision, wounds, written communication","Bachelor of Arts , Psychology /minor Social Work 2012 GOVERNOR STATE UNIVERSITY ï¼​ City , State Psychology /minor Social Work
Associate of Science , Psychology 2004 South Suburban College ï¼​ City , State Psychology
Skills
adaptive equipment, administrative duties, appointment setting, agency, blood pressure, CNA, consultant, CPR (Certified, first aid, Home Care,
team building, meal prep, Medical terminology, medication management, meetings, bathing, policies, quality, record keeping, recording, scheduling,
supply inventory, teaching, phones, therapy, vision, wounds, written communication"
10818478.pdf,EXPRESS SCRIPTS,"Administrative
Cash handling
Excellent communication
interpersonal skills
Detail-oriented merchandising
Self-motivated
70 WPM","High School Diploma : Business/ Computers Camden County High School ï¼​ City , State
Skills
Administrative
Cash handling
Excellent communication
interpersonal skills
Detail-oriented merchandising
Self-motivated
70 WPM"
11174187.pdf,RN / ASST. HEAD NURSE PRACTICE LEADER,"care planning, Case Management, Home Health, Hospice, Infection control, injections, Nurse Manager, Oncology, scheduling, staff development,
Trauma, triage, tutoring, Urology
Experience
09/2010 to 12/2011
Company Name
Hired as ADON (Assistant Director of Nursing) for an 85 to 90 bed long term care of Mentally and Physically disabled children from 2
years to upper 20's with a few older individuals.
My job there included staffing of all the nurses monthly, setting up transportation for all outside MD office visits of the residents, monitoring
the 3 nursing units of day to day care and documentation of the residents, taking call as needed and twice a month being MOD for the entire
building ,I conducted in-services for the nursing staff and answered all pages during the day with questions or to oversee any critical changes
of residents and helped with decisions to transfer out to a hospital after speaking with the MD.Helped with staff nursing as needed.
Secured a Home Health position at ResCare located in Oak Park Illinois in 2015.
I made home visits overseeing clients overall health.
Did basic assessments and listened for any new complaints or change of status.
Would call clients doctor if needed or to inform him of a change in status.
Gave injections/ infusions as needed and participated in one clinical trial where all aspects of visit were timed and documented as per
protocal.
I am still registered with this agency but they have very few clients in need of an RN visit.
Most of their clients only need part time CAN visits.
Secured an RN position in July 2016 at Best Home Health where I did home visits part time.
The jobs that were available for part time were minimal so took myself off their roster.
In the fall of 2016 worked for Maxim Home Health asking for part time for Infusion cases.
Again I was promised infusion cases but what were available Were ones 40 miles away and they didn't cover milage.
I still am on their roster but rarely called.
Currently looking for Part Time RN on line or going into a facility not more than 30 minute drive to do tutoring or online triage or willing to
learn Case Management or PT Oncology/Hospice Additional professional activities Was OCN certified in past Was Med / Surg certified in
past and plan to recertify in future.
Was team nurse of North Shore Youth Baseball League for 4 years References Dr.
Emil Totonchi MD.
Advocate Illinois Masonic Med.
Center** Dr.
Michael Friedman MD.
Advocate Illinois Masonic Med.
Center** Beverly Bohus RN, Nurse Manager Advocate Illinois Masonic Med.
Center** Lorel Hedges Nurse Practioner.
Advocate Illinois Masonic Med.
Center now works in Tennessee Uma Kelkar Director of Rehab Manor Care of Northbrook Jean Gavina Director of MDS, Manor Care
of Northbrook Elma Ramos RN , Evening Nursing Supervisor, Manor Care of Northbrook Contact information available upon request.
06/2009 to 07/2010
Company Name
Started out as a Supervisor but was promoted to DCD (Director of Care Delivery) managing a 40 bed Locked Dementia Unit and later a
60 bed Long Term Care Unit and recently back to the Dementia Unit along with the Long Term Care Unit.
Duties included: Leading the nursing unit, setting priorities, staff development ,upholding Corporate Standards, communicating through
existing information systems, and material management, Clinical Management: Infection control, QA, understanding Professional issues,
valuing every employee, supporting and leading company policies, attending interdisciplinary meetings twice daily, weekly and monthly
meetings such as Medicare meetings, investigation of all falls and skin injuries, and new admissions care planning.
Monthly Staff Meetings.
Assists with hiring and disciplinary actions.
Resigned July 2010 Want to take some vacation time, and to find a Long Term Care Management position somewhat closer to my home.
01/1977 to 01/2009
RN / Asst. Head Nurse Practice Leader Company Name ï¼​ City , State
Responsible for management of Unit on 24 hr basis including staffing, scheduling, and payroll.
Monitor staff of RN's, NCT's, and Unit Clerks for daily assignments on going learning needs, and occasionally fill staff RN voids.
Reported to Nurse Manager on daily basis for any additional tasks and to keep her current to Units activities and problems.
Helped Nurse Manager in interview process and in both disciplinary activity and in employee terminations .Sought out and scheduled in-
services for staff and made sure all staff attended required hospital mandatories yearly and when required.
01/1977 to 01/2009
Company Name ï¼​ City , State
Started nursing career as RN on general Med / Surg Unit for 2 years.
Recruited by MD Chairman of Oncology to be part of staff to open 1st Oncology inpatient Unit.
Promoted also to Assistant Head Nurse.
Worked there for next 20 years.
Earned OCN certificate.
Helped instruct all RNs on unit to become certified to mix Chemo drugs via Laminar Flow Hood and to administer drugs safely and monitor
for side effects and manage such symptoms.
Beside management duties was also responsible for taking a patient load on many days during the week.
In 1999 changed to Surgical / 23hr Observation Unit at Illinois Masonic Med Center as Staff RN.
After approximately 4 years promoted to Practice Leader,(equal to Asst.
Head RN ) Duties expanded as Computers installed to all Units.
Responsible for computer profiency and scheduling staff to Computer Classes and monitoring their progress in daily charting on patients.
Attended workshops to learn computer scheduling and payroll duties.
Attended 2 day seminar for PICC LINE insertion and management.
At one point headed the PICC LINE program for all the PICC RNs and kept the records for all PICCs placed in patients and any
complications and later problems, Became Nationally certified for Med / Surg Nursing after taking exam and passing.
Types of Surgical patients seen on thisUnit include Gyne, Urology, General Surgical, Trauma, Post SICU Head and Neck, General ENT
patients and Fetal Demises less than 20 weeks.
Due to the number of private rooms on the unit we also would take all types of Isolation including R/O TB into our Negative Air Flow
room.
Many of the patients were short stay anywhere from overnight to 2-3 days.
Some of the patients as overflow Medicals, Isolation, and the more extensive Head and Neck Surgical patients would stay 4-5 days or
more.
As a result this Unit was fast paced.
Many days up to half the unit would be discharged and within 1-2 shifts all the beds would be filled with new patients.
My main job on a daily basis was to manage placing patients correctly and to oversee assignment of competent staff to the types of patients
coming in.
I made frequent rounds to assure pt satisfaction and to quickly aid in preventing and problems from escalating.
I had to monitor staff learning needs and try to set up needed review or Unit based in-service and also try to send staff to outside learning
seminars as budget allowed.
On daily basis was responsible for checking"" State of the Unit "" printed daily and included all the areas of staff charting that was missing or
incorrect.
I would make sure all shifts of staff were aware of missing documentation and have them correct such or help them with correction as
needed.
Attended staffing daily to make sure last minute changes done and next two shifts had adequate staffing.
Education and Training
1976
RN Diploma Illinois Masonic School of Nursing ï¼​ City , State
1974
Northeastern Illinois University ï¼​ City , State
1973
Western Illinois University ï¼​ City , State
Additional Information
Awards received Dorothy Rome Nominee in 1999 ( Highest yearly award for Experienced RNs ) Awarded many ""Applause AwardsÂ´""
during the years at Masonic. ( A nominated award for Excellence ) Asked to Head up the PICC Line Program until turned over to
Interventional Radiology All of the above from Advocate Illinois Masonic Medical Center.","1976
RN Diploma Illinois Masonic School of Nursing ï¼​ City , State
1974
Northeastern Illinois University ï¼​ City , State
1973
Western Illinois University ï¼​ City , State
Additional Information
Awards received Dorothy Rome Nominee in 1999 ( Highest yearly award for Experienced RNs ) Awarded many ""Applause AwardsÂ´""
during the years at Masonic. ( A nominated award for Excellence ) Asked to Head up the PICC Line Program until turned over to
Interventional Radiology All of the above from Advocate Illinois Masonic Medical Center."
11188218.pdf,CUSTOMER ADVOCATE,"Scheduling
Travel booking
Minute Taking
Customer Service
Critical Thinking
Creative Problem Solving
Cellular Expert
Troubleshooting Smartphones
Troubleshooting Network Connections
Troubleshooting Internet and Wi-Fi Connections
Core Accomplishments
Calendaring Â 
Planned all meetings and travel for CEO.
Process Improvement Â 
Oversaw implementation of new phone system which resulted in more cost-effective service.
Research Â 
Investigated and analyzed client complaints to identify and resolve issues.
Multitasking Â 
Demonstrated proficiencies in telephone, e-mail, fax and front-desk reception within high-volume environment.
Customer Service Â 
Handled customers effectively by identifying needs, quickly gaining trust, approaching complex situations and resolving problems to
maximize efficiency.
Payroll Assistance Â 
Assisted with payroll preparation and entered data into cumulative payroll document.
Professional Experience
Customer Advocate 
September 2007 to March 2015 Company Name - City , State
Answered a high volume of incoming calls in a national call center from current and prospective customers as well as sales associates
Actively listened to each client to ensure complete understanding of their concerns and provided innovative and individualized solutions
Conducted complex problem solving and made sure each client obtained resolution, reassurance and positive customer service experience
at the end of their phone calls
Accessed client account database to retrieve information and update changes, all the while maintaining personable and professional phone
conversations with customers
Flexibly adjusted communication styles to each caller, particularly in terms of their level of familiarity with cellular technology and service
structures, to ensure that they understood instructions, policies and procedures
Administered device-related troubleshooting
Kept records of customer interactions or transactions, recording details of inquiries, complaints, or comments, as well as actions taken
Maintained up-to-date knowledge of constantly changing services and products, in order to provide customers with the accurate information
and best solutions.
Legal Secretary 
January 2006 to May 2007 Company Name - City , State
Prepared court documents, deeds, real estate transfer statements, purchase agreements, contracts, power of attorney, wills, and routine
correspondence
Performed accounting duties including accounts receivable, accounts payable, entry of time slips, monthly billing, payroll, payroll taxes, and
balancing of trust accounts and estates
Greeted clients and offered them seats as they waited, updating them of their appointment status
Scheduled appointments for clients, administering reminders for both clients and lawyers
Ensured the office was well-stocked with supplies and organized for the maximum efficiency.
Administrative Assistant/Customer Service Rep 
August 2005 to January 2006 Company Name - City , State
I worked directly with the President of Doane College and the Chief Financial Officer to schedule and plan meetings and events, put together
materials for the fall board meeting, took minutes, handled board member inquiries, booked travel arrangements and created itinerary for work
trips.
Retail Banking Representative II 
June 2002 to August 2003 Company Name - City , State
I provided excellent customer service, assisting customers with account inquiries via phone and in person
Opened accounts, solved problems and cross-sold financial products
Scanned checks, daily balancing of my drawer, the ATM, vault and total branch balancing
Education
Bachelor of Arts : Majors: Fine Art and Biology , 1985 Doane College - City , State
Presidents Scholarship, Doane College - 4 years
Outstanding Achievement Scholarship, Doane College- 4 years
Pallet Scholar Award, Doane College- 4 years
American Legion Award, Loup City, NE - 1981
Special Recognition Award for Outstanding Yearbook Editor - 1985
Mary L. Chapin Senior Art Award, Doane College - 1985
Yearbook Editor and Co-Head Photographer -1984 and 1985
President and member, Delta Chi Upsilon Sorority
President and member, Doane Art League
Art Editor, XANADU literary magazine
Alpha Lambda Delta and Cardinal Key Honor Societies
GPA: 3.44
Office and accounting - accounts payable, accounts receivable, payroll, billing, taxes
Customer service excellence and executive administrative assistance - personal banker, national call center representative for major
wireless company, secretary for President of a college, secretary for a lawyers office
Problem solving and critical thinking - billing, service, sales, wireless network troubleshooting, wireless device troubleshooting","Bachelor of Arts : Majors: Fine Art and Biology , 1985 Doane College - City , State
Presidents Scholarship, Doane College - 4 years
Outstanding Achievement Scholarship, Doane College- 4 years
Pallet Scholar Award, Doane College- 4 years
American Legion Award, Loup City, NE - 1981
Special Recognition Award for Outstanding Yearbook Editor - 1985
Mary L. Chapin Senior Art Award, Doane College - 1985
Yearbook Editor and Co-Head Photographer -1984 and 1985
President and member, Delta Chi Upsilon Sorority
President and member, Doane Art League
Art Editor, XANADU literary magazine
Alpha Lambda Delta and Cardinal Key Honor Societies
GPA: 3.44
Skills
Office and accounting - accounts payable, accounts receivable, payroll, billing, taxes
Customer service excellence and executive administrative assistance - personal banker, national call center representative for major
wireless company, secretary for President of a college, secretary for a lawyers office
Problem solving and critical thinking - billing, service, sales, wireless network troubleshooting, wireless device troubleshooting"
11773767.pdf,BENEFIT ADVOCATE SUPERVISOR,"account management, Agency, benefits, Billing, Cisco, Coach, Coaching, com, Counseling, Client, client relations, customer relations, Customer
Service, Customer Care, direction, Hiring, HR, Insurance, Kronos, Law, Letters, meetings, mentoring, Excel, MS Office, SharePoint, MS
Windows, Needs Analysis, Enterprise, Newsletter, organizing, peak, performance reviews, pivot tables, Policies, Problem Solving, improve
processes, Project Management, quality, quality assurance, Research, Selling, sales support, Scheduling, Supervising, technical support, Employee
Development, Training Materials, underwriter, Underwriting, Articles","Research Current Certified Insurance Councilor - Agency Management, Life & Health, Commercial Property Goal to complete Personal Lines
and Commercial Casualty by the end of the year 2016 to earn my CIC designation.
Skills
account management, Agency, benefits, Billing, Cisco, Coach, Coaching, com, Counseling, Client, client relations, customer relations, Customer
Service, Customer Care, direction, Hiring, HR, Insurance, Kronos, Law, Letters, meetings, mentoring, Excel, MS Office, SharePoint, MS
Windows, Needs Analysis, Enterprise, Newsletter, organizing, peak, performance reviews, pivot tables, Policies, Problem Solving, improve
processes, Project Management, quality, quality assurance, Research, Selling, sales support, Scheduling, Supervising, technical support, Employee
Development, Training Materials, underwriter, Underwriting, Articles"
11963737.pdf,SENIOR CLIENT ADVOCATE II,"Data analysis Business artifacts documentation
Strategic planning Business development
Team player Workflow analysis
Product launches Brand management
MS Project SQL and databases
Risk mitigation and management Data mapping
Service-oriented architecture Release planning
Collaboration tools Test case scenarios
Requirements gathering Gap analysis
Experience
12/2002 to 12/2017
Senior Client Advocate II Company Name ï¼​ City , State
SuppCRAIG Gabron
CRAIG Gabron orted BlueCross BlueShield of South Carolina's TRICARE (Military Health Insurance) line of business functioning in an
analyst role.
This position required an ability to work in a matrix environment across cross-functional teams and the ability to produce results in a highly
dynamic and formative environment.
Duties and responsibilities included: Documented business processes and analyzed procedures to see that they would meet changing
business needs.
Assessed the impact of current business processes on users and stakeholders.
Conducted interviews with key business users to collect information on business processes and user requirements.
Identified process inefficiencies through gap analysis.
Increased annual revenue by 5% by recommending improvements in efficiency for routine pricing updates.
Performed TRICARE bench marking analysis and identified savings opportunities and potential product enhancements.
Researched and resolved issues regarding extracting data from a clinical EHR for HEDIS measure calculation for two HEDIS measures,
Colorectal Cancer Screening (COL) and Controlling Blood Pressure (CBP).
Implemented user acceptance testing with a focus on documenting defects and executing test cases using HP's Application Lifecycle
Management tool.
Managed testing cycles, including test plan creation, development of SQL scripts and co-ordination of user acceptance testing.
12/2002 to 12/2017
Senior Client Advocate II Company Name ï¼​ City , State
Managed the relationship between the Health Net, BlueCross Operations and BlueCross Information Systems Application areas with ten
direct reports.
Optimized and managed research and development spending through collaboration with key business leaders.
Trained four new employees on accounting principles and company procedures.
Created periodic reports comparing budgeted costs to actual costs.
Suggested budgetary changes to increase company profits.
Provided timely actuals, forecast and budget data for IT and corporate management.
Worked with management at the project level to ensure expense plans are achieved.
03/1992 to 11/1996
Manager Information Systems City , State
Managed the relationship with Cable and Wireless Communications in London, England on the installation of a telecom billing system,
leading a team of 12 analysts and programmers in the analysis, design and coding of the international telecommunications commercial billing
software.
Gathered detailed use cases and requirements through regular on-site visits, virtual meetings and customer advisory board sessions.
Translated business goals, feature concepts and customer needs into prioritized product requirements and use cases.
Collaborated with the sales, marketing and support teams to launch products on time and within budget.
Coached and mentored twelve new staff members, including conducting performance reviews.
Led communication with stakeholders regarding product goals and progress made.
Tested and implemented new technology-based global projects such as international telephone billing system.
Created innovative and intuitive product features such as a packetize billing system.
Education and Training
1976
Bachelor of Science : Health and Physical Education Computer Science and Information Technology Computer Science Slippery Rock University
of Pennsylvania Northampton Community College ï¼​ City , State Health and Physical Education Computer Science and Information Technology
Magna Cum Laude Computer Science
1980
Computer Science Computer Science
billing system, Blood Pressure, Brand management, Business development, business processes, Cancer, Data analysis, sales, SQL,
telecommunications, telecom","1976
Magna Cum Laude Computer Science
1980
Computer Science Computer Science
Skills
billing system, Blood Pressure, Brand management, Business development, business processes, Cancer, Data analysis, sales, SQL,
telecommunications, telecom"
12171093.pdf,COMMUNITY ADVOCATE,"Filing, Professional and friendly, Careful and active listener, Multi-tasking","Dietetics CALPOLY Pomona ï¼​ City , State , USA Minor in Psychology
Associate of Science , Social and Behavioral Sciences 2012 Citrus College ï¼​ City , State , USA Minor in Psychology
High School Diploma , General 2008 Charter Oak High School ï¼​ City , State , USA
Skills
Filing, Professional and friendly, Careful and active listener, Multi-tasking"
12544735.pdf,PATIENT ADVOCATE,"allergies, Attention to detail, CPT, clients, emotional support, forms, home health, hospice,ICD-9, ids, insurance, leadership, law, Medical
terminology, coordinate patient care, processes, coding, Quality assurance, Safety, Self-motivated, team player, type, written","Master of Public Administration : Health Care Management Grand Canyon University ï¼​ City , State Health Care Management
2011
Bachelor of Science : Family and Human Development Arizona State University ï¼​ City , State Family and Human Development
Skills
allergies, Attention to detail, CPT, clients, emotional support, forms, home health, hospice,ICD-9, ids, insurance, leadership, law, Medical
terminology, coordinate patient care, processes, coding, Quality assurance, Safety, Self-motivated, team player, type, written"
