PDF File Name,Job Role,Skills,Education
10182582.pdf,KEY HOLDER,"cash register, closing, Strong interpersonal skills, customer service, debit, fashion, inventory, Excel, MS Office, Microsoft Outlook, Word,
policies, quality, Real Estate, sales, trainer, workflow","Certificate: Current Temple Real Estate school : Marketing 2008 Virginia Union University City , State Marketing
Skills
cash register, closing, Strong interpersonal skills, customer service, debit, fashion, inventory, Excel, MS Office, Microsoft Outlook, Word,
policies, quality, Real Estate, sales, trainer, workflow"
10562768.pdf,ASSISTANT BANKING CENTER MANAGER I,"accounts payable, accounts receivable, Analyst, Banking, Basic, Bloomberg, CISCO, CITRIX, Coach, CPR, customer service skills, Databases,
Financial, First Aid, general management, HOGAN, Instructor, Insurance, leadership, TEAM building, marketing strategies, Mentor, all Microsoft,
MS Office Suite, Office, Network, payroll, policies, problem-solving, radio, reporting, research, Retail, Sales, Securities, Strategic, Vision","Bachelor of Science 2008 Oakland University , City , State
Basic Training, Fort Leonard Wood, MO (2009) Advanced Individual Training (SIGINT Training), Goodfellow AFB, TX 2010
2016 Cochise College , State
Masters of Business Administration 2016 Oakland University
Network Plus Certification ( 2016
Expected) Security Plus Certification 2016
Certifications
YMCA Certification, Red Cross/Ellis Lifeguard Certification, Water Aerobics Certification, CPR/First Aid/AED Certification, USA Certified
Swim Coach, Swim Instructor Certification. *Increased North Oakland Waves Swim Team membership by 47%. *Lead swim instructors and
lifeguards in monthly CPR/AED/First Aid Training. Primary Databases and Software Used
Skills
accounts payable, accounts receivable, Analyst, Banking, Basic, Bloomberg, CISCO, CITRIX, Coach, CPR, customer service skills, Databases,
Financial, First Aid, general management, HOGAN, Instructor, Insurance, leadership, TEAM building, marketing strategies, Mentor, all Microsoft,
MS Office Suite, Office, Network, payroll, policies, problem-solving, radio, reporting, research, Retail, Sales, Securities, Strategic, Vision"
10738095.pdf,INDEPENDENT BEAUTY ADVISOR,"10-Key, Account Management, Active Learning, Calendaring, Client Relations, Computer Proficiency, Creative Problem Solving, Critical
Thinking, Customer Needs Assessment, Customer Service, Data Collection, Data Entry, Documentation, Email, Filing, Grammar, Scheduling,
Awards
Who's Who Among American High School Students 2000Â 
Who's Who Among American High School Students 2000Â 
Outstanding student award: Dean's List Lonestar College Montgomery Campus Fall 2011 
Certifications
Casualty and Property P&C Insurance License received 2011","Lone Star College Montgomery ï¼​ City , State , USA Associate of Arts Business Administration Coursework in Business Administration and
Organizational Development , degree not completed
Skills
10-Key, Account Management, Active Learning, Calendaring, Client Relations, Computer Proficiency, Creative Problem Solving, Critical
Thinking, Customer Needs Assessment, Customer Service, Data Collection, Data Entry, Documentation, Email, Filing, Grammar, Scheduling,
Service Orientation, Speaking, Spreadsheets, Telephone Skills, Type 35 WPM, Typing, Writing, Letters and Memos, Lotus Notes, Microsoft
Excel, Microsoft Office Suite, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Multi-Task Management, Organizational Skills.
Awards
Who's Who Among American High School Students 2000Â 
Who's Who Among American High School Students 2000Â 
Outstanding student award: Dean's List Lonestar College Montgomery Campus Fall 2011 
Certifications
Casualty and Property P&C Insurance License received 2011"
10876132.pdf,SPECIAL INVESTIGATIVE UNIT I,,"Continuing education through Infinity Insurance.
Bachelor's degree : Fine Arts , 2005 Pennsylvania Academy of Fine Arts ï¼​ City , State
Fine Arts
2001 Hussian School of Art ï¼​ City , State
Four year commercial art school, transferred after two years to PAFA
High School Diploma : 1999 Woodstown-Pilesgrove High School ï¼​ City , State
Additional Achievements
Founder and Owner of Warrior Class LLC
Certified Instructor in Israeli Krav Maga"
11232471.pdf,SOFTLINES MANAGER,"Master at executing and enhancing Game-plans
Proficient in opening and closing store procedures, including cash office execution.","High School Diploma : General Studies , 2000 Mount Everett Regional High School ï¼​ City , State , USA
Professional Recognitions
Shrink Defender of the Month Â 
August 2008, July 2009, December 2010, February 2011, April 2014 Â 
Enforcing company policies and procedures to ensure the protection of company assets.
Skills
Master at executing and enhancing Game-plans
Proficient in opening and closing store procedures, including cash office execution."
11409460.pdf,BUYER/PLANNER,"Solid Works, CAD, Matlab and MS Office
Process Implementation
Languages
English, Portuguese, Spanish)
Experience
Buyer/Planner 
May 2016 to Current Company Name ï¼​ City , State
Plan and execute forecasting strategies for mass production planning.
Collaborate with cross-functional groups including Engineering, Shipping/Receiving, Purchasing, and Sales.
Negoatiate proposals for potential suppliers, including quantitative and qualitative research.
Obtain documents, clearances, certificates, and approvals from local, state and federal agencies.
Work closely with Production to convert weekly plan into daily work center schedules that manage constraints of manpower, equipment
and optimize costs.
Logistics Analyst 
February 2015 to May 2016 Company Name ï¼​ City , State
Managed ERP system to monitor the status of incoming materials.
Released work orders to the production floor as inventory became available.
Coordinated expedited shipping orders request with Production Manager.
Interacted with cross-functional teams like sales, production, and the executives.
Analyzed incoming requisitions and shortages reports for quality, specification, pricing and delivery requirements.
Translated business needs and priorities into actionable logistics strategies.
Warehouse Executive 
February 2011 to January 2015 Company Name ï¼​ City , State
Represented the Operations Group in receiving all Inventories from Vendor deliveries.
Participated in joint receiving and inspection of all Shipyard Spare Parts deliveries and liaise closely with the Procurement Team on
scheduled deliveries.
Utilized Maximo system to electronically track inventory flow, bin storage, and reconcile inventory.
Ensured Warehouse was kept in a safe and efficient manner with Inventory properly labeled and sorted for easy identification and picking.
Supervised periodic stock-take and conducted investigation for any discrepancies.
Carried out the daily issuance of Tools & Inventory to shipyard personnel base on Inventory requests and Work Orders.
Monitored Stock Levels and reordered Inventory when low.
Ensured Inventory is stored in accordance with best practices and chemical storage complies with GHS Classification.
CAD, delivery, English, ERP, forecasting, functional, inspection, Inventory, leadership skills, logistics, materials, Matlab, MS Office, personnel,
Portuguese, pricing, Procurement, Production Manager, proposals, Purchasing, qualitative research, quality, Fast learner, Receiving, Sales,
Shipping, Solid Works, Spanish, specification, Strategy & Planning, Supply Chain","Bachelor of Science : Petroleum Engineering , Jul Texas A&M University ï¼​ City , State Petroleum Engineering
[Number] GPA 
Skills
Solid Works, CAD, Matlab and MS Office
Process Implementation
Languages
English, Portuguese, Spanish)
Experience
Buyer/Planner 
May 2016 to Current Company Name ï¼​ City , State
Plan and execute forecasting strategies for mass production planning.
Collaborate with cross-functional groups including Engineering, Shipping/Receiving, Purchasing, and Sales.
Negoatiate proposals for potential suppliers, including quantitative and qualitative research.
Obtain documents, clearances, certificates, and approvals from local, state and federal agencies.
Work closely with Production to convert weekly plan into daily work center schedules that manage constraints of manpower, equipment
and optimize costs.
Logistics Analyst 
February 2015 to May 2016 Company Name ï¼​ City , State
Managed ERP system to monitor the status of incoming materials.
Released work orders to the production floor as inventory became available.
Coordinated expedited shipping orders request with Production Manager.
Interacted with cross-functional teams like sales, production, and the executives.
Analyzed incoming requisitions and shortages reports for quality, specification, pricing and delivery requirements.
Translated business needs and priorities into actionable logistics strategies.
Warehouse Executive 
February 2011 to January 2015 Company Name ï¼​ City , State
Represented the Operations Group in receiving all Inventories from Vendor deliveries.
Participated in joint receiving and inspection of all Shipyard Spare Parts deliveries and liaise closely with the Procurement Team on
scheduled deliveries.
Utilized Maximo system to electronically track inventory flow, bin storage, and reconcile inventory.
Ensured Warehouse was kept in a safe and efficient manner with Inventory properly labeled and sorted for easy identification and picking.
Supervised periodic stock-take and conducted investigation for any discrepancies.
Carried out the daily issuance of Tools & Inventory to shipyard personnel base on Inventory requests and Work Orders.
Monitored Stock Levels and reordered Inventory when low.
Ensured Inventory is stored in accordance with best practices and chemical storage complies with GHS Classification.
Skills
CAD, delivery, English, ERP, forecasting, functional, inspection, Inventory, leadership skills, logistics, materials, Matlab, MS Office, personnel,
Portuguese, pricing, Procurement, Production Manager, proposals, Purchasing, qualitative research, quality, Fast learner, Receiving, Sales,
Shipping, Solid Works, Spanish, specification, Strategy & Planning, Supply Chain"
11677077.pdf,CASHIER,"Calculators
Cash registers
Credit, debit, checks and money
Inventory
Sales, scanners, tables","High School Diploma : 5 2013 Henry County High School ï¼​ City , State , United States
Member of FFA, FCA, Pep Club, and mentoring children from one of the public elementary schools
Skills
Calculators
Cash registers
Credit, debit, checks and money
Inventory
Sales, scanners, tables"
12059610.pdf,SHOE DEPT. LEAD SUPERVISOR,"Art, blueprints, budgets, cash registers, charts, COM, Communication skills, Cooking, credit, Customer service, employee training, employee
training, hiring, Inspect, Inventory, Issue receipts, Management skills, materials, Exchange, money, personnel, policies, processes, quality, Read,
Retail sales, safety, sales, tables, type","Jun 2007
High SchoolDiploma State
Work History
Company Name
Skills
Art, blueprints, budgets, cash registers, charts, COM, Communication skills, Cooking, credit, Customer service, employee training, employee
training, hiring, Inspect, Inventory, Issue receipts, Management skills, materials, Exchange, money, personnel, policies, processes, quality, Read,
Retail sales, safety, sales, tables, type"
12122372.pdf,OFFICE MANAGER,"Detailed & Organized
Type 53 words per minute
Written & Verbal Communication
Leadership & Team Development
Project Management
Experience
01/2004 to 10/2016
Office Manager Company Name ï¼​ City , State
Career Center.
Verified, edited and approved job postings.
Assisted employers with technical problems and job posting as needed.
Managed main desk including monitoring phone calls, appointments and walk-ins.
07/2000 to 01/2004
Sales Manager/Account Executive Company Name ï¼​ City , State
Responsible and handled all specialty and major department stores accounts.
Developed division's sales and marketing plans strategies and goals.
Traveled to high-profile fashion market conventions in Dallas, Atlanta and Las Vegas.
09/1999 to 04/2000
Merchandiser Assistant Company Name ï¼​ City , State
Managed company account for Reebok, Inc.
which included men's athletic apparel and Women's Olympic 2000 collection.
Assisted in new initiative for company account Dunk.Net, the Shaq O'Neill Athletic Sport collection.
Coordinated efficiency of Product Information Sheets for garment samples through reviewing accuracy of construction, sketches, trims and
specifications.
Performed role as a liaison between Merchandiser and Production Personnel with vendor relations to communicate fabrication timelines and
other specific needs for efficient samples productions.
05/1997 to 09/1999
Sales Coordinator Company Name ï¼​ City , State
Managed progression of garment sampling (i.e.
counter, production and salespeople sampling) for Misses Sportswear.
Assisted designing of garment accessories such as buttons, yarn and update of line sheets.
Planned and implemented merchandise presentations.
10/1994 to 05/1997
Sales Manager Assistant/Sales Representative Company Name ï¼​ City , State
Oversaw department's customer service.
Communication liaison for buying department, identifying market research information.
Organized sales team's meeting, shows and presentations between company and vendors.
Education
04/2018
Bachelor of Science : Business Administration Mount Saint Mary's University ï¼​ City , State Business Administration
Associate of Arts Degree : Merchandise Marketing FIDM / Fashion Institute of Design & Merchandising ï¼​ City , State Merchandise Marketing
.Net, Critical Thinking, customer service, designing, fashion, Leadership, Team Development, marketing plans, market research, market,
Verbal Communication, Written","04/2018
Bachelor of Science : Business Administration Mount Saint Mary's University ï¼​ City , State Business Administration
Associate of Arts Degree : Merchandise Marketing FIDM / Fashion Institute of Design & Merchandising ï¼​ City , State Merchandise Marketing
Skills
.Net, Critical Thinking, customer service, designing, fashion, Leadership, Team Development, marketing plans, market research, market,
Marketing, Microsoft Office, 2000, Personnel, presentations, Problem Solving Skills, Project Management, sales, phone, Type, vendor relations,
Verbal Communication, Written"
12668625.pdf,BOOKSELLER,"Office, Teaching, Time Management","High School Diploma : Jun 2015 Oldham County High School ï¼​ City , State , United States
Skills
Cash handling, Cashier, Cash registers, Communication Skills, Customer Service, Speak english and learning ASL, Inventory, Listening, MS
Office, Teaching, Time Management"
