PDF File Name,Job Role,Skills,Education
10830646.pdf,TUTORING CONSULTANT,"Enthusiastic people person.
Goal Oriented.
Self-motivated.
Team Player.
Additional Information
N.Y.S. Permanent License for Social Studies 7-12
N.Y.S. Professional License for Literacy Specialist k-12
Mississippi License in Social Studies 7-12
Mississippi License in Literacy K-12Â","Master of Science : School and District Administration , 2010 Touro College ï¼​ City , State , United States School and District Administration
Master of Science : Literacy , 2005 Touro College ï¼​ City , State , United States
Literacy
Bachelor of Arts : Political Science , 2000 St. Francis College ï¼​ City , State , United States
Political Science
Coursework in Psychology
Coursework in History
Member Phi Alpha Theta
Member Pi Sigma Alpha
Member St. Thomas Moore Pre-Law Society
Professional Affiliations
Member National Educators Association
Member of the American Psychological Association
Member of the American Irish Teachers Association
Member of the Irish History and Cultural Studies Committee
Member of the Committee for Social and Economic Justice
Community Leadership Positions
F.I.T. Team (Data Inquiry Team) Brinkley Middle School, 2014-2016 Positive Behavior Intervention Support Team Coordinator, Brinkley
Middle School 2014-2016 
School Leadership Team, Brinkley Middle School, 2014-2016
Ask For More Arts Team Member, Brinkley Middle School, 2013-2016 Voyager Language Interventionist, Brinkley Middle School, 2013-2015
Volunteer, with the Salvation Army, 1993-2013
Served on the School Based Support Team at Bryant, High School, 1997-2002
Coordinator for Big Brothers/ Big Sisters, Intermediate School 141, 2003-2007
Served on the Data Analysis Committee, Intermediate School 141, 2006-2007
Served on the Academic Intervention Services Committee, Intermediate School 141, 2006-2007
School Leadership Team, Academy of Finance and Enterprise, 2007-2013 Data Analysis Committee, Academy of Finance and Enterprise, 2007-
2013 Data Coach for the Social Studies Department, Academy of Finance and Enterprise, 2007-2013
AVID Site Coordinator, Academy of Finance and Enterprise, 2009-2013 Department Chair for the Social Studies Department, Academy of
Finance and Enterprise, 2007-2009
Department Chair for the Social Studies Department, Academy of Finance and Enterprise, 2010-2012
Building Response Team Member, Academy of Finance and Enterprise, 2011-2013
Enterprise, 2007-2013
Principals Cabinet, Academy of Finance and Enterprise, 2011-2012 Senior Adviser, Academy of Finance and Enterprise, 2009-2012
Coordinator of School Activities (COSA), Academy of Finance and Enterprise, 2009-2012
After-school and Saturday School Regents and Advanced Placement preparation, Academy of Finance and Enterprise, 2007-2013
Skills
Enthusiastic people person.
Goal Oriented.
Self-motivated.
Team Player.
Additional Information
N.Y.S. Permanent License for Social Studies 7-12
N.Y.S. Professional License for Literacy Specialist k-12
Mississippi License in Social Studies 7-12
Mississippi License in Literacy K-12Â"
11187796.pdf,MICHAEL'S ARTS AND CRAFTS STORE,"Customer Service
Management
Inventory Management
Communication","Associate of Science : Liberal Arts Science and Mathematics , 2015 SUNY Adirondack ï¼​ City , State
Dean's List
Graduated Cum Laude
Bachelor of Science : Environmental Technology and Management , 2018 North Carolina State University ï¼​ City , State
Projects: Richard R. Lee Estate (Clayton, NC) Phase III Environmental Site Assessment
Skills
Customer Service
Management
Inventory Management
Communication"
11360471.pdf,MATERIAL AND TOOLING CONTROL LEAD,"AbilityÂ to operate forklifts, backhoes, electric palette jacks, and other heavy machinery.
Proficient with Microsoft, Estitrack, and Dynamics AX programs.
Proficient in scheduling, training, and managing a manufacturing floor.
Efficiently able to provide customer service.
Management experience for up to 20 people on manufacturing floor Installation of underground utilities and piping.
Ability to install and operate electrical products such as meter centers and panels.
Ability to favorably introduce change in the workplace environment.
Pipe fitter.
â€‹
Education
High School Diploma 2000 Northside Skill Center City , State
Electricians License : Electrician Northeast Flordia Builders Association City , State , USA","High School Diploma 2000 Northside Skill Center City , State
Electricians License : Electrician Northeast Flordia Builders Association City , State , USA"
11555549.pdf,STUDENT TEACHER,"Adobe, Photoshop, Arts, Art, com, exhibitions, Drawing, Illustrator, InDesign, Excel, Microsoft Office, PowerPoint, Word, reading, sculpture,
website, workshops, written
Additional Information
OAEA Annual Conventions SWOAEA Art Workshops Summer Teacher Institute, Cincinnati Art Museum Evenings for Educators,
Cincinnati Art Museum Teacher Workshops, Cincinnati Contemporary Art Center Art Exhibitions & AWARDS Parallel Visions"",
exhibition of regional art educators, Studio San Guiseppe Gallery Pendleton Arts Center, studio exhibitor, July - December 2004 Life and
Times of Education"", annual juried exhibit of college student artwork, OAEA and STRS Gallery, Columbus, Ohio, 2001 - 2004, 2004
Award Winner MSJ Thesis Exhibit, Studio San Guiseppe, 2004 MSJ Annual Student Exhibit, faculty selected artwork, Studio San
Guiseppe, 2001 - 2004
Professional Affiliations
National Art Education Association (NAEA) member, 2002 - present Ohio Art Education Association (OAEA) member, 2000 - present
Southwest Art Education Association (SWOAEA) member, 2000 - present Cincinnati Art Museum member, 1989 - present Taft Art Museum
member, 2000 - present SWOAEA Nuts and Bolts, art lesson exchange presenter","Association Youth Art Month Exhibition, Young Peoples Art Exhibition, Cincinnati Arts Association Art Exhibit, Catholics United for the
Poor Drawing Competition, and the Knights of Columbus Substance Abuse Awareness Poster Competition Facilitate student Art Criticism
written submissions to Jerry Tollifson Art Criticism Open Competition (OAEA) Prepare and teach annual after-school student art
workshops during Youth Art Month Design and manage art classroom website including online art gallery and blog, www.olvisitation.com.
May, 2004 Bachelor of Fine Arts : Painting Painting
Mount St. Joseph University May 1989 Associate of Arts : Graphic Design City , State
Graphic Design
Licensure Visual Arts Specialist, Grades PK-12, Ohio
Interests
SWOAEA Art Workshops Summer Teacher Institute, Cincinnati Art Museum Evenings for Educators, Cincinnati Art Museum Teacher
Workshops, Cincinnati Contemporary Art Center Art Exhibitions & AWARDS Parallel Visions"", exhibition of regional art educators, Studio San
student artwork, OAEA and STRS Gallery, Columbus, Ohio, 2001 - 2004, 2004 Award Winner MSJ Thesis Exhibit, Studio San Guiseppe,
2004 MSJ Annual Student Exhibit, faculty selected artwork, Studio San Guiseppe, 2001 - 2004
Skills
Adobe, Photoshop, Arts, Art, com, exhibitions, Drawing, Illustrator, InDesign, Excel, Microsoft Office, PowerPoint, Word, reading, sculpture,
website, workshops, written
Additional Information
OAEA Annual Conventions SWOAEA Art Workshops Summer Teacher Institute, Cincinnati Art Museum Evenings for Educators,
Cincinnati Art Museum Teacher Workshops, Cincinnati Contemporary Art Center Art Exhibitions & AWARDS Parallel Visions"",
exhibition of regional art educators, Studio San Guiseppe Gallery Pendleton Arts Center, studio exhibitor, July - December 2004 Life and
Award Winner MSJ Thesis Exhibit, Studio San Guiseppe, 2004 MSJ Annual Student Exhibit, faculty selected artwork, Studio San
Guiseppe, 2001 - 2004
Professional Affiliations
member, 2000 - present SWOAEA Nuts and Bolts, art lesson exchange presenter"
11995013.pdf,LINE ATTENDANT,"Customer Service, Receptionist, Retail Sales, Cash, Sales, In Sales, Inventory, Reconciling, Sales Activities, Sales And, Security, Security
Practices, Telephone, Medical Assistant, Fulfillment, Material Flow, Medical Assistant Diploma, Fda, Quality Assurance, Associate, Cash
General Office, General Office Duties, Laboratory, Medical Records, Statistics, Telephones, Testing","Diploma , Medical Sanford-Brown Institute ï¼​ City , State , US Sanford-Brown Institute Medical Assistant Diploma: Trevose, PA August 2007
to September 2008
Certifications
Medical Assistant Diploma Medical Assistant CPR OSHA Certificate
Skills
Customer Service, Receptionist, Retail Sales, Cash, Sales, In Sales, Inventory, Reconciling, Sales Activities, Sales And, Security, Security
Practices, Telephone, Medical Assistant, Fulfillment, Material Flow, Medical Assistant Diploma, Fda, Quality Assurance, Associate, Cash
Register, Cash Handling, Cpr, Cpr/, Excel, Excellent Multi-tasker, Leadership Skills, Microsoft Excel, Microsoft Word, Multi-tasker, Osha
Certificate, Strong Communication Skills, Team Player, Word, Pricing, Shipping, Credit, Promote Sales, Sales Associate, Answering, Dictation,
General Office, General Office Duties, Laboratory, Medical Records, Statistics, Telephones, Testing"
12334650.pdf,FOOD SERVER,"Adobe Photoshop, e-mail, Adobe Illustrator, Access, Excel, Microsoft Office , PowerPoint, Word, Phone, Type","Associate of Arts , Computer Media / Media Arts 2014 The University of Montana ï¼​ City , State , Missoula
I am currently attending The University of Montana in pursuit of my Bachelor of Arts degree.
Skills
Adobe Photoshop, e-mail, Adobe Illustrator, Access, Excel, Microsoft Office , PowerPoint, Word, Phone, Type"
12386670.pdf,ARTS INSTRUCTOR,"Art Education Curriculum Design and development,
Goal Setting and leadership and organizational skills
Instructional skills in mural painting, photography, hand built ceramics, claymation, computer animation, serrigraphy, graphic arts, drawing,
Lesson Plan Development utilizing Creative Problem solving skills,","and commercial graphic arts applications.
Recognized success in art curriculum. Curriculum Designed, developed and implemented daily lessons for 150 students daily
Effectively motivated students through interactive teaching with audio and visual aids and stimulation of the creative imagination.
Good working relationships with parents to resolve conflicting educational priorities and issues.
Successful experience in positions of leadership which demanded flexible problem solving skills and organizational abilities.
Participated in regular training courses to keep up-to-date with new teaching methods and developments in the field.
Used a variety of teaching methods such as lectures, discussions and demonstrations.Presented all class material and policies accurately and
clearly for 8 classes each semester.
Arts Instructor , 01/1998 - 01/2012 Company Name - City , State
Designed and Implemented over 10 individually focused programs in the arts for after school programs including claymation, ceramics, mask
making, drawing, photography, silk screening and painting.
Methods Applied Curriculum Design: designed, developed and implemented daily lessons for 150 students daily.
sensory/perceptual-motor skills, language, cognition, and memory.
Plan Development: planned and conducted activities for a balanced program of instruction, demonstration, and work time that provided
students with opportunities to observe, question, and investigate.
Goal Setting: established clear objectives for all lessons/projects and communicated with students, achieving a total understanding of grading
rubric and overall class expectations.
Technology Integration: increased student participation and test scores by introducing relevant computer programs and exercises to
encourage student interest and enjoyment.
1973 Arizona State University - City , State , USA Bachelor of Fine Arts Photography
Graduated with high honors; specialized in photography and printmaking.
Certifications Â 
Structured English Immersion K-12
Art Certification K-12
Interests
2002); Middle School Division Chair (1992-1994); Stanford Accelerated School participant. Arizona Alliance for the Art; Created interactive art
website for Arizona Alliance for Arts, to help provide Arizona Visual Arts Standards achievement in rural Arizona schools without certified art
Additional Information
Accomplishments and Awards
2013 Implemented and designed claymation Artist-in Residency project for Piaute Middle School, Paradise Valley Arizona
2012 Lifetime Achievement Award, presented by the Tempe Diablos at Grady Gammage, Arizona State University
2011-2012 Lead artist implementing international INSIDE OUT art project. Guadalupe Arizona Documented online and on HBO
documentary on J.R. and his project
Reston Virginia.
2005-2006 PTA Recognition of Service and Teaching Award. Fees Middle School, Tempe Arizona
with computers, home economics, science, history, graphic arts, through the creation of functioning restaurants serving over 300 family,
friends and teachers. Fees Middle School, Tempe Arizona
of how a Middle School Art Teacher Integrates Multiculturalism.
1995 Implemented NBA/Coca Cola's ""Stay in School"" Mural for All Star program, Phoenix Arizona.
AFFILIATIONS
Stanford Accelerated School participant.
Arizona Alliance for the Art; Created interactive art website for Arizona Alliance for Arts, to help provide Arizona Visual Arts Standards
achievement in rural Arizona schools without certified art teacher.
Skills
Goal Setting and leadership and organizational skills
Instructional skills in mural painting, photography, hand built ceramics, claymation, computer animation, serrigraphy, graphic arts, drawing,
Lesson Plan Development utilizing Creative Problem solving skills,"
12413512.pdf,8TH GRADE LANGUAGE ARTS TEACHER,"AP Style, MLA Style, CANVAS, goal setting, health and safety standards, instruction, team building, lesson plans, meeting leader, Microsoft
Office, Windows Operating Systems, problem solving, project planning, public speaking, Reading, researching, safety, scheduling, seminars,
structured, Teaching, time management, websites, workshops","Chaperoned the 8thÂ grade trip to The Outer BanksÂ with 120Â students.
2013
Teaching Middle Grades Language Arts University of North Carolina at Charlotte ï¼​ City , State , U.S.
2011
Bachelor of Arts : English University of North Carolina at Charlotte ï¼​ City , State , U.S.
English Major
Journalism/Sociology Minor
Teaching Experience
04/2013 to Current
8th Grade Language Arts Teacher Company Name ï¼​ City , State
Attend professional development, communications with parents, assessments of students, and staff meetings.
Teach high level Talent Development Students English 1 level course work.
Lead 8th grade ELA Professional Learning Community
Establish and maintain positive relationships with students, parents, and colleagues
Teach students that are academically struggling and in need of a small classroom setting for successful development.
10/2013 to 05/2016
6th/8th Grade Language Arts Tutor Company Name ï¼​ City , State
Provided students with an academically enriched opportunity that addresses core skills for mastery level performance.
Helped bridge the academic gap documented by school assessments.
Enhanced student skill and overall academic success at Ridge Road.
Professional Leadership
10/2015 to Current
Advisor Company Name ï¼​ City , State
Create an outlet and social transitional aid for Ridge Road's 8th Grade ladies, heading to high school.
Cover common issues that the young ladies face daily such as; health, fitness, daily troubles, social media, self advocacy, public speaking,
and studies.
Award participants with awards, scholarships, and gifts from the community sponsors.
08/2015 to Current
Company Name ï¼​ City , State
Help to improve lines of communication and to promote a free exchange of ideas to facilitate the educational process in the school buildings.
Address issues of common concern in the building, including but not limited to discipline, scheduling, money collection, health and safety,
and professional employees doing administrative duties.
Submit a quarterly report of all meetings and recommendations to the staff in the building.
08/2015 to Current
Teacher Leader Company Name ï¼​ City , State
Facilitate the involvement of the school community in the development of the School Improvement Plan
Encourage, support and create opportunities for involvement from parents in the community
Contribute to the design of the School Improvement Plan
Monitor the effectiveness of the School Improvement Plan
Use data as the driving force to create programmatic instructional change
Facilitate communication within the Professional Learning Community
08/2015 to Current
Advisor Company Name ï¼​ City , State
Work with and through Student Leaders to carry out a phase of their civic education and enhance their leadership skills
Serve as a resource person, a leader to all the members of the Student Council
Build and develop Student Council Members Leadership skills in areas such as communication, goal setting, team building, time
management, group dynamics, diversity, problem solving, and project planning
Help to mold attitudes and character of Student Leaders Professional Development.
06/2015 to Current
Teacher Leader Company Name ï¼​ City , State
Coordinate the improvement of instruction of the school based on data.
Serve in an advisory capacity to the principal/director and support the development and implementation of the School Improvement Plan.
Reflect, assess, and plan schools data usage and effectiveness with a focus on student leadership and achievement.
Professional Development
04/2014 to 12/2014
CTI Fellow Company Name ï¼​ City , State
Enrolled and participated in one of CTI's eight multidisciplinary seminars (Visual Storytelling in Young Adult and Children's Literature).
Spent the summer reading and researching related curriculum units in which to develop for students.
Created curriculum unit to generate learning beyond the classroom.
Published curriculum unit to CTI and Yale National Initiative websites (Freedom Schools: Exploring Racism, Tolerance, and Prejudice.
03/2016
RCA Educator Trainee Company Name ï¼​ City , State
Learned ways to increase student engagement, ensure academic rigor, and create a climate and culture that leads to success
Observed master teachers in action
Engaged in dynamic workshops
Discovered how to implement the ""Three Pillars of RCA"" at my school
05/2014 to 08/2014
Servant Leader Intern Company Name ï¼​ City , State
Attended National Freedom School Training in Tennessee with interns from around the country and in-town training with Freedom School
Partners Set-up, maintain and breakdown classroom space
Served as energetic Harambee' leaders each day of local program operation
Delivered the Integrated Reading Curriculum to a class of ten or more students for 6 weeks during the summer months, *according to the
standards developed by the Children's Defense Fund
Served as a leader of afternoon activities and other special events; chaperone field trips
Maintained health and safety standards & accurate records relating to attendance and first aid
Collaborated with the program staff to establish and maintain a positive, supportive and structured environment for the *children entrusted to
their care.
Skills
AP Style, MLA Style, CANVAS, goal setting, health and safety standards, instruction, team building, lesson plans, meeting leader, Microsoft
Office, Windows Operating Systems, problem solving, project planning, public speaking, Reading, researching, safety, scheduling, seminars,
structured, Teaching, time management, websites, workshops"
12777487.pdf,ONLINE LEARNING COORDINATOR - PROGRAM TRAINING AND SUPPORT,"Learning Mangement System, Learning Technologies, Technology Integration, Online Programs","Presenter at 2012 TCCA â€“ â€œTechnology Integration in the Elementary Classroomâ€​
ESL Teacher of the Year, Plummer Middle School, 2006-2007
Member of International Literacy Association (ILA)
Presenter at 2014 TCEA â€“ â€œTechnology Integration and Youâ€​ 
Professional Experience
Online Learning Coordinator - Program Training and Support 
October 2013 to Current Company Name ï¼​ City , State
settings
Designed implementation plans and strategies for all learning technologies in the district (Administration and Campus staff)
Implemented pilot studies and provided results and recommendations on all program purchases
Create online professional development and maintain records of courses for entire district: campus, administration, and staff
One on one coaching for implementation and learning technology design for blended learning environments
Plan, provide, and measure effectiveness of intervention and instruction for students
Oversee curriculum alignment within online courses in the Learning Management System for 125 Virtual School and Credit Recovery
courses
Design, plan, and implement customized training for campuses -Â Â Â Â  Develop training and support plan for 75 Instructional Technology
Specialists for learning technologies and learning management systems
System Administrator for all learning technologies and learning management systems for a district of 5,000+ students and 65,000+ students
Design and implement all learning technologies training for Homebound teachers
Department administrative contact for all High School campuses with learning technologies and courseware for Virtual School and Credit
Recovery students and labs
Compiled and analyzed data on 2 learning management systems, 11 online programs, and a multitude of learning technologies, including
device management 
Certified Classroom Teacher 
August 2007 to October 2013 Company Name ï¼​ City , State
4th Grade ESL Language Arts Teacher Provide staff development to campus for SIOP and district writing initiatives
Implement district purchased online software programs within daily curriculum
Plan, provide, and measure effectiveness of intervention and instruction for students Develop and implement IEPs for inclusion students in a
Co-Teach setting
Plan, recruit, and implement social events for entire campus.
Language Arts Teacher 
August 2005 to June 2007 Company Name
Create and implement curriculum aligned with TEKS for Level 1 ESL students Implement district purchased online software programs
within daily curriculum Plan, provide, and measure effectiveness of intervention and instruction for students Summer Curriculum Writing team
member District Staff Development presenter.
Language Arts Teacher 
August 2003 to June 2005 Company Name
Plan, implement, and measure effectiveness of intervention and instruction for students.
Implement district purchased online software programs within daily curriculum.
Develop and implement creative lesson plans, aligned with TEKS, to facilitate learning.
Summer Curriculum Writing team member.
Bachelor of Science : Criminal Justice , December 1998 Southwest Texas State University Criminal Justice
Alternative Teaching Certification, ELAR & ESL 4-8 - 2003
Teacher Certification : Educator Certification , October 2013 Lone Star College ï¼​ City , State , USA
Bachelor of Science : Information Technology University of Phoenix ï¼​ City , State , USA
Certifications
Certified Trainer of Trainers (ToT) for SIOP implementation in the classroom
Abydos Learning International (New Jersey Writing Project in Texas) Certified Trainer
TEA Certified English, Language Arts, and Reading
4-8 TEA Certified English as a Second Language (Supplementary)Â  K-12
TEA Certified Social Studies 4-8
Skills
Learning Mangement System, Learning Technologies, Technology Integration, Online Programs"
13272204.pdf,LOGISTICS COORDINATOR,"Compensation, Healthcare, Hr, Benefits, Cobra, Reconciliation, Adp, Accounts For, Ada, Annuities, Dental, Fmla, Healthcare Accounts,
Healthcare Benefits, Leave Of Absence, Life Insurance, Loa, Long-term Disability, Ltd, New Hires, Recruitment, Short-term Disability, Std,
Award, Excellent Multitasker, Simultaneously, Team Player, Health And Safety, Terminations, Training, Payroll, Administrative Assistant,
Answering, Faxing, Filing, Office Supplies, Receptionist, Scheduling, Telephones, Word, Adp Hr, Project Manager, Database, Employee
Benefits, Flsa, Liability, Detail-oriented, Human Resources, Office Experience, Automotive, Data Entry, Logistics, Railroad","2016
University of Phoenix 
Health care Mgmt 
BS BS: Healthcare Administration-HM University of Phoenix -Healthcare Administration w/ a concentration in Health care Mgmt. (Pending)
2013-2016 Accomplishments -Trained 350 staff-members on use of HRIS self-service benefit system, ADP's Benefit eXpert -Ability to handle
multiple priorities simultaneously -handle all human resource functions with a high level of confidentially -Ability to meet deadlines -Ability to work
alone or in a team setting -Ability to set a goal, and make sure that goal is carried out to the fullest. -Ability to produce work with a high degree of
accuracy and attention to details -Employee of the Month Award -Team Player Award -Conducted new hire orientations quarterly -Implemented
an in-house hiring system; also implemented a back-to-work program for all employees on workman's compensation, the DIA is still using today.
Professional Affiliations
Warren Conner Development Coalition -Detroit
Skills
Compensation, Healthcare, Hr, Benefits, Cobra, Reconciliation, Adp, Accounts For, Ada, Annuities, Dental, Fmla, Healthcare Accounts,
Healthcare Benefits, Leave Of Absence, Life Insurance, Loa, Long-term Disability, Ltd, New Hires, Recruitment, Short-term Disability, Std,
Award, Excellent Multitasker, Simultaneously, Team Player, Health And Safety, Terminations, Training, Payroll, Administrative Assistant,
Answering, Faxing, Filing, Office Supplies, Receptionist, Scheduling, Telephones, Word, Adp Hr, Project Manager, Database, Employee
Benefits, Flsa, Liability, Detail-oriented, Human Resources, Office Experience, Automotive, Data Entry, Logistics, Railroad"
