PDF File Name,Job Role,Skills,Education
10329506.pdf,REGISTERED CLIENT SERVICE ASSOCIATE,"Microsoft Word for Windows, Excel, Power Point, Access, Adobe PageMaker 6.5, Adobe Photoshop, Dreamweaver, Visio, Unix, Oracle 9i
and Developer 2000.
Experience
Registered Client Service Associate 06/2012 to Current Company Name City , State
Serve as primary contact to investment clients and prospects.
Provide all operational services and support for client accounts.
Provide Financial Advisors with presentations and seminars, aide in the implementation of marketing materials for prospects.
Referring clients to other lines of banking division to enhance the relationship.
Work with Financial Advisors to efficiently manage their book of business to increase their revenue for the bank.
Conduct monthly audits to make sure that client objectives are in consideration with the investments being offered by the brokers.
Work directly with the Financial Advisors to manage their book of business worth 40 million.
Relationship Banker II 06/2004 to 06/2012 Company Name City , State
Serve as primary contact to retail, commercial, and prospect clients.
New account opening and cross sale of other banking products and services.
Referring identified client needs to other lines of banking divisions.
Proactively cold calling the clients to introduce the new products and services to increase branch revenue.
Conduct meetings with commercial bankers and introduce the banking products to the commercial clients to enhance the banking
relationship.
Accomplishments.
Ranked in top 10 among 82 reps for 7 straight years, exceeding sales quotas a month.
Winner of best sales representative of the year reward 3 straight years and first quarter in 2011.
Increased branch non-interest income by 10% with the sale of banking products and excellent client service skills.
Increased the loan portfolio for the branch by $800,000 within 7 months.
Increased net deposit portfolio for the branch by $1.7 million for the quarter by proven sales skills.
Training new hires and branch personals to be experts in their job performance to be successful in the company.
Private Banker 01/2003 to 01/2004 Company Name City , State
Conduct outside sales calls to bring in new business.
Performing operational tasks of the branch that includes reconciliation and monitoring of Federal Reserve account.
Opening new consumer, business accounts and creating CIF's, entering new accounts in the system using Impact.
Performing many tasks using Impact such as change of address, customer account information, posting stop payments, and loan information.
Assisted in reception handling high volume customer calls.
Technical Writer/ Web Developer 01/2000 to 01/2002 Company Name City , State
Responsibilities include creating, editing and verifying product and service documentation.
Documentation types include: hardware and software user and service manuals, online help and tutorials,
programming/configuration/installation documents, requirement documents and reference documents.
Work out various researches for giving the accurate description of the erection, installation, removal as well as maintenance of different
genres of hardware.
Supply wiring figures outlines along with part breakdown sketches for illustrations.
Scripting interactive on-line help and tutorial packages.
Installation and maintenance of computer, security, and telecommunications systems.
Education and Training
B.S : Computer Information Systems 2001 Strayer University Computer Information Systems
1997 Northern Virginia Community College DBA Training, Completed First DBA exam in India
Series 7-General Securities Registered Representative 2016
Dreamweaver, Adobe PageMaker 6.5, Adobe Photoshop, banking, book, cold calling, hardware, client, clients, DBA, Documentation, editing,
Financial, investments, marketing materials, meetings, Access, Excel, Power Point, Windows, Microsoft Word, online help, Oracle 9, Developer
2000, outside sales, presentations, programming, reception, requirement, retail, sales skills, sales, Securities, seminars, Scripting,
telecommunications, Unix, Visio, wiring","B.S : Computer Information Systems 2001 Strayer University Computer Information Systems
1997 Northern Virginia Community College DBA Training, Completed First DBA exam in India
Series 7-General Securities Registered Representative 2016
Skills
Dreamweaver, Adobe PageMaker 6.5, Adobe Photoshop, banking, book, cold calling, hardware, client, clients, DBA, Documentation, editing,
Financial, investments, marketing materials, meetings, Access, Excel, Power Point, Windows, Microsoft Word, online help, Oracle 9, Developer
2000, outside sales, presentations, programming, reception, requirement, retail, sales skills, sales, Securities, seminars, Scripting,
telecommunications, Unix, Visio, wiring"
10909673.pdf,VICE PRESIDENT,"streamline, Banking, budgets, business solutions, commercial lending, conversion, Credit, Crystal Reports, database, documentation, DOS, senior
management, finance, functional, Laser, Windows, 2000, NICE, Policies, processes, coding, programming, quality, reporting, requirements
gathering, RMs, SDLC, Software Development, strategic, TCL","BCIS degree Northlake College City , State GPA: GPA: 3.0 GPA: 3.0
BCIS degree North Central Texas College City , State GPA: GPA: 3.35 GPA: 3.35
Interests
Church activities, Baseball and Football spectator, Gardening, Community Leader. Volunteer Organizations 1998 - 2001 Board Member and
Commissioner for Lewisville Baseball Association 2004 - Present CASA of Denton County - advisory board member 2009 - Present Lewisville
Task Force - founding board member 2010 - Present Lewisville Independent School District Board of Trustees 2015 - Present Denton County
Appraisal District Board
Additional Information
Interests Church activities, Baseball and Football spectator, Gardening, Community Leader. Volunteer Organizations 1998 - 2001 Board
Interests Church activities, Baseball and Football spectator, Gardening, Community Leader. Volunteer Organizations 1998 - 2001 Board
Member and Commissioner for Lewisville Baseball Association 2004 - Present CASA of Denton County - advisory board member 2009 -
Present Lewisville Task Force - founding board member 2010 - Present Lewisville Independent School District Board of Trustees 2015 -
Present Denton County Appraisal District Board
Skills
streamline, Banking, budgets, business solutions, commercial lending, conversion, Credit, Crystal Reports, database, documentation, DOS, senior
management, finance, functional, Laser, Windows, 2000, NICE, Policies, processes, coding, programming, quality, reporting, requirements
gathering, RMs, SDLC, Software Development, strategic, TCL"
11065180.pdf,OPERATIONS MANAGER,"Adobe products, Photoshop, interpersonal and communication, oral, Credit, critical thinking, resolve customer concerns, client, clients, database,
decision-making, delivery, documentation, due diligence, Employee relations, senior management, fast, focus, Front Office, functional, funds, hiring,
Illustrator, investments, legal, management reporting, meetings, Excel, Money, Microsoft Office, PowerPoint, SharePoint, Word, MIS,
organizational, page 2, performance management, policies, problem solving, processes, improving processes, Quality Assurance, Real Estate,
sales, self-starter, Spanish fluency, time management, written","2003
Bachelor of Professional Studies : Computer Information Systems DeVry Institute of Technology ï¼​ State Computer Information Systems
1989
Associate : Applied Science - Business Management and administration Kingsborough Community College ï¼​ City , State Applied Science -
Business Management and administration
Skills
Adobe products, Photoshop, interpersonal and communication, oral, Credit, critical thinking, resolve customer concerns, client, clients, database,
decision-making, delivery, documentation, due diligence, Employee relations, senior management, fast, focus, Front Office, functional, funds, hiring,
Illustrator, investments, legal, management reporting, meetings, Excel, Money, Microsoft Office, PowerPoint, SharePoint, Word, MIS,
organizational, page 2, performance management, policies, problem solving, processes, improving processes, Quality Assurance, Real Estate,
sales, self-starter, Spanish fluency, time management, written"
11262933.pdf,ACCOUNT RECEIVABLE,"10 key, account management, ATM, balance, billing, call center, cash management, hardware, CPR certified, client, clients, customer satisfaction,
customer service, customer support, Data entry, designing, filing, financial, First Aid, general ledger, Image, Lotus notes, Access, Excel, Money,
Microsoft Office, Outlook, PowerPoint, Nursing, policies, quick, Real Estate, recording, repairs, reporting, Service Level Agreements, telephone,
Transmission, treasury, Workflow","Associates Degree : Applied Science, Criminal Justice , 2009 DeKalb Technical Institute ï¼​ City , State Applied Science, Criminal Justice
Certification as Nursing Assistant -2004 CPR certified and First Aid Training MLS Real Estate School- 2004 Compliance training for Anti-Money
Laundering, timekeeping, and other bank and federal regulation
Skills
10 key, account management, ATM, balance, billing, call center, cash management, hardware, CPR certified, client, clients, customer satisfaction,
customer service, customer support, Data entry, designing, filing, financial, First Aid, general ledger, Image, Lotus notes, Access, Excel, Money,
Microsoft Office, Outlook, PowerPoint, Nursing, policies, quick, Real Estate, recording, repairs, reporting, Service Level Agreements, telephone,
Transmission, treasury, Workflow"
11266906.pdf,SR. HOME MORTGAGE CONSULTANT - WELLS FARGO ADVISORS,"Solid communication, interpersonal, time management, organizational, and leadership skills.
Experience
Company Name May 2015 Sr. Home Mortgage Consultant - Wells Fargo Advisors 
City , State
â€¢Building solid relationships with referral partners, the Wells Fargo Advisors (team members) by developing and presenting a value proposition,
creating and presenting lead identification strategies. Receiving customer referrals/leads from the Financial Advisors and converting those
referrals/leads into mortgage loan applications. Remaining accountable to referral partner, customer and others during all aspects of the mortgage
financing process.
Main responsibilities include:
â€¢Relationship management: Instrumental in initiating, developing and managing relationships with Wells Fargo Advisors in an effort to partner
with Financial Advisors for referral/lead generation.
Sales:
â€¢Markets and sells WFHM mortgage products to new or existing WF customers using established inbound, outbound and cold calling
techniques, in partnership with Financial Advisors.
Quality Assurance:
â€¢Ensures loan salability by prospecting customers who meet loan qualifications standards and/or by correctly interpreting underwriting guidelines
and policies. Central point of contact:
â€¢Acts as the primary source of contact for both the mortgage customer and the Financial Advisor throughout the loan process, including rate
quotes and locks, loan originations, and pipeline management.
Company Name March 2013 to May 2015 Sr. Home Mortgage Consultant 
City , State
Provides consultation in regards to home financing by education borrowers on available mortgage financing products and process Â·
Business via corporate relationships, direct to consumer marketing and other third party Relationships, Wells Fargo Corporate Relocation
Consulting Â· Completing loan structuring, pricing loan, locking loan rates, pipeline review accordance With WFC policies and procedures
Â· In depth knowledge of investor and regulatory guidelines: FHA, VA, FNMA, FMLMC.
Company Name April 2010 to May 2012 Financial Advisor 
City , State
Developing a book of business in order to meet and exceed the required performance hurdles Â· Effectively sourcing prospecting clients,
capitalizing on referrals, assessing customer needs, referring customers to the appropriate service provider, and executing highly customized
solutions to meet the clients needs Â· Recommending investment products and services that are suitable for prospects and clients based on
their objectives, resources, time horizon, risk profile and preferences Â· Balancing investment growth, referral activities, customer follow up,
prospect building, administrative compliance and personal growth and development according to both a day-to- day and longer-term plan
Â· Planning and managing resources (time, people, budget) Â· Seeking the expertise of specialists, where appropriate, to identify planning
and investment strategies for a client Â· Establishing and maintaining relationship with the management team and informing management of
any circumstances that require supervisory attention/approval as per compliance guidelines and polices Â· Completing mandated training,
assessments, performance goals and continuing education requirements.
Company Name August 2008 to February 2010 Vice President, Wealth Advisor II 
City , State
Responsible for identifying prospective clients with a minimum of $1MM investable assets.
Utilize a profiling based approach with a wealth planning orientation to meet clients overall present and future wealth management needs.
Prepare presentations, follow up on client contacts, and refer the sale of products and services including portfolio management, private
banking, trust, estate services, insurance, as well as other services available across the Wells Fargo franchise.
Serve as the relationship manager by coordinating Trust Officers, Investment Managers, Private Bankers, Financial Consultants, Wealth
Management Specialists, Insurance Specialists and other contacts across Wells Fargo to deliver full-service wealth management.
Key Accomplishments : Â§ Completion of Wells Fargo Wealth Advisor/The Private Bank Foundation.
Company Name April 2007 to August 2008 Vice President, Senior Business Relationship Manager 
City , State
Responsible for soliciting and maintaining account relationships with multifaceted businesses with annual gross sales up to $25MM.
Serve as the relationship manager to existing clientele in providing ongoing financial consulting Â· Assess the commercial loan and deposit
needs for current and prospective clients.
Analyze and secure suitable credit with Wells Fargo Bank products and services.
Key Accomplishments : Â§ Completion of Wells Fargo Business Banking College of Commercial Credit Â§ Medallion Stamp
Certification# X0209353-2609 Â§ Authorized Lending Limits: Â§ Final approval on wires processed through (FTS) New: $1,000,000 Â§
Lending New $50,000 Lending Existing $100,000 Â§ Lending Incremental $50,000Â§ Concurrence $1,000,000 Â§ Concurrence Area
Of Caution 250,000 Â§ Operating Exposure $100,000 Â§ RCS Authority (DOD Exception Wire Transfers) $100,000 ACH Authority
$100,000.
Company Name November 1996 to April 2007 Senior National Home Mortgage Consultant 
City , State
Responsible for mortgage origination with a focus on relationships through employee mortgage programs with Fortune 500 companies
affinity groups, and/or portfolio retention
In depth knowledge of investor and regulatory guidelines: FHA, VA, FNMA, FMLMC.
Develop and manage relationships with both external and internal clients.
Leaders Club, Team Lead Â§ 2006 1st Mtg Funded Units: 156 $30,520,799 Avg Ln Amt: $195,646 Â§ 2006 2nd Mtg Funded Units: 43
$1,873,377 Avg Ln Amt: $43,566 Â§ 2006 Revenue: $590,110.47 Revenue BPS: 193.35 NOI: $235,967.47 Â§ 2006 Centralized Retail
Referrals & Cross sell Top Alliance Bank Referrals 382 Â§ 2005 1st Mtg Funded Units: 161 $34,183,691 Avg Ln Amt $212,321 Â§
2005 2nd Mtg Funded Units: 54 $2,491,738 Avg Ln Amt: $46,143 Â§ Recognized as #1 in Home Equity sales for 2002 and 2003 in
Corporate Wells Fargo Â§ Recognized as #1 in Lender Paid Mortgage Insurance.
Education
Minnesota State University 1988 Bachelor of Science : Business Administration City , State 
Additional Information
S.A.F.E. MORTGAGE NMLS # 533306
INACTIVE LICENSES Â· Series 7, 66, 63 Â· Life, Accident and Health Insurance Â·","Minnesota State University 1988 Bachelor of Science : Business Administration City , State 
Additional Information
S.A.F.E. MORTGAGE NMLS # 533306
INACTIVE LICENSES Â· Series 7, 66, 63 Â· Life, Accident and Health Insurance Â·"
11637468.pdf,SENIOR LENDING OFFICER - VP EXECUTIVE OFFICER,"accounting, accounts payable, Banking, business development, cash management, Commercial Lending, communication skills, credit, credit
analysis, CRM, client expense reports, finance, HR, insurance, Leadership, market management, new business development, Real Estate, Retail,
sales, sales and management, Tax return preparation, WORD , EXCEL and PowerPoint knowledgeable.","Commercial Lending : Advanced Lending Certificate 1996 University of Buffalo City , State , USA
Commercial Lending Academic Achievement Award
BBA : Accounting 1988 Niagara University City , State , USA
Coursework in General Accounting and its related fields
High School Diploma : General Studies 1984 St. Joseph's Collegiate Institute City , State , USA
General Studies
Skills
accounting, accounts payable, Banking, business development, cash management, Commercial Lending, communication skills, credit, credit
analysis, CRM, client expense reports, finance, HR, insurance, Leadership, market management, new business development, Real Estate, Retail,
sales, sales and management, Tax return preparation, WORD , EXCEL and PowerPoint knowledgeable."
11672279.pdf,ASSISTANT VICE PRESIDENT,"accounting, Analyst, Banking, Bloomberg, Business Process, cash flow, conversion, Credit, credit risk, Client, clients, Derivatives, documentation,
drafting, Senior Management, Financial, financial statements, Fixed Income, HP, Investment Banking, ISDA, Legal, Meetings, MS Office Suite,
Migration, MIS, Policies, Project Management, project plans, Quality, Real Estate, Reporting, Reuters, risk analysis, Sales, Securities, scripts,
strategic, structured, Swaps, SWIFT","Licensed Pennsylvania Real Estate Agent / Honors Certificate : April 2013 Temple University Real Estate Institute
May 2007 University of Maryland ï¼​ City
B.S : Finance Robert H. Smith School of Business Finance
Interests
Greater Life Christian Center, Treasurer /Trustee January 2012 - Present *Co-Captain of JPMorgan Recruiting Team for University of Maryland
College Park August 2007 - February 2012 *Manage the End to End recruiting and hiring process at Univ. of MD for both full time analyst and
interns *Philadelphia Youth Network (PYN), Mentor & Seminar Facilitator (Young Friends of PYN) June 2005 - November 2007
Additional Information
HONORS: National Society of Collegiate Scholars, Deans List, and Primannum Honor Society LEADERSHIP EXPERIENCE Greater
Life Christian Center, Treasurer /Trustee January 2012 - Present Co-Captain of JPMorgan Recruiting Team for University of Maryland
College Park August 2007 - February 2012 Manage the End to End recruiting and hiring process at Univ. of MD for both full time analyst
and interns Philadelphia Youth Network (PYN), Mentor & Seminar Facilitator (Young Friends of PYN) June 2005 - November 2007
Skills
accounting, Analyst, Banking, Bloomberg, Business Process, cash flow, conversion, Credit, credit risk, Client, clients, Derivatives, documentation,
drafting, Senior Management, Financial, financial statements, Fixed Income, HP, Investment Banking, ISDA, Legal, Meetings, MS Office Suite,
Migration, MIS, Policies, Project Management, project plans, Quality, Real Estate, Reporting, Reuters, risk analysis, Sales, Securities, scripts,
strategic, structured, Swaps, SWIFT"
11773925.pdf,MARKETING & SALES ANALYST,"Articulate, Business Analysis, Business Development, Business operations, Excel, Negotiation, Relationship Management, Sales Planning","Master of Science : 2004
International Business Management (Marketing) Fore School of Management in collaboration with Nottingham Business School, UK State , India
Bachelor of Science : Botany Honors , 2003 Kirori Mal College, Delhi University ï¼​ State , India
Chandan Baluja
Skills
Articulate, Business Analysis, Business Development, Business operations, Excel, Negotiation, Relationship Management, Sales Planning"
11842348.pdf,"SVP, REGIONAL SALES DIRECTOR WEALTH MANAGEMENT","Sales, Market Research, Sales Staff, Sales Team, The Sales, And Sales, Clients, Regional Sales, Sales Director, Solutions, Wealth Management,
Class, Client Relations, Closing, Closing Sales, Coaching, Comprehensive Large Array Data Stewardship System, Confident, Credit, Customer
Service, Detail Oriented, Exceed, Journal, Leads, Problem Solver, Receptionist, Retail Sales, Self Motivated, Territory, The Sale, Sales Activities,
Series 6, Series 7","Leadership Management Programme 2011 Investment Licenses Series 7 & Producers Life and Health registered in MA
Commercial Lending Training Program 2008 Citizens Bank Commercial Lending Training Program, Citizens Bank, 2008 Moody's Analytic's, inc..
University of Ottawa 1997 BSc : Economics BSc Economics 1997 University of Ottawa
Professional Affiliations
Citizens Management advisory council
Presentations
Capable speaker and communicator, with refined skills in presentations, education, and client relations building.
Skills
Sales, Market Research, Sales Staff, Sales Team, The Sales, And Sales, Clients, Regional Sales, Sales Director, Solutions, Wealth Management,
Class, Client Relations, Closing, Closing Sales, Coaching, Comprehensive Large Array Data Stewardship System, Confident, Credit, Customer
Service, Detail Oriented, Exceed, Journal, Leads, Problem Solver, Receptionist, Retail Sales, Self Motivated, Territory, The Sale, Sales Activities,
Series 6, Series 7"
12021752.pdf,SENIOR INVESTMENT BANKING SALES ANALYST,"acquisitions, closing, contracts, credit analysis, clients, due diligence, equity, financing, financial, financial statements, funds, government, Investment
Banking, marketing, mergers, Outside sales, proposal, Real Estate, reporting, research, Sales, San, strategic, type
Additional Information
Delta Sigma PI: Endowment Fund Chair Outstanding Graduating Senior Raised over $1,500 dollars through fundraising and business
sponsorships Participated in numerous community service events like Habitat for Humanity, Project Cure, and Ronald McDonald House
President Barack Obama Scholar's Program Mentor, Student mentor to President Obama Scholarship Program recipient","Bachelor of Science : Finance , December 2009 Arizona State University, W.P. Carey School of Business ï¼​ City , State GPA: Magna Cum
Laude, Dean's List, Tempe Diablo's Scholarship recipient Finance Magna Cum Laude, Dean's List, Tempe Diablo's Scholarship recipient
Interests
Endowment Fund Chair Outstanding Graduating Senior Raised over $1,500 dollars through fundraising and business sponsorships Participated in
numerous community service events like Habitat for Humanity, Project Cure, and Ronald McDonald House President Barack Obama Scholar's
Program Mentor, Student mentor to President Obama Scholarship Program recipient
Skills
acquisitions, closing, contracts, credit analysis, clients, due diligence, equity, financing, financial, financial statements, funds, government, Investment
Banking, marketing, mergers, Outside sales, proposal, Real Estate, reporting, research, Sales, San, strategic, type
Additional Information
Delta Sigma PI: Endowment Fund Chair Outstanding Graduating Senior Raised over $1,500 dollars through fundraising and business
sponsorships Participated in numerous community service events like Habitat for Humanity, Project Cure, and Ronald McDonald House
President Barack Obama Scholar's Program Mentor, Student mentor to President Obama Scholarship Program recipient"
