PDF File Name,Job Role,Skills,Education
11183737.pdf,MANAGER- ADMINISTRATION & FACILITIES,"Proven written and oral communication skills
â€¢ Proficient in managing business correspondence
â€¢ Ability to organize personal work priorities
â€¢ Knowledge of filing and updating records
â€¢ Ability to make travel and accommodation arrangements
â€¢ Light bookkeeping knowledge
â€¢ General office procedural knowhow
â€¢ Ability to work independently and as part of a team
â€¢ Ability to type at least 35 WPM
â€¢ Excellent organizational skills
â€¢ Expert in handling office equipment
â€¢ Internet savvy with expertise in Microsoft Office
â€¢ Excellent customer service orientation
â€¢ Ability to research and analyze data effectively
â€¢ Exceptional attention to detail and interpersonal skills
â€¢ Strong ability to use standard business software and applications
â€¢ Demonstrated ability to remain self motivated at all times
â€¢ Able to manage stress
â€¢ Flexible in working hours","BBM : Business Managment , 2000 MYSORE UNIVERSITY INDIA ï¼​ City , State , India
E commerce
Skills
Proven written and oral communication skills
â€¢ Proficient in managing business correspondence
â€¢ Ability to organize personal work priorities
â€¢ Knowledge of filing and updating records
â€¢ Ability to make travel and accommodation arrangements
â€¢ Light bookkeeping knowledge
â€¢ General office procedural knowhow
â€¢ Ability to work independently and as part of a team
â€¢ Ability to type at least 35 WPM
â€¢ Excellent organizational skills
â€¢ Expert in handling office equipment
â€¢ Internet savvy with expertise in Microsoft Office
â€¢ Excellent customer service orientation
â€¢ Ability to research and analyze data effectively
â€¢ Exceptional attention to detail and interpersonal skills
â€¢ Strong ability to use standard business software and applications
â€¢ Demonstrated ability to remain self motivated at all times
â€¢ Able to manage stress
â€¢ Flexible in working hours"
13964744.pdf,TEAM LEAD SENIOR ANALYST,"Diploma in Computer Applications NICET Institute
Core Java
Completed Web Designing & MS office package course from APTECH Computers- India
JIRA tool.
SQL.
Microsoft Office, PowerPoint, Excel, Visio & Project.
Seeking for PMP Certification will get certified at the earliest.
Work History
Team Lead Senior Analyst , 01/2012 to 08/2012 
Company Name â€“ City 
Ensured that all the projects and processes are adhered to pre-defined standards.
Acted as a liaison between the senior business managers and various global stake holders.
Recruited 100 + Analysts for the process by suggesting best practices and effective methods.
Captured and documented business requirements and transformed them into functionalities Strategic management, Project Initiation,
Planning, Delivering project deliverables in time frame.
Collaborate on system specifications and workflow documents for new projects and/or features and maintains/updates existing
specifications and project documents.
Capacity planning staffing and resource allocation as per the requirements.
Possess good written and verbal communication skills for influencing team members stakeholders.
Demonstrated various strategic management leadership skills for executing multiple projects.
Operations / Project Lead for Multiple Projects Cognizant & Global Logic 2012 January 2016 April for Client Google Maps Roles and
Responsibilities Daily monitoring of metrics, investigating inefficiencies and improve team processes to meet KPI.
Monitor work flows and conduct quality reviews to ensure high standards in line with project needs.
Liaise with management regarding work flows, industry updates, changes and policy reforms.
Analyzing requirements, client needs and policies by transforming them into business functionalities.
Bridging the gaps in various cross functional teams by documenting various policy and process enhancements with effective communication.
Tracking of various metrics on daily basis for generating weekly metrics reports.
Ability to make sound and wise decisions in projects for solving complex operational problems.
Performing root cause analysis for identifying various problems and providing optimum feasible solutions.
Educating and coaching team members on various policies standards by enhancing competencies.
Monitoring performance of analysts by adding and measuring various performance metrics.
Interpret customer feedback, monitor satisfaction, and help drive programs to improve team performance Analyze metrics and recommend
operational flow improvements based upon analysis.
Experience in presenting various complex information and data in a precise and understandable way.
Driving exceptional customer service to the end clients.
Experience in breaking down problems and issues into segments and resolving them by strategy in given timelines.
Demonstrated transparent accountability in various projects throughout the leadership career.
Documenting and defining the scope, time and costs of the project.
Mentoring / Training the newbies and other cross functional teams on various IT products and functional needs and business needs.
Trained over 200+ associates by sharing knowledge on various processes of multiple projects.
Expert in all the project management tools like MS Share point, Visio and very proficient with excel, word, PowerPoint and SQL.
Service and Escalations Ticket management.
Prioritizing issues related to production and resolving them by amicable solutions Proactively tracking bottle necks in the process and
resolving them by providing feasible solutions.
Writing SQL queries for updating and checking dashboard metrics to ensure operational efficiency for enhancing KPI.
Ability to work independently with minimal supervision.
Worked with various and different cross functional teams like business and quality analyst's others.
Associate Analyst , 01/2011 to 08/2012 
Designed and developed various Business works projects as part of integration.
Understand existing frameworks and applications.
Determining requirements and translating them to business requirements.
Providing solutions for complex challenges to various cross functional teams.
Highlighting issues pertaining to process and documenting best practices for process enhancement.
Proficient using excel and SQL basic queries for data extraction, analyzation and reporting.
Associate Analyst , 02/2009 to 11/2009 
Company Name 
Helping customers by giving feasible solutions related to windows operating systems.
Solving all complex problems pertaining to computer hardware and software.
Troubleshooting all the internet and network cable issues and other computer peripherals.
Suggesting alternate products and pitching for sales.
Achieved CSAT KPI by providing optimum solutions and customer satisfaction.
Resolving customer queries pertaining to H.P products and achieving customer satisfaction.
Data Entry Specialist / Analyst , 06/2008 to 01/2009 
through Kelly services for client Google.
Analyzing data and using various queries to transform the requirements.
Determining process and business requirements.
Transforming process requirements into business logics and functionalities.
Providing good communication to end clients and business leaders.
Documentation of various process to increase operational accuracy and efficiency.
Writing basic SQL queries for data reporting and for other business/ technical functional needs.
Education
Bachelor of Commerce : accounting and business management , Osmania University - 
accounting and business management GPA: 3.0
Master of Business Administration : GPA: 3.4
Master of Science : Information Technology , Wilmington University Delaware - 
Information Technology GPA: 3.31
analyst, basic, Business works, cable, Capacity planning, coaching, computer peripherals, computer hardware, Computer Applications, Client,
clients, customer satisfaction, customer service, Documentation, Driving, features, frame, functional, Java, leadership, leadership skills, Logic,
Mentoring, Excel, Microsoft Office, MS office, windows operating systems, PowerPoint, Share point, word, network, policies, presenting,
processes, Project Lead, project management, quality, reporting, sales, sound, SQL, staffing, strategy, Strategic management, supervision,
translating, Troubleshooting, verbal communication skills, Visio, Web Designing, wise, workflow, written","Bachelor of Commerce : accounting and business management , Osmania University - 
accounting and business management GPA: 3.0
Master of Business Administration : GPA: 3.4
Master of Science : Information Technology , Wilmington University Delaware - 
Information Technology GPA: 3.31
Skills
analyst, basic, Business works, cable, Capacity planning, coaching, computer peripherals, computer hardware, Computer Applications, Client,
clients, customer satisfaction, customer service, Documentation, Driving, features, frame, functional, Java, leadership, leadership skills, Logic,
Mentoring, Excel, Microsoft Office, MS office, windows operating systems, PowerPoint, Share point, word, network, policies, presenting,
processes, Project Lead, project management, quality, reporting, sales, sound, SQL, staffing, strategy, Strategic management, supervision,
translating, Troubleshooting, verbal communication skills, Visio, Web Designing, wise, workflow, written"
15145575.pdf,IT SUPPORT OFFICER,"Active Directory, Backup, CCNA, CISCO, Cisco Certified, Computer Hardware, Hardware, Client, customer satisfaction, Dec, DHCP, DNS,
EIGRP, English, ERP, Firewalls, FTP, GUI, Hindi, IP, LAN, Managing, access, Microsoft Certified Professional, MCP, mail, Microsoft office,
Office, outlook, Windows 8, Windows, Windows7, Windows XP, migration, ESS, Network Associates, Network Printers, network and
troubleshooting, network, Networking, OSPF, policies, printer, Protocols, RIP, Routers, Routing, SAP, SAP Basis, Servers, Switches, technical
support, Phones, TELNET, Terminal Server, Troubleshooting, Vista, WAN, Windows Server
Additional Information
Marital status : Married. Hobbies : Playing Cricket Permanent Address : Village:- Jhinna , Post:- Abhana , Disit:- Damoh , (M.P.) Pin Code
:- 470662 Declaration I here by declare that whatever information I have given above is correct according to the best of my knowledge.","B.A EIILM University ï¼​ City
Higher Secondary passed From M.P. Board Bhopal. High School passed From M.P. Board Bhopal. Professional Certifications MCP Microsoft
Certified Professional fist paper clear of administering Windows Server 2012 in June 2013. (ID No. 10171726) CCNA - Cisco Certified
Network Associates in Dec. 2009. (ID No. 11716258) JCHNP- Jetking Certified Hardware Networking Professional from jetking infotrain
limited ,A.B. Road Indore
M.P : 2010
Professional Affiliations
National Council For Vocational Training from Neocorp International Ltd Pithampur in Nov - 2013. Major Attainments Accredited with Best
Cricketer Award from Neocorp Internation LTD Inter Tournament in Indore (2014). Personal Vitae Father's name : Mr. Govind Singh Lodhi
Date of birth : 1st Jan 1988.
Personal Information
Marital status : Married. Hobbies : Playing Cricket Permanent Address : Village:- Jhinna , Post:- Abhana , Disit:- Damoh , (M.P.) Pin Code :-
470662 Declaration I here by declare that whatever information I have given above is correct according to the best of my knowledge.
Languages
English, Hindi.
Skills
Active Directory, Backup, CCNA, CISCO, Cisco Certified, Computer Hardware, Hardware, Client, customer satisfaction, Dec, DHCP, DNS,
EIGRP, English, ERP, Firewalls, FTP, GUI, Hindi, IP, LAN, Managing, access, Microsoft Certified Professional, MCP, mail, Microsoft office,
Office, outlook, Windows 8, Windows, Windows7, Windows XP, migration, ESS, Network Associates, Network Printers, network and
troubleshooting, network, Networking, OSPF, policies, printer, Protocols, RIP, Routers, Routing, SAP, SAP Basis, Servers, Switches, technical
support, Phones, TELNET, Terminal Server, Troubleshooting, Vista, WAN, Windows Server
Additional Information
Marital status : Married. Hobbies : Playing Cricket Permanent Address : Village:- Jhinna , Post:- Abhana , Disit:- Damoh , (M.P.) Pin Code
:- 470662 Declaration I here by declare that whatever information I have given above is correct according to the best of my knowledge."
15573418.pdf,GENERAL MANAGER AND BOARD MEMBER,"account management, a P, B2B, Behavioral Health, business development, business operations, business planning, business process, Call Center,
consulting, Contact Management, customer relationship management, CRM, Client, Clients, customer satisfaction, customer service, customer
care, DELL, direct marketing, entrepreneur, senior management, financial, financial management, FP&A, gross profit, Human Resource
Management, Human Resource, Human Resources, inside sales, insurance, legal, Logic, management consulting, market, network, organizational,
process re-engineering, processes, quality assurance, recruiting, selling, sales, sales support, staffing, strategy, strategic, strategic planning, technical
support, telecommunications, vendor relations","Bachelor of Arts : Pre-Law University of South Florida
Skills
account management, a P, B2B, Behavioral Health, business development, business operations, business planning, business process, Call Center,
consulting, Contact Management, customer relationship management, CRM, Client, Clients, customer satisfaction, customer service, customer
care, DELL, direct marketing, entrepreneur, senior management, financial, financial management, FP&A, gross profit, Human Resource
Management, Human Resource, Human Resources, inside sales, insurance, legal, Logic, management consulting, market, network, organizational,
process re-engineering, processes, quality assurance, recruiting, selling, sales, sales support, staffing, strategy, strategic, strategic planning, technical
support, telecommunications, vendor relations"
16492045.pdf,BPO TEAM LEADER,"Administrative duties: Â Â Active Learning, Calendaring, Client Relations, Computer Proficiency, Coordination, Creative Problem Solving,
Critical Thinking, Customer Needs Assessment, Customer Service,Â Data Entry, Documentation, Email, Executive Management Support, Filing,
auditor.Â  Hospice Assistant, Human Resources assistant.Â Invoice processing,Â Â Order entry,Â Â Re-pricing of claims, Receptionist,
Recruiting and trainer.Â  People skills : greatÂ enthusiastic people person, advanced problem-solving, great organizational skills.Â  Computer
skills:Â  MS Office, Data entry, RIMS, SAP, Outlook, Data Warehouse Maintenance, Provider Maintenance Microsoft Excel, Microsoft Office
Suite, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word.","Producers License : Life and Health 2013 Kaplan City , State
B.A : Business Administration 2018 Kaplan University City , State
Associate of Science : Business Administration 1992 Northwestern Business College City , State Business Administration
Pastoral Counseling 2014 New Hope Counseling School City , State
B.A. (nonaccrediated) : Ministry and Biblical Studies 2014 International School of Ministry City , State
Skills
Administrative duties: Â Â Active Learning, Calendaring, Client Relations, Computer Proficiency, Coordination, Creative Problem Solving,
Critical Thinking, Customer Needs Assessment, Customer Service,Â Data Entry, Documentation, Email, Executive Management Support, Filing,
Grammar, Internet Research, Letters and Memos,Â ,Â Multi-Task Management, Organizational Skills, Prioritization,Â Scheduling, Service
Orientation, Telephone Skills, Time Management, Travel Arrangements,Â  TypeÂ 85 WPM, Typing, Vendor Management, Documentation
auditor.Â  Hospice Assistant, Human Resources assistant.Â Invoice processing,Â Â Order entry,Â Â Re-pricing of claims, Receptionist,
Recruiting and trainer.Â  People skills : greatÂ enthusiastic people person, advanced problem-solving, great organizational skills.Â  Computer
skills:Â  MS Office, Data entry, RIMS, SAP, Outlook, Data Warehouse Maintenance, Provider Maintenance Microsoft Excel, Microsoft Office
Suite, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word."
18589927.pdf,CUSTOMER SERVICES,"Attention to detail, Billing, Customer Services, data Analysis, Documentation, e-mail, English, organize files, financial, financial reports, investments,
Leadership, meetings, Microsoft office, office, Portuguese, Risk Management, selling, Spanish, Strategic Planning, phone, web page","2014
Bachelor of Science : Economics City Colombia Economics
YENI MALDONADO
Languages
Spanish - English - Portuguese
Skills
Attention to detail, Billing, Customer Services, data Analysis, Documentation, e-mail, English, organize files, financial, financial reports, investments,
Leadership, meetings, Microsoft office, office, Portuguese, Risk Management, selling, Spanish, Strategic Planning, phone, web page"
19362586.pdf,RISK SPECIALIST,,"2004
University of Phoenix (Dallas Campus) City , State , United States Masters of Business Administration : Business Administration
1998
Texas Tech University City , State , United States Bachelor of Science Degree : Telecommunications & Marketing
Telecommunications & Marketing
Skills"
23933031.pdf,SR. WORKFORCE MANAGER,"account management, b2b, balance, budgets, budget, business development, Business Intelligence, contract negotiations, Clientele, client, clients,
Customer Services, customer service, e-Commerce, executive management, senior management, financial, Gateway, Help Desk, HP, hiring,
Kronos, leadership, Director, marketing, market, materials, meetings, Enterprise, optimization, performance reviews, policies, proposals, speaking,
quality, QA, Quality Assurance, real-time, real time, recruiting, Reporting, Sales, scheduling, specification, staffing, Symantec, technical support,
telecommunications, training materials","Bachelor of Science : Social Science Portland State University ï¼​ City , State Social Science
Skills
account management, b2b, balance, budgets, budget, business development, Business Intelligence, contract negotiations, Clientele, client, clients,
Customer Services, customer service, e-Commerce, executive management, senior management, financial, Gateway, Help Desk, HP, hiring,
Kronos, leadership, Director, marketing, market, materials, meetings, Enterprise, optimization, performance reviews, policies, proposals, speaking,
quality, QA, Quality Assurance, real-time, real time, recruiting, Reporting, Sales, scheduling, specification, staffing, Symantec, technical support,
telecommunications, training materials"
24727739.pdf,QUALITY ASSURANCE LEAD,"Telecommunication, multi-tasking call center, coaching, contracts, client, customer service, data entry, documentation, financial, insurance, team
building, leadership, Mac, materials, meetings, mentoring, Outlook exchange, newsletter, organizational skills, personnel, policies, presentations,
process improvement, Quality assurance, re-engineering, reporting, spreadsheets, team player, technical support, Training Development &
Delivery, training materials, Troubleshooting,Strong public speaker,Careful and active listener, Professional and friendly, Able to think outside the
box","High School Diploma : General August 2000 Newman Smith High School City , State
Bachelors of Science and Psychology degree : Psychology 2016 University of Phoenix City , State
Course work is related to the management field with because it is constant face to face interaction with employees and co-workers. By obtaining
my degree the related course work helps me to excel in interpersonal development of people that may have opportunities.
Skills
Telecommunication, multi-tasking call center, coaching, contracts, client, customer service, data entry, documentation, financial, insurance, team
building, leadership, Mac, materials, meetings, mentoring, Outlook exchange, newsletter, organizational skills, personnel, policies, presentations,
process improvement, Quality assurance, re-engineering, reporting, spreadsheets, team player, technical support, Training Development &
Delivery, training materials, Troubleshooting,Strong public speaker,Careful and active listener, Professional and friendly, Able to think outside the
box"
26829350.pdf,BUYER,"Accounts payable, Accruals, ad, AP, Automation, Trial Balance, book, Client, clients, Debit, Dell, documentation, email, fixed assets, forms, HP,
Indexing, Inventory, Processing of invoices, Invoice processing, invoicing, legal, letters, Meetings, Excel, mail, Office, PowerPoint, MS-Word,
Oracle, Problem Solving, process improvement, Procurement, purchase requisitions, Purchasing, quality, Receiving, reconciling, reporting, SAP,
Shared Service, SLA i, Sun, Team Player, vendor management","Master of Business Administration : Finance & Human Resource , 2008 CMR Institute of Management studies, Bangalore University ï¼​ City ,
India Finance & Human Resource
Bachelor of Commerce : Marketing , 2006 Narmada college of Science and Commerce, Veer Narmada South Gujarat University ï¼​ City , India
Marketing
Skills
Accounts payable, Accruals, ad, AP, Automation, Trial Balance, book, Client, clients, Debit, Dell, documentation, email, fixed assets, forms, HP,
Indexing, Inventory, Processing of invoices, Invoice processing, invoicing, legal, letters, Meetings, Excel, mail, Office, PowerPoint, MS-Word,
Oracle, Problem Solving, process improvement, Procurement, purchase requisitions, Purchasing, quality, Receiving, reconciling, reporting, SAP,
Shared Service, SLA i, Sun, Team Player, vendor management"
