PDF File Name,Job Role,Skills,Education
10001727.pdf,SOUS CHEF,"ADA compliance, auditing, computer programming, contracts, CPR, credit, customer satisfaction, customer
service, data entry, Department of Health, financial, HR, inventory management, Cost accounting, marketing, access, PBX, policies, POS, safety,
sales, scheduling, seminars, staffing, supervisor,","Master's , Business Administration 2015 Stratford University ï¼​ City , State GPA: GPA: 3.8 Magna Cum Lade Business Administration GPA: 3.8
Magna Cum Lade
Bachelors of Arts , Hospitality Management 2013 Stratford University ï¼​ City , State , USA
Hospitality Management
Associate of Applied Science , Advanced Culinary Arts 2010 Stratford ï¼​ City , State , USA
Advanced Culinary Arts (C.C.)
Certifications and Trainings City , State
TIPS certified
CPR-AED Certified
Certified Food Handler, State of Virginia
Food Management Professional, State of Virginia
IHG Training
OnQ Training
Certified Culinarian 2010
Skills
ADA compliance, auditing, computer programming, contracts, CPR, credit, customer satisfaction, customer
service, data entry, Department of Health, financial, HR, inventory management, Cost accounting, marketing, access, PBX, policies, POS, safety,
sales, scheduling, seminars, staffing, supervisor,"
10276858.pdf,FOOD PREP CHEF,"Highly skilled in cooking and preparing a variety of cuisines
Inborn ability to explore new cooking avenues
Thorough understanding of sanitation needs of the kitchen
Operate kitchen equipment such as ovens and grills for cooking purposes
Maintain knowledge of all recipes so that the Head Chef's place can be filled in effectively in case of absenteeism
Summary
Exceptional culinary insight.
Knowledge of standard food preparation
Ability to work in a high volume environment
Chef in preparing exceptional meals
Motivated food serving professional with 5+ years food and beverage experience in casual and fine dining.
Highlights
Kitchen productivity
Basic knife skills
Uses proper sanitation practices
Able to regularly lift/move up to 25-50 lbs
Preparation of various food items
Good personal hygiene
Team-oriented
Well groomed
High level of cleanly kitchen maintenance
Team-oriented
Sandwich preparation experience
Knowledge of basic food preparation
Food handling knowledge
Italian cuisine
American cuisine
Ethnic foods preparation
Plate presentation skills
Banquet operations and off-site catering expert
Accomplishments
Serve Safe 2015
Seasoned and cooked food according to recipes or personal judgment and experience.
Ensured consistent high quality of plate presentation.
Maintained contact with kitchen staff, management, serving staff and customers.
Baked, roasted, broiled, and steamed meats, fish, vegetables and other foods.
Supported all kitchen operations when chef was absent.
Experience
09/2010 - 04/2011
Company Name ï¼​ City , State Food Prep Chef
Followed all established restaurant practices and procedures.
Carefully maintained sanitation, health and safety standards in all work areas.
Prepared items according to written or verbal orders, working on several different orders simultaneously.
06/2011 - 11/2012
Company Name ï¼​ City , State Cook
Followed all established restaurant practices and procedures.
Maintained a neat, well groomed appearance including impeccable personal hygiene, hair restraint and minimal jewelry that
met company standards.
Closely followed standard procedures for safe food preparation, assembly and presentation to ensure customer satisfaction.
Cut and chopped food items and cooked on a grill or in fryers.
12/2012 - 03/2013
Company Name ï¼​ City , State Cook
Operated large-volume cooking equipment such as grills, deep-fat fryers and griddles.
Took necessary steps to meet customer needs and effectively resolve food or service issues.
Served fresh, hot food with a smile in a timely manner.
Accurately measured ingredients required for specific food items.
Followed all established restaurant practices and procedures.
02/2013 - 06/2013
Company Name ï¼​ City , State Cook
Assisted co-workers.
Assisted co-workers.
Cooked food properly and in a timely fashion, using safety precautions
Weighed, measured, and mixed ingredients according to recipes using various kitchen utensils and equipment
Cleaned and prepared various foods for cooking or serving
06/2014 - 11/2014
Company Name ï¼​ City , State Chef
Developed strategies to enhance catering and retail food service revenue and productivity goals.
Prepared healthy, enjoyable breakfasts and dinners for diners.
Effectively managed and assisted kitchen staff in producing food for banquets, catered events and member dining areas.
Effectively used items in stock to decrease waste and profit loss.
Ensured consistent high quality of plate presentation
Seasoned and cooked food according to recipes or personal judgment and experience
Created and explored new cuisines
Instructed cooks and other workers in the preparation, cooking, garnishing, and presentation of food
Cooked food properly and in a timely fashion, using safety precautions
Used all food handling standards
01/2014 - 12/2014
Company Name ï¼​ City , State Food Service Cook /Temp
Assisted co-workers.
Performed kitchen maintenance for a private facility.
Responsible for daily set up of five stations.
Stocked and rotated products, stocked supplies, and paper goods in a timely basis
Stored clean equipment and utensils
Supervised and coordinated activities of cooks and workers engaged in food preparation
Used all food handling standards
Cleaned, cut, and cooked meat, fish, or poultry
Complied with scheduled kitchen sanitation and ensured all standards and practices were met
Cooked food properly and in a timely fashion, using safety precautions
01/2015 - 05/2015
Company Name ï¼​ City , State Line Cook
Consistently verified that kitchen staff followed all recipes and portioned serving guidelines correctly.
Consistently kept a clean and safe environment by adhering to all federal, state and local sanitation and safety requirements.
Communicated clearly and positively with co-workers and management.
Worked well with teammates and openly invited coaching from the management team.
Followed all established restaurant practices and procedures.
Education
2011
William M Davies Career & Tech ï¼​ City , State , USA High School Diploma : Culinary/ Auto Body
Courses in Hospitality and Restaurant Management
Classes in Restaurant and Facility Operations
Basic Vocational : Prep Cook
Courses in: Food Preparation, Kitchen Management,Patisserie and Confectionery, International Cuisine","2011
William M Davies Career & Tech ï¼​ City , State , USA High School Diploma : Culinary/ Auto Body
Courses in Hospitality and Restaurant Management
Classes in Restaurant and Facility Operations
Basic Vocational : Prep Cook
Courses in: Food Preparation, Kitchen Management,Patisserie and Confectionery, International Cuisine"
10333299.pdf,GENERAL MANAGER / EXECUTIVE CHEF,"Advertising, Automobiles, Consultant, Customer Relations, Data Management, Financial Planning, Food safety, Hiring, Inventory Control,
Inventory Management, Managing, marketing, materials, Network design, Network, New Construction, Payroll, Performance Appraisals,
Personnel, Policies, Project Management, Restaurant Operations, Retail, Safety, Sales, Spanish Speaking, Supervision, Telecommunications.
Equipment Operations and Maintenance.","1988
GED 
City , State , United States 
GED
I grew up in Guadalajara, Mexico and attended home school taught by my mother. I later received my GED. I also have the following training.
Basic Vocational Certificate: Restaurant Operations
Basic Vocational Certificate: Culinary Management
Coursework in Business, Restaurant and Hotel Management
.
Interests
Cooking, computers, sailing, golf, travel, working, and family.
Additional Information
I am fluent in Spanish. I believe that hard work, integrity, honesty, and diligence will help me succeed in meeting my goals and adding value
to the company I work for.
Skills
Advertising, Automobiles, Consultant, Customer Relations, Data Management, Financial Planning, Food safety, Hiring, Inventory Control,
Inventory Management, Managing, marketing, materials, Network design, Network, New Construction, Payroll, Performance Appraisals,
Personnel, Policies, Project Management, Restaurant Operations, Retail, Safety, Sales, Spanish Speaking, Supervision, Telecommunications.
Equipment Operations and Maintenance."
10588874.pdf,MANAGER AND EXECUTIVE CHEF,"Budgeting, Multi-Business Operations Management, New Business Development, Profit Generation, Food Safety, Quality Management,
Customer Relations, Vendor Negotiations, Vendor Partnerships, Time and Resource Optimization, Inventory Control and Management, Weekly
Payroll, Policies, Safety, Work Flow","Associate Degree : Applied Food Science and Culinary Arts/Food and Beverage Management , May 2008 Johnson & Wales University ï¼​ City ,
State , GPA 3.4 GPA: GPA: 3.4
Certification : Food Safety and Sanitation , 2008 Johnson and Wales ï¼​ City , State
Certification : National Beverage Service and Bartending , 2008 Johnson and Wales ï¼​ City , State
Affiliations
Future Business Leaders of America Scholarship
Federal Work Study Program Award
Johnson and Wales Achievement Scholarship
Skills
Budgeting, Multi-Business Operations Management, New Business Development, Profit Generation, Food Safety, Quality Management,
Customer Relations, Vendor Negotiations, Vendor Partnerships, Time and Resource Optimization, Inventory Control and Management, Weekly
Payroll, Policies, Safety, Work Flow"
10653119.pdf,EXECUTIVE CHEF /CHEF MANAGER,"Hands on knowledge of all phases of food preparation from casual to fine dining and catering
Food & Labor Cost Control
Banquet and catering menu planning, development, and service
Recipe development and standardization
Gluten Free food preparation
Certified Food Safety Manager
Food procurement, inventory and inventory control
Knowledge of P & L accountability
Kitchen equipment maintenance and repair
Customer service orientated
Employee hiring & training
Computer proficiency,
Concept, Cost Control, costing, customer satisfaction, Customer service, equipment maintenance and repair, Financial management, Food
Safety, forth, hiring, inventory levels, inventory, inventory control, personnel, pricing, processes, procurement, purchasing, quality, receiving,
restaurant operations, safety","Associate of Science : Culinary Arts Johnson & Wales University - City , State 
Summary
Skilled, creative, dedicated Executive Chef/Chef Manager with extensive culinary experience and knowledge in varied dining concepts and a large
range of cuisines. Focused and efficient with a strong knowledge in food safety and sanitation guidelines. Adept at food purchasing, inventory and
controlling food cost. Talented kitchen leader and team motivator successful at maintaining staff focus, efficiency and productivity.
Certifications
Certified Food Safety Manager National Registry of Food Safety Professionals
Highlights
Hands on knowledge of all phases of food preparation from casual to fine dining and catering
Food & Labor Cost Control
Banquet and catering menu planning, development, and service
Recipe development and standardization
Gluten Free food preparation
Certified Food Safety Manager
Food procurement, inventory and inventory control
Knowledge of P & L accountability
Kitchen equipment maintenance and repair
Customer service orientated
Employee hiring & training
Computer proficiency
Concept
Cost Control
Costing
Customer satisfaction
Customer service
Equipment maintenance and repair
Financial management
Food Safety
Forth
Hiring
Inventory levels
Inventory
Inventory control
Personnel
Pricing
Processes
Procurement
Purchasing
Quality
Receiving
Restaurant operations
Safety
Skills
Hands on knowledge of all phases of food preparation from casual to fine dining and catering
Food & Labor Cost Control
Banquet and catering menu planning, development, and service
Recipe development and standardization
Gluten Free food preparation
Certified Food Safety Manager
Food procurement, inventory and inventory control
Knowledge of P & L accountability
Kitchen equipment maintenance and repair
Customer service orientated
Employee hiring & training
Computer proficiency,
Concept, Cost Control, costing, customer satisfaction, Customer service, equipment maintenance and repair, Financial management, Food
Safety, forth, hiring, inventory levels, inventory, inventory control, personnel, pricing, processes, procurement, purchasing, quality, receiving,
restaurant operations, safety"
10889157.pdf,LEAD COOK (COOK III),"management, Scheduling management, very fast learner. Learned new skills and knowledge with each company I worked for, and learned how to
better serve our guests wants and needs therefore I would base most of my menus off that.
Experience
Lead Cook (Cook III) 06/2012 to Current Company Name City , State
Prep menu for the day service.
Help all our cooks in my area with dinner setup.
Delegate all our breaks throughout the shift.
Assist our Sous Chefs and Executive Chef with running dinner service.
Maintain cleanliness throughout each shift.
Positive interactions with all guests throughout service Started out as a prep cook and moved to Cook Lead/Cook III within six months.
Cook Lead 11/2009 to 05/2012 Company Name City , State
Prep our menu for each shift.
Make sure we cook all the food for each station to operate in time for service.
Manage our assigned station making sure we are stocked with the proper items throughout each shift Work with the Sous Chefs, and
Executive Sous chefs, and cooks to run shifts smoothly.
Abide by the USPH Standards Galley Steward (305) 436-400 (Ronald Strode.
Assistant Cook 09/2008 to 11/2009 Company Name City , State
Make sure our assigned kitchen has the proper cook-ware each shift Responsible for the cleanliness of our assigned station as well as
kitchen we are working at Provide our cooks and chefs with clean and sanitized equipment throughout each shift Responsible for knowing
what chemicals we are working with and all safety procedures that accompany them.
Abide by the USPH Standards Promoted after my second contract with the cruise ship.
Lead Cook 04/2007 to 09/2008 Company Name City , State
Put in product orders for the Restaurant.
Set the kitchen schedules.
Monitored our cooks while they prepped for the day.
Hired new cooks.
Conducted monthly restaurant inspections.
Worked as the window man on busy nights (Call out order times, and completed plates with garnishes, as well as double checked recipes
before servers took them to our guest) Maintained menu items and the recipes.
Lead Cook/Kitchen Trainer Kitchen Manager 07/2006 to 09/2008 Company Name City , State
Cook and Prepare meals for our guest.
Responsible to train all new kitchen cooks and dishwashers.
Keep control of the night shifts in the kitchen.
Train new kitchen employees at the 4 locations around Cleveland (Strongsville, Westlake, Downtown Cleveland, And Beachwood OH)
Discuss and review our cook assistants with our sous chef and Kitchen manager and General Manager I started out as a prep cook in the
back learning the menu for about two months then moved up to line cook for six months before I became a Lead Cook.
Education
Associate of Arts : Business Management 2007 Lakeland Community College City , State , USA
Business Management
High School Diploma : High school 2005 Charles F Brush High School City , State , USA
I also Attended Beechwood High school my junior and senior years of high school as part of the Vocational program where I studied Culinary
I also Attended Beechwood High school my junior and senior years of high school as part of the Vocational program where I studied Culinary
Arts.
Personal Information
Lakeland College Kirtland, OH, United States Although it is not a degree for the culinary field, I have been able to apply this degree to my career
and it has helped me along in my career obtain various management positions within the culinary field, which I have excelled in in my nine plus years
of this profession. My goal is to one day become an executive chef and I feel at this point I will reach it one day soon. Cooking has become a
strong passion of mine to where cooking jobs do not feel like jobs anymore, its more like a fun way to live my life day to day able to wake up
excited to go learn new cooking skills and make people excited about visiting our restaurant, well which ever one I am working in at the time. High
School Diploma: Culinary Arts (Vocational School at Beechwood High School) 2005 Charles F Brush Lyndhurst, OH, United States While
attending Brush High School (My high School) I also attended Beechwood High School from my Junior year (11th Grade) to my senior Year
(12th Grade) to study culinary arts where we learned the basics of cooking. I was interested in how to become a cook and how to make various
dishes so I would e able to cook meals for my family at home. During high school, although I was in the Culinary Arts program, at the time it did
not keep my interest, so when I graduated I got into the Business management field, while attending college I began working as a dishwasher at
Houlihans and was intrigued again by working in the kitchen, so much that I was able to be promoted to prep cook and from there I started my
Culinary Career. Each year they have it here in Cleveland, and if I am Available, I work at our annual Air show as a cook vendor if there is an
opportunity for me. I also like to volunteer to cook for the homeless at our Cleveland Food Bank, during the holidays which I have not been able
to do recently, but I do love being able to put smiles on everyone during the holidays with exceptional and delightful meals.
Kitchen Management
Knife SKills
Mother Sauce Knowledgeable
Ability to Adapt to any situation
Leadership skills
Employee Development
Fast Pace and efficient","Associate of Arts : Business Management 2007 Lakeland Community College City , State , USA
Business Management
High School Diploma : High school 2005 Charles F Brush High School City , State , USA
I also Attended Beechwood High school my junior and senior years of high school as part of the Vocational program where I studied Culinary
I also Attended Beechwood High school my junior and senior years of high school as part of the Vocational program where I studied Culinary
Arts.
Personal Information
Lakeland College Kirtland, OH, United States Although it is not a degree for the culinary field, I have been able to apply this degree to my career
and it has helped me along in my career obtain various management positions within the culinary field, which I have excelled in in my nine plus years
of this profession. My goal is to one day become an executive chef and I feel at this point I will reach it one day soon. Cooking has become a
strong passion of mine to where cooking jobs do not feel like jobs anymore, its more like a fun way to live my life day to day able to wake up
excited to go learn new cooking skills and make people excited about visiting our restaurant, well which ever one I am working in at the time. High
School Diploma: Culinary Arts (Vocational School at Beechwood High School) 2005 Charles F Brush Lyndhurst, OH, United States While
attending Brush High School (My high School) I also attended Beechwood High School from my Junior year (11th Grade) to my senior Year
(12th Grade) to study culinary arts where we learned the basics of cooking. I was interested in how to become a cook and how to make various
dishes so I would e able to cook meals for my family at home. During high school, although I was in the Culinary Arts program, at the time it did
not keep my interest, so when I graduated I got into the Business management field, while attending college I began working as a dishwasher at
Houlihans and was intrigued again by working in the kitchen, so much that I was able to be promoted to prep cook and from there I started my
Culinary Career. Each year they have it here in Cleveland, and if I am Available, I work at our annual Air show as a cook vendor if there is an
opportunity for me. I also like to volunteer to cook for the homeless at our Cleveland Food Bank, during the holidays which I have not been able
to do recently, but I do love being able to put smiles on everyone during the holidays with exceptional and delightful meals.
Skills
Kitchen Management
Knife SKills
Mother Sauce Knowledgeable
Ability to Adapt to any situation
Leadership skills
Employee Development
Fast Pace and efficient"
11121498.pdf,CHEF,"Flexible temperament, able to accomodate changes of plans and special requests smoothly. Proficient cooking for specialty diets including various
allergy and food sensitivities,Â gluten free, vegan, raw, paleo, specific carbohydrate diet (SCD), Gut and Psychology Diet (GAPS), Kosher, Halal,
& Heritage diets. Proven ability to manage daily demands of planning menus, shopping and preparing meals for multiple households with changing
plans and schedules. Â Professional, respectful communication skills, eager to learn and able to teach.","Associate of Arts : Culinary Arts Culinary Institute of America ï¼​ City , State Leader of Chef's Collaborative, Catered events including Spotlight
on Hudson Valley cuisine
Food anthropology and Charcuterie Study in Spain Worked with accomplished chefs learning traditional cooking techniques, Spanish charcuterie,
historical context and high end presentation.
Nutrition Dietetics West Virginia Wesleyan ï¼​ City , State , USA 3 years studying nutrition dietetics. Â Won awards for public speaking and
community education for nutrition. Â Taught nutrition to children and families in area head start programs
Skills
Flexible temperament, able to accomodate changes of plans and special requests smoothly. Proficient cooking for specialty diets including various
allergy and food sensitivities,Â gluten free, vegan, raw, paleo, specific carbohydrate diet (SCD), Gut and Psychology Diet (GAPS), Kosher, Halal,
& Heritage diets. Proven ability to manage daily demands of planning menus, shopping and preparing meals for multiple households with changing
plans and schedules. Â Professional, respectful communication skills, eager to learn and able to teach."
11209758.pdf,DFW PERSONAL CHEF,"administrative, ads, Arabic, business development, contracts, Customer Relationship Management, Client, clients, customer satisfaction, energy
efficient, English, food safety, French, hiring, inventory management, inventory, marketing, market, mentor, Access, Excel (spreadsheets, Outlook,
PowerPoint, 98, Microsoft Word, networking, payroll processing, pivot tables, policies, pricing, product development, producing, profit,
purchasing, quality, QuickBooks, safety, selling, sales, Search Engine Optimization, servers, shipping, staffing, strategic, tax, tax returns, training
programs","Bachelor of Science : Business Management Saint Joseph University 
Business Management Magna Cum Laude
Summary
Operations Management - Growth Strategies - Data & Financial Analysis Award winning, analytical and data driven decision making manager
with 15 years experience in business management and astute understanding of accounting, taxation, marketing, sales and administrative procedures.
Adept at implementing and executing operational strategies, addressing complex challenges and leading team members to continuous successes.
Diligent in scrutinizing profit and loss statements, fostering the financial health of the company and maintaining a holistic view of operations while
also focusing on the granular details
Languages
English, French and Arabic
Highlights
Microsoft Word, Excel (spreadsheets, pivot tables, formulas, formatting), PowerPoint, Access, Outlook Google Data Analytics, Search Engine
Optimization (SEO) and Web Metrics Social media tools Hootsuite and Hashtagify Cloud Management and Security Salesforce Customer
Relationship Management QuickBooks 42 CPE Credits, Mastering QuickBooks level 3 Certified
Skills
administrative, ads, Arabic, business development, contracts, Customer Relationship Management, Client, clients, customer satisfaction, energy
efficient, English, food safety, French, hiring, inventory management, inventory, marketing, market, mentor, Access, Excel (spreadsheets, Outlook,
PowerPoint, 98, Microsoft Word, networking, payroll processing, pivot tables, policies, pricing, product development, producing, profit,
purchasing, quality, QuickBooks, safety, selling, sales, Search Engine Optimization, servers, shipping, staffing, strategic, tax, tax returns, training
programs"
11432686.pdf,CATEGORY BRAND MANAGER,"SharePoint BPC and SAP Microsoft Suite: Word, Excel, PowerPoint, Microsoft Access Microsoft Project Microsoft Dynamics
Seminars/Classes: Social Media Marketing Facebook for Business Project Management Profitability Simulation Nielsen Syndicated Data Analysis
Power Presentations Technical Writing","Six Sigma Green Belt Training, Chicago Deming Assoc.-Six Sigma Masters Program, Naperville, IL, 2012
Graduate Level Courses, Marketing, Illinois Institute of Technology, Chicago, IL, 1997
B.A , Organizational/Corporate Communications Journalism 1992 Northern IL University ï¼​ City , State Organizational/Corporate
Communications Journalism American Management Association, 2016 and 2017; Communicating Up, Down and Across the Organization;
Critical Thinking; Fundamental Sales Techniques, Project Management Success, The Power of Persuasion
Skills
SharePoint BPC and SAP Microsoft Suite: Word, Excel, PowerPoint, Microsoft Access Microsoft Project Microsoft Dynamics
Seminars/Classes: Social Media Marketing Facebook for Business Project Management Profitability Simulation Nielsen Syndicated Data Analysis
Power Presentations Technical Writing"
11444536.pdf,CO-OWNER/EXECUTIVE CHEF,"Operations Streamlining
Strategic planning
Forecasting
Process developmentÂ 
Product management
Budget ManagementÂ 
Â  Customer Service
Client Relations
Vendor AdministrationÂ 
Vendor Negotiations
Account Management
Creative Problem SolvingÂ 
Accomplishments
Earned â€œTop Performerâ€​ award in 2016
Professional Experience
Co-owner/Executive Chef 03/2010 to 01/2017 
Company Name City , State
Successfully manage a cafÃ© style restaurant, increasing sales through quality food, exceptional service and value.
Plan menus, estimate food and beverage costs, purchase and maintain adequate inventory to meet needs.
Assist in creating innovative marketing campaigns to increase visibility of the restaurant.
Assist in hiring, training, directing and scheduling of employees.
Manage financial areas including budgeting, cost control, payroll and general accounting.
Keep abreast of all state and federal laws and regulations.
Approved externship site to develop students to work within foodservice industry.
Receiving Clerk/Purchasing Coordinator Director of Purchasing 02/2009 to Current 
Company Name City , State
Maintained an atmosphere of enthusiastic customer awareness with an emphasis on fast, friendly customer service.
Build and maintain classroom recipes and create daily production templates within Food-Trak database to maintain production standards as
set forth in corporate curriculum.
Formulate supplier inventory and pricing database for LCB-Dallas utilizing the new BirchStreet ordering system.
Create database production templates to procure weekly food orders to meet departmental needs.
Continuously price-check various items available and received through multiple Avendra suppliers to ensure accurate and best pricing for
like products.
Determined recurring business needs and maintained necessary inventory levels.
Monitored weekly, monthly and quarterly achievement goals.
Divide food order accordingly to ensure complete and accurate deliveries per curriculum from multiple suppliers that guarantee adequate
stock and optimal product freshness to meet student and special event production requirements.
Receive, inspect and temperature check all deliveries; refuse any bad product, then date and stock items according to FIFO system.
Organize storeroom and fill requisitions for classrooms following proper ServSafe food safety guidelines.
Maintain appropriate receiving records within the database and excel that allow for quick independent cross referencing of purchase orders,
departmental performance, and optimal cost accounting.
Ensure all student supplies such as uniforms, textbooks and toolkits are managed month to month and are distributed accurately to provide
accountability with minimal variance.
Maintain adequate inventory to fulfill distribution requirements during and between each start.
Conduct monthly inventory of all procurement stock.
Build and maintain Vendor relationships.
Provide exceptional service to students and co-workers.
Listen and respond to customer requests or problems in a timely manner.
Analyze and prioritize issues while maintaining focus on solving problems.
Identify and implement new solutions to resolve problems successfully in a timely manner.
Maintain a high standard of performance and accountability for timely completion of work assignments.
Accept increasing levels of responsibility and perform additional assignments after expected work is completed.
Develop and implement clear plans to accomplish specific objectives while prioritizing and making adjustments on the fly when needed to
assure that activities and objectives are performed in alignment with critical needs and goals of department and curriculum.
Catastrophe Insurance Claims Adjuster 01/2004 to 01/2009 
Company Name State
Outsourced through various insurance companies during catastrophe situations.
Handled approximately 100-200 claims directly with the insured.
This involves the ability to deal with people in high stress and anxiety situations using time management skills efficiently.
Education
Bachelor of Arts : Culinary Management September, 2012 LE CORDON BLEU COLLEGE OF CULINARY ARTS City , State Culinary
Management
Food-TrakÂ :Â BirchStreet :Â WordÂ : ExcelÂ Â","Bachelor of Arts : Culinary Management September, 2012 LE CORDON BLEU COLLEGE OF CULINARY ARTS City , State Culinary
Management
Skills
Food-TrakÂ :Â BirchStreet :Â WordÂ : ExcelÂ Â"
