PDF File Name,Job Role,Skills,Education
10041713.pdf,SR. ESTIMATOR-BAS CONSTRUCTION SALES,"Sales, Proposals, Solutions, Commercial Buildings, Million, Sales And, Contracts, Ecms, Energy Conservation, Energy Solutions, Industrial
Facilities, Retail, Retail Marketing, Retrofit, Technical Assistance, Instrumentation, Long-term Disability, Ltd, Engineer, Hvac, Collection,
Maintenance, Marketing, Networking, Project Engineer, Project Planning, Real Time, Scada, Testing, Estimating, Estimation, Estimator,
Operations, Pricing, Sales Team, Takeoffs, Fire Protection, Front End, Quotations, Relationship Building, Sales Activities, Sales Engineer,
Security, Siemens, Award, Clients, Csr, Energy Management, Project Development, Roi, Selling Of, Sql","Bachelor of Instrumentation Engineering : Instrumentation Engineering , 2006-12-31 Maharishi Markendeshwar Engineering College Bachelor of
Instrumentation Engineering, -Degree Received: December 31, 2006 Maharishi Markendeshwar Engineering College, Mullana India. May
09,2002-July 21, 2006.
Affiliations
Actively Involved in Networking Chapter in Boston area like National Association of Women In Construction, Mass Building Congress, American
Society for Precision Engineering
Certifications
Energy Management Professional Certified by Schneider University.
Skills
Sales, Proposals, Solutions, Commercial Buildings, Million, Sales And, Contracts, Ecms, Energy Conservation, Energy Solutions, Industrial
Facilities, Retail, Retail Marketing, Retrofit, Technical Assistance, Instrumentation, Long-term Disability, Ltd, Engineer, Hvac, Collection,
Maintenance, Marketing, Networking, Project Engineer, Project Planning, Real Time, Scada, Testing, Estimating, Estimation, Estimator,
Operations, Pricing, Sales Team, Takeoffs, Fire Protection, Front End, Quotations, Relationship Building, Sales Activities, Sales Engineer,
Security, Siemens, Award, Clients, Csr, Energy Management, Project Development, Roi, Selling Of, Sql"
10100240.pdf,CARPENTER APPRENTICE,"Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice , 10/2017 to 09/2019 
Company Name â€“ City , State 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired woodwork, millwork and cabinetry under supervision of master carpenter
Kept job site cleaned up properly and all debris disposed of in respective containers
Interpreted specifications and construction drawings to understand tasks necessary to complete each job
Accepted feedback from foreman and journeyman carpenter, implementing suggestions into later work
Observed all OSHA and corporate safety regulations and procedures
Led variety of projects from start to finish, including garages, residential homes and additions
Repaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time
Effectively used all fasteners such as nails, screws, pneumatic nailing systems, concrete anchors, powder-actuated fasteners and framing
connectors
Proactively managed projects to obtain 100% customer satisfaction for all custom work
Installed interior finish items, including wall protection, doors and hardware, toilet accessories, cubicle curtain tracks and TV brackets
Installed drywall, ceilings, trim and fabricated replacement trim and moldings
Construction Worker , 08/2016 to 09/2017 
Company Name â€“ City , State 
Supported customer preferences with basic carpentry work such as installing wooden floors and crown molding
Consulted with customers to understand desires and help each owner meet individual property objectives
Gathered and disposed of work site debris to remove safety hazards and boost team productivity
Monitored materials inventory and requested items for restocking for each job
Loaded and unloaded building materials used for construction
Safely operated mowers, chain saws, electric clippers, sod cutters and pruning saws to clear construction sites, roadbeds and access roads
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs
Enhanced team efficiency and multitasking abilities by effectively using hand tools, power tools and equipment
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized
Education
High School Diploma : 04/2010 
Buffalo High School - City , State 
CSHO (Certified Safety & Health Official) , 01/2020 
TEEX - City 
Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice , 10/2017 to 09/2019 
Company Name â€“ City , State 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired woodwork, millwork and cabinetry under supervision of master carpenter
Kept job site cleaned up properly and all debris disposed of in respective containers
Interpreted specifications and construction drawings to understand tasks necessary to complete each job
Accepted feedback from foreman and journeyman carpenter, implementing suggestions into later work
Observed all OSHA and corporate safety regulations and procedures
Led variety of projects from start to finish, including garages, residential homes and additions
Repaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time
Effectively used all fasteners such as nails, screws, pneumatic nailing systems, concrete anchors, powder-actuated fasteners and framing
connectors
Proactively managed projects to obtain 100% customer satisfaction for all custom work
Installed interior finish items, including wall protection, doors and hardware, toilet accessories, cubicle curtain tracks and TV brackets
Installed drywall, ceilings, trim and fabricated replacement trim and moldings
Construction Worker , 08/2016 to 09/2017 
Company Name â€“ City , State 
Supported customer preferences with basic carpentry work such as installing wooden floors and crown molding
Consulted with customers to understand desires and help each owner meet individual property objectives
Gathered and disposed of work site debris to remove safety hazards and boost team productivity
Monitored materials inventory and requested items for restocking for each job
Loaded and unloaded building materials used for construction
Safely operated mowers, chain saws, electric clippers, sod cutters and pruning saws to clear construction sites, roadbeds and access roads
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs
Enhanced team efficiency and multitasking abilities by effectively using hand tools, power tools and equipment
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized","High School Diploma : 04/2010 
Buffalo High School - City , State 
CSHO (Certified Safety & Health Official) , 01/2020 
TEEX - City 
Skills
Cabinetry
Material prepping
Construction drawing interpretation
Carpentry techniques
Oral and written communication
Materials handling
New construction and renovation
Drywalling
Safety and compliance
Work History
Carpenter Apprentice , 10/2017 to 09/2019 
Company Name â€“ City , State 
Assisted with movement of materials and equipment to job sites
Worked with master carpenters to install decks for both residential and commercial customers
Installed and repaired woodwork, millwork and cabinetry under supervision of master carpenter
Kept job site cleaned up properly and all debris disposed of in respective containers
Interpreted specifications and construction drawings to understand tasks necessary to complete each job
Accepted feedback from foreman and journeyman carpenter, implementing suggestions into later work
Observed all OSHA and corporate safety regulations and procedures
Led variety of projects from start to finish, including garages, residential homes and additions
Repaired roofs and flooring and remodeled bathrooms and kitchens to complete projects in satisfactory time
Effectively used all fasteners such as nails, screws, pneumatic nailing systems, concrete anchors, powder-actuated fasteners and framing
connectors
Proactively managed projects to obtain 100% customer satisfaction for all custom work
Installed interior finish items, including wall protection, doors and hardware, toilet accessories, cubicle curtain tracks and TV brackets
Installed drywall, ceilings, trim and fabricated replacement trim and moldings
Construction Worker , 08/2016 to 09/2017 
Company Name â€“ City , State 
Supported customer preferences with basic carpentry work such as installing wooden floors and crown molding
Consulted with customers to understand desires and help each owner meet individual property objectives
Gathered and disposed of work site debris to remove safety hazards and boost team productivity
Monitored materials inventory and requested items for restocking for each job
Loaded and unloaded building materials used for construction
Safely operated mowers, chain saws, electric clippers, sod cutters and pruning saws to clear construction sites, roadbeds and access roads
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs
Enhanced team efficiency and multitasking abilities by effectively using hand tools, power tools and equipment
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized"
10149490.pdf,NEW CONSTRUCTION / AFE MAINTENANCE MANAGER,"Site Safety /Â Safety Standards, Site Assessments, Liaison, Operations, Environmental Compliance, Mentoring, Site Assessments, Budget
Problem Solving, Self Motivated, Team Building, Team Player, Excellent Written skills, Industrial Maintenance.","High School Diploma : Industrial Maintenance Mechanic De Anza High School , City , State , US High School Diploma- Industrial Maintenance
Mechanic De Anza High School- El Sobrante, CA, USA
Professional Affiliations
Active Fire Dept. member -2012, Honorary Member to Present
Certifications
Emergency Response
Active Fire Dept. member from 2000-2012, Honorary Member to Present
Safety Officer
Incident 100, 200, 300 and 700 courses
Strategy and Tactics
Advanced Fire FightingFoam school
Wild Lands Fire Fighting
Rope Rescue 1- Advanced Specialty Rope Schools
Qualified Haz Mat Technician
Qualified to operate various Fire Fighting Apparatus/ Equipment
Certified in many Emergency Response courses
Competed in the IRTS Competition in 2000 and 2002 (High Angle rescue)
Rope 1 Rescue Qualified
Certified Qualified Individual in the area of Oil Spill Response.
Certified Qualified Individual (Oil Spill Response) Experienced with On Land / Water Division Leader, Situation Control Leader, Planning
Section Deputy, planning Section Chief Positions
Skills
Site Safety /Â Safety Standards, Site Assessments, Liaison, Operations, Environmental Compliance, Mentoring, Site Assessments, Budget
/Â Forecasts, Construction Schedules / Integration, Contracts, Cost Control, QA/QC, Emergency Response, Leadership Skills, Proactive
Problem Solving, Self Motivated, Team Building, Team Player, Excellent Written skills, Industrial Maintenance."
10176013.pdf,CONSTRUCTION ESTIMATOR,"In depth knowledge of residential construction materials, methods, and systems
Highly skilled in obtaining bids from suppliers, negotiating prices, calculating cost factors and prepares estimates
Highly skilled in problem solving, and time and resource management
Proficient in MS Office, AutoCAD, and PlanSwift e stimating software
Honest, hardworking, confident, and patient individual, a bility to work independently with minimum supervision or in a team based
environment
Comfortable to spend extra time and efforts to meet the job requirements
Experience
12/2012 - Current
Company Name ï¼​ City , State Construction Estimator
Qualified competitive subcontractor bids prior to execution of contracts.
Carefully coordinated plans and specs using marketing programming standards.
Educated general contractor personnel on the quality standards throughout the construction process.
Managed a team of [Number] onsite general contractors for [Number] months.
Reviewed and investigated Proposed Change Order Requests (PCOR).
Assigned projects and tasks to employees based on their competencies and specialties.
Followed through with competent execution of project plans by providing proper tools and equipment to all construction personnel.
Performed construction site pre-inspections and coordinated post-construction audits.
Accurately provided status information on project progress to the project management.
Efficiently recorded and rejected incorrect deliveries of material to site.
Led and managed resolution of all issues during project construction and commissioning phases.
.Led the planning, budgeting and direction of all construction projects.
Assisted the project manager with bidding new jobs and projects.
Managed a project budget of $[Amount].
Defined project deliverables and monitored status of tasks.
Drafted action plans and led meetings with department executives to review project status and proposed changes.
Collaborated with cross-functional teams to draft project schedules and plans.
Monitored costs, timescales and resources used to achieve [Goal].
Served as the single point of contact for project scheduling and changes.
Updated and managed [Number] project databases.
Audited [Number] work plans per [Time period] and offered recommendations for improvements.
Troubleshooted electrical and mechanical defects for residential, commercial and industrial sites.
Assisted in implementation of operations, maintenance and capital programs.
Counted and verified orders picked to ensure accuracy.
Ensured customer satisfaction by providing highest quality of products by ensuring all equipment was properly installed and working
correctly.
Planned work and determined appropriate tools and equipment.
Processed work orders and prioritized jobs.
Provided equipment installations for a developing residential community of 40 units, working successfully according to project plans and
quality standards.
Reviewed project drawings to perform installation activities according to specifications.
Assisted in management of business operations by maintaining records and files, preparing cost and inventory reports, and ordering supplies.
Managed work with little supervision.
Drafted detailed drawings of structures, specifying dimensions and materials needed.
Developed and monitored internal financial budgets.
Reported on status of design process and cost analysis to project manager.
Drafted technical write-ups for proposals and projects.
Reviewed completed reports, plans, estimates and calculations for accuracy.
12/2009 - 06/2012
Company Name ï¼​ City , State Construction Manager
Qualified competitive subcontractor bids prior to execution of contracts.
Carefully coordinated plans and specs using marketing programming standards.
Facilitated processing of RFI's, submittal and samples among the general contractor, the owner and the owners consultants.
Managed the rights of way, easement and dedication processes.
Educated general contractor personnel on the quality standards throughout the construction process.
Obtained notices of completion and compliance certifications from all of the construction administration consultants.
Acted as the liaison between landscape architects and the general contractors.
Submitted all project closeout documents in accordance with the contract.
Assigned projects and tasks to employees based on their competencies and specialties.
Followed through with competent execution of project plans by providing proper tools and equipment to all construction personnel.
Performed construction site pre-inspections and coordinated post-construction audits.
Accurately provided status information on project progress to the project management.Led and managed resolution of all issues during
project construction and commissioning phases.
Assisted the project manager with bidding new jobs and projects.
07/2008 - 12/2009
Company Name ï¼​ City , State Pre-Production Manager
Carefully coordinated plans and specs using marketing programming standards.
Acted as the liaison between landscape architects and the general contractors.
Developed highly empathetic client relationships and earned reputation for exceeding sales goals.
Computed accurate sales prices for purchase transactions.
Performed construction site pre-inspections and coordinated post-construction audits.
Defined project deliverables and monitored status of tasks.
Drafted action plans and led meetings with department executives to review project status and proposed changes.
Served as the single point of contact for project scheduling and changes.
Addressed customer questions and concerns regarding products, prices and availability.
Developed slideshows and other forms of media to present project progress to the executive team.
Trained sales teams on educational products at seminars and special events.
Answered customers' questions about products prices, availability, uses and credit terms.
Determined the cost and pricing of proposals and bids.Estimated and quoted prices, credit and contract terms, warranties and delivery
dates.
03/2006 - 11/2008
Company Name ï¼​ City , State Real Estate Agent
Counseled customers on market current status for residential and land markets.
Guided home buyers and sellers through the process of short sales.
Educated clients on the current real estate market and answered any questions they had.
Developed an excellent rapport with custom builders to expand opportunities for growth.
Wrote contract documents, purchase agreements and closing statements.
Assisted in developing marketing material for properties.
05/2003 - 11/2008
Company Name ï¼​ City , State Executive Assistant Manager
Qualified competitive subcontractor bids prior to execution of contracts..
Carefully coordinated plans and specs using marketing programming standards.
Drafted meeting agendas, supplied advance materials and executed follow-up for meetings and team conferences.
Cleaned all construction areas to avoid hazards.
Performed heavy labor such as ditch digging, paving and hauling.
Continually cleaned work areas and equipment.
Discussed design standards and procedures with the directors of design and architecture.
Created oral and written presentations for project designs and proposals.
Defined project deliverables and monitored status of tasks.Updated and managed project databases.
05/2008 - 06/2008
Company Name ï¼​ City , State Sales Associate
Counseled customers on market current status for residential and land markets.
Coordinated appointments with prospective buyers to showcase houses and plots.
Wrote contract documents, purchase agreements and closing statements.
Assisted in developing marketing material for properties.
Actively follow-up with prospects and hot leads.
Followed up with prospects throughout the sales process.
Gathered, distributed and maintained all the materials for marketing plans.
Education
2004
Gettysburg College ï¼​ City , State , US Bachelor of Arts : Business Management
Coursework in Economics
Coursework in Computer Science","2004
Gettysburg College ï¼​ City , State , US Bachelor of Arts : Business Management
Coursework in Economics
Coursework in Computer Science"
10281555.pdf,CONSTRUCTION SITE MANAGER,"Good communication skills
Problem solving skills
Decision-making ability
Commercial awareness
Ability to motivate other
Teamworking skills
Good knowledge of building methods and regulations
Customer service
Account management
Business-to-business background
Capital planning
Staff training
Contract negotiation
Networking ability
Lead development
Product expertise
Crisis communications
Marketing
Blueprint reading
Regulation and compliance
Excellent driving record
Detail-oriented
Good mechanical aptitude
Production line/assembly line forklift experience
Good verbal/written communication skills
Establishing goals and setting priorities
Experience
03/2006 to 12/2012
Construction site manager Company Name ï¼​ City , State
Conferred with sales and marketing teams to ensure consistency in messaging and communication with business partners and customers, and
to relay insight from data collected to shape successful marketing campaigns.
Conducted strengths, weakness, opportunities and threats (SWOT) analyses to develop strategic plans for corporate level and business
units.
Worked with current clients to assess needs and develop improvement plans.
Stayed current on company products and services to provide top-notch expertise to customers.
Set up potential client contacts, cultivated relationships and followed through all service needs.
Put together contracts and completed sales with new and existing clients.
02/2003 to 06/2006
Construction Superintendent Company Name ï¼​ City , State
Maintained a written daily log of activities on the job site.
Reviewed project drawings to perform Â materials purchasingÂ 
Reviewed project drawings to perform Â materials
Â Evaluated plans architectural plans and consulted with Â Subcontractors Â to gain a deep understanding of project &
Provided equipment installations for a developing residential community of 40 units, working successfully according to project plans and
quality standards.
Reviewed engineering documentation to determine order of construction operations.
Assisted skilled workers with construction projects in all phases of rough and finish carpentry.
Conducted site pre-inspections and coordinated post-construction audits.
Managed work with little supervision.
Troubleshooted electrical and mechanical defects for residential, commercial and industrial sites.
Ensured customer satisfaction by providing highest quality of products by ensuring all equipment was Â properly installed and working
correctly.
07/2011 to 10/2017
Site Supervisor/Foreman Company Name ï¼​ City , State
Kept track of all inventory, including supplies and materials to help ensure against loss.
Gathered project material submittals and maintained records of approvals.
Monitored project expenses and developed pre-construction estimates.
Maintained a written daily log of activities on the job site.
Reviewed project drawings to perform installation activities according to specifications.
Evaluated plans architectural plans and consulted with clients to gain a deep understanding of project plan and objectives.
Education and Training
1997
Associate of Arts : Criminal Justice Tallahassee Community College ï¼​ City , State
2020
Associate of Science : Graphic Design Academy of Art University ï¼​ City , State
Activities and Honors
Class
Experience
Worked closely with construction teams at a variety of work sites.
Responsible for daily reporting on production equipment, including parts produced, downtime minutes, and any quality concerns.
Blueprint Reading
Read blueprints, work orders, and production schedules to accurately determine job instructions and specifications.
Problem Diagnosis 
Used operational knowledge of systems, parts and components to solve problems that arose during constructionÂ 
Inspection 
Inspected electrical systems, equipment, and fixtures to identify safety hazards for replacement or repair.Â 
Project Planning
Provided project controls, cost estimation, and other business support services to technical line management.
Safety Audit 
Led monthly safety audits to monitor employee behavior and ensure safe compliance with company policies and safety regulations.
Documentation
Reported and documented unsafe conditions, equipment and/or injury.
Military Experience
12/1990 to 12/1994
Visual Communications Company Name ï¼​ State
12/1994 to 12/1996
Safty trainning Petty Officer Company Name ï¼​ City","1997
Associate of Arts : Criminal Justice Tallahassee Community College ï¼​ City , State
2020
Associate of Science : Graphic Design Academy of Art University ï¼​ City , State
Activities and Honors
Class
Experience
Worked closely with construction teams at a variety of work sites.
Responsible for daily reporting on production equipment, including parts produced, downtime minutes, and any quality concerns.
Blueprint Reading
Read blueprints, work orders, and production schedules to accurately determine job instructions and specifications.
Problem Diagnosis 
Used operational knowledge of systems, parts and components to solve problems that arose during constructionÂ 
Inspection 
Inspected electrical systems, equipment, and fixtures to identify safety hazards for replacement or repair.Â 
Project Planning
Provided project controls, cost estimation, and other business support services to technical line management.
Safety Audit 
Led monthly safety audits to monitor employee behavior and ensure safe compliance with company policies and safety regulations.
Documentation
Reported and documented unsafe conditions, equipment and/or injury.
Military Experience
12/1990 to 12/1994
Visual Communications Company Name ï¼​ State
12/1994 to 12/1996
Safty trainning Petty Officer Company Name ï¼​ City"
10734870.pdf,CONSTRUCTION,"basic, Benefits, Billing, clients, excellent customer service, customer service, Forklift, hammer, HVAC, Inspect, inventory, Team lead, Multi-
tasking, Pallet Jack, cameras, power tools, reading, Read, Safety, schematics, shipping, Soldering, tape measure, answer phones, phone, TV","Fire Science BAKERSFIELD COLLEGE ï¼​ City , State Fire Science
HOUSTON COMMUNITY COLLEGE ï¼​ City , State
Skills
basic, Benefits, Billing, clients, excellent customer service, customer service, Forklift, hammer, HVAC, Inspect, inventory, Team lead, Multi-
tasking, Pallet Jack, cameras, power tools, reading, Read, Safety, schematics, shipping, Soldering, tape measure, answer phones, phone, TV"
10820510.pdf,QA / QC MANAGER,"API, Auto-Cad, closing, Inspector, materials, Excel, Microsoft Word, new construction, personnel, procurement, quality control, sales,
scheduling, shell, technical support, Weld, Welder","AWS Certified CWI (Certificate # 08110741) API Certified TES (Certificate # 32697) API Certified 653 (Certificate # 42276) ASNT Level III
(Certificate # 245052)
Skills
API, Auto-Cad, closing, Inspector, materials, Excel, Microsoft Word, new construction, personnel, procurement, quality control, sales,
scheduling, shell, technical support, Weld, Welder"
11393213.pdf,CONSTRUCTION LABORER,"Protective gear
Scaffold Erection
Measurement and Calculation Accuracy
Power Tools
Debris removal
Team-oriented and dependable
Blueprints and schematics
Lifting 50+ pounds
Preventive and Reparative Maintenance
Forklift Operation
Commercial Construction
Safety and compliance
Construction knowledge
Work History
Construction Laborer , 04/2019 to 06/2020 
Company Name â€“ City , State 
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs.
Prepared and cleaned surfaces for rebuilding purposes by removing damaged tiles, bricks and mortar.
Gathered and disposed of work site debris to remove safety hazards and boost team productivity.
Used radios and hand signals to coordinate communication between equipment operators and ground workers.
Interpreted job site supervisor's orders and technical documentation to complete accurate work.
Interacted daily with various project managers, subcontractors and municipal inspectors to complete construction projects.
Used required tools to complete jobs, including hammers, saws, squares, levels and fastening devices.
Efficiently prepared job sites by removing debris and setting up materials and tools.
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized.
Solar Panel Installer , 08/2018 to 03/2019 
Company Name â€“ City , State 
Isolated and addressed problems with electrical or environmental factors negatively impacting system operations.
Elegantly and skillfully connected system wiring and components to achieve both aesthetic and operational targets.
Calibrated system settings and arranged orientation for maximum solar access and optimal durability.
Put in place systems consistently surpassing code and safety standards.
Tested system wiring layouts, grounds and terminations to finalize installations.
Met and exceeded customer preferences with high-quality solar photovoltaic installations matching designs parameters.
Conducted visual inspections and physical tests on previously installed modules and systems to identify faults.
Examined blueprints, technical documentation and customer facilities to determine appropriate locations for installations.
Inventoried supplies and materials for installations and repairs, documented changes and requested new inventory to meet expected
demand.
Education
High School Diploma : 04/2010 
Central High School - City 
Associate of Science : Construction Management , Expected in 06/2024 
Liberty University - City , State 
Certifications
First Aid/CPR Certified
Protective gear
Scaffold Erection
Measurement and Calculation Accuracy
Power Tools
Debris removal
Team-oriented and dependable
Blueprints and schematics
Lifting 50+ pounds
Preventive and Reparative Maintenance
Forklift Operation
Commercial Construction
Safety and compliance
Construction knowledge
Work History
Construction Laborer , 04/2019 to 06/2020 
Company Name â€“ City , State 
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs.
Prepared and cleaned surfaces for rebuilding purposes by removing damaged tiles, bricks and mortar.
Gathered and disposed of work site debris to remove safety hazards and boost team productivity.
Used radios and hand signals to coordinate communication between equipment operators and ground workers.
Interpreted job site supervisor's orders and technical documentation to complete accurate work.
Interacted daily with various project managers, subcontractors and municipal inspectors to complete construction projects.
Used required tools to complete jobs, including hammers, saws, squares, levels and fastening devices.
Efficiently prepared job sites by removing debris and setting up materials and tools.
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized.
Solar Panel Installer , 08/2018 to 03/2019 
Company Name â€“ City , State 
Isolated and addressed problems with electrical or environmental factors negatively impacting system operations.
Elegantly and skillfully connected system wiring and components to achieve both aesthetic and operational targets.
Calibrated system settings and arranged orientation for maximum solar access and optimal durability.
Put in place systems consistently surpassing code and safety standards.
Tested system wiring layouts, grounds and terminations to finalize installations.
Met and exceeded customer preferences with high-quality solar photovoltaic installations matching designs parameters.
Conducted visual inspections and physical tests on previously installed modules and systems to identify faults.
Examined blueprints, technical documentation and customer facilities to determine appropriate locations for installations.
Inventoried supplies and materials for installations and repairs, documented changes and requested new inventory to meet expected
demand.","High School Diploma : 04/2010 
Central High School - City 
Associate of Science : Construction Management , Expected in 06/2024 
Liberty University - City , State 
Certifications
First Aid/CPR Certified
Skills
Protective gear
Scaffold Erection
Measurement and Calculation Accuracy
Power Tools
Debris removal
Team-oriented and dependable
Blueprints and schematics
Lifting 50+ pounds
Preventive and Reparative Maintenance
Forklift Operation
Commercial Construction
Safety and compliance
Construction knowledge
Work History
Construction Laborer , 04/2019 to 06/2020 
Company Name â€“ City , State 
Erected and removed temporary structures such as trench liners and scaffolding to meet team needs.
Prepared and cleaned surfaces for rebuilding purposes by removing damaged tiles, bricks and mortar.
Gathered and disposed of work site debris to remove safety hazards and boost team productivity.
Used radios and hand signals to coordinate communication between equipment operators and ground workers.
Interpreted job site supervisor's orders and technical documentation to complete accurate work.
Interacted daily with various project managers, subcontractors and municipal inspectors to complete construction projects.
Used required tools to complete jobs, including hammers, saws, squares, levels and fastening devices.
Efficiently prepared job sites by removing debris and setting up materials and tools.
Gathered waste and trash from job sites for placement in refuse containers to keep job sites clean and organized.
Solar Panel Installer , 08/2018 to 03/2019 
Company Name â€“ City , State 
Isolated and addressed problems with electrical or environmental factors negatively impacting system operations.
Elegantly and skillfully connected system wiring and components to achieve both aesthetic and operational targets.
Calibrated system settings and arranged orientation for maximum solar access and optimal durability.
Put in place systems consistently surpassing code and safety standards.
Tested system wiring layouts, grounds and terminations to finalize installations.
Met and exceeded customer preferences with high-quality solar photovoltaic installations matching designs parameters.
Conducted visual inspections and physical tests on previously installed modules and systems to identify faults.
Examined blueprints, technical documentation and customer facilities to determine appropriate locations for installations.
Inventoried supplies and materials for installations and repairs, documented changes and requested new inventory to meet expected
demand."
11650031.pdf,HYDROBLASTING TECHNICIAN 1,"Carpentry
Building Maintenance
Environmental Coordination
Adherence with all Safety Regulations
Excellent Leadership skills
Customer Service Oriented
Efficient Time Management
Effective Problem Solving
Experience
Company Name June 2014 to Current Hydroblasting Technician 1 
City , State
Properly operates hoses on vacuum trucks; hydroblasting guns; and manipulate controls on robotic equipment. Prepare jobsite for hydro
blasting. Monitor hydroblasting operations.
Perform job duties in a safe manner, in compliance with policies, procedures and practices. Wear personnel protective equipment (PPE) as
defined by state regulations.
Correct deficiencies that may cause accidents, injuries, lost productivity or harm to equipment or that are inconsistent with client's
requirements. Assist with hydroblasting and tank cleaningÂ in various refineries.
Company Name November 2012 to June 2015 Construction Assistant 
City , State
Performed prep work including masking, sanding and filling holes. Interior and exterior painting.
Built and placed plywood/wall systems; installed doors and windows.
Constructed concrete forms, poured concrete by pump and bucket barrowed or shoveled. Utilized jack hammers, compressors and power
tools for daily task.
Company Name June 2012 to Current Building Maintenance 
City , State
Perform general building maintenance to include but not limited to theÂ building grounds, landscaping as well as pressure washing.
Uses various hand and power tools to repair faucets, plumbing and lighting fixtures.
Respond quickly to emergency situations and customer concerns.
Education
Knowledge-First Empowerment Academy August 2016 High School Diploma : General Education
Certifications
Basic Plus Safety - July 2016
TWIC - April 2012
NCCER - June 2010","Certifications
Basic Plus Safety - July 2016
TWIC - April 2012
NCCER - June 2010"
12212468.pdf,ASSISTANT PROJECT MANAGER/DESIGN BUILD CONSTRUCTION COORDINATOR,"bridges, contracts, delivery, direction, Engineer, framing, HVAC, lighting, managing, materials, access, 3.1, Network Installation, painting,
plumbing, procurement, project plans, quality, quality control, safety, sound, supervising, supervision, Transportation, Type III, Type II, utilities","1999
B.S : Civil Engineering University of Kentucky ï¼​ City , State , US
Civil Engineering Clara Newsom
Assistant Project Manager
Skills
bridges, contracts, delivery, direction, Engineer, framing, HVAC, lighting, managing, materials, access, 3.1, Network Installation, painting,
plumbing, procurement, project plans, quality, quality control, safety, sound, supervising, supervision, Transportation, Type III, Type II, utilities"
