PDF File Name,Job Role,Skills,Education
10005171.pdf,MEDIA ACTIVITIES SPECIALIST,"academic, ads, advertising, banners, brochures, budget, conferences, special events, market research, marketing, materials, newspaper, office
manager, personnel, press, press releases, publication, radio, recruitment, scripts, strategy, strategic planning, television, website content
Professional Affiliations
National Council for Marketing and Public Relations (NCMPR)
Tennessee College Public Relations Association (TCPRA)
Lookout Chapter of the Public Relations Society of America American (PRSA)
Advertising Federation Chattanooga (Ad Fed)
Tennessee Screenwriters Association
Education
1994
Master of Arts : Radio, Television & Motion Pictures University of North Carolina ï¼​ City , State
Radio, Television & Motion Pictures
Writers Guild of America Internship, Star Trek: Deep Space 9 , Paramount Pictures, Los Angeles California, Summer 1993
1975
Bachelor of Arts : Human Services University of Tennessee ï¼​ City , State
Human Services
M ortar Board Senior Citation, Academic Achievement Award; Academic Council; AASLF Outstanding Senior Award; Cheerleader; Campus
Entertainment Board; Experiment in International Living trip to Italy Summer of 1973; Operation Crossroads to Africa travel to six West African
nations during the summer of 1972; Resident Assistant 1975
Interests
Writers Guild Board of Directors (2011-2012)
Sanctified Sisters Performing Ministry, Executive Director and Founder Howard High School, Class of 1971, President and Reunion Chairperson
2001-2011)
Murray Hills Neighborhood Association Board (2009-2011)
Hillcrest Elementary School PTA, President (2009-2010)
Moccasin Bend Council of the Girl Scouts of America, Leader,
Brownie Troop 875 (2007-2009)","Created personal interest classes that appealed to and met the needs of the community.
Recruited instructors, organized schedule, and marketed courses.
Organized first Spanish language classes for ER personnel in local hospitals.
Skills
academic, ads, advertising, banners, brochures, budget, conferences, special events, market research, marketing, materials, newspaper, office
manager, personnel, press, press releases, publication, radio, recruitment, scripts, strategy, strategic planning, television, website content
Professional Affiliations
National Council for Marketing and Public Relations (NCMPR)
Tennessee College Public Relations Association (TCPRA)
Lookout Chapter of the Public Relations Society of America American (PRSA)
Advertising Federation Chattanooga (Ad Fed)
Tennessee Screenwriters Association
1994
Master of Arts : Radio, Television & Motion Pictures University of North Carolina ï¼​ City , State
Radio, Television & Motion Pictures
Writers Guild of America Internship, Star Trek: Deep Space 9 , Paramount Pictures, Los Angeles California, Summer 1993
1975
Bachelor of Arts : Human Services University of Tennessee ï¼​ City , State
Human Services
M ortar Board Senior Citation, Academic Achievement Award; Academic Council; AASLF Outstanding Senior Award; Cheerleader; Campus
Entertainment Board; Experiment in International Living trip to Italy Summer of 1973; Operation Crossroads to Africa travel to six West African
nations during the summer of 1972; Resident Assistant 1975
Interests
Writers Guild Board of Directors (2011-2012)
Sanctified Sisters Performing Ministry, Executive Director and Founder Howard High School, Class of 1971, President and Reunion Chairperson
2001-2011)
Murray Hills Neighborhood Association Board (2009-2011)
Hillcrest Elementary School PTA, President (2009-2010)
Moccasin Bend Council of the Girl Scouts of America, Leader,
Brownie Troop 875 (2007-2009)"
10515955.pdf,DIGITAL MEDIA SALES CONSULTANT,"Personal:
Active in animal rescue organizations
Ad Building, Ad Order Entry, Advertising, Advertising sales, Automotive advertising, Billing, Cold calling, Contract negotiation, Customer Service,","Marketing Augusta State University ï¼​ City , State
1994-1997
Bachelors of Science , Psychology 2012 University of Phoenix ï¼​ City , State
Psychology
Master of Science , Counseling and Clinical Psychology Troy University ï¼​ City , State
Expected graduation: 2016
Additional Information
Additional Skill-Building Training:
Landy Chase Value-Based Selling- The Augusta Chronicle,
2010 Franklin Covey- The Savannah Morning News,
2005 Telephone Selling- The Savannah Morning News,
2003 Customer Service Training- The Savannah Morning News,
2003 Telephone Selling- The Savannah Morning News,
2002 Advertising Legal Issues Training Class- The Augusta Chronicle,
2001 CARE (Communication Actions that Result in Effectiveness)- The Fayetteville Observer,
1999 Customer Service (Telephone Manners that Win)- The Fayetteville Observer,
1998 Selling from the Heart- The Augusta Chronicle,
1997 Relationship Strategies- The Augusta Chronicle,
1997 Exceptional Customer Service- The Augusta Chronicle,
1997 Telephone Skills Workshop- The Augusta Chronicle
Personal:
Active in animal rescue organizations
Skills
Ad Building, Ad Order Entry, Advertising, Advertising sales, Automotive advertising, Billing, Cold calling, Contract negotiation, Customer Service,
Digital advertising, Needs analysis, Proposal Generation, Recruitment advertising, Telephone Skills."
11005406.pdf,SPRINT ISP MANAGEMENT TO THE VENDOR,"Cisco, Exchange, Firewall, Iis, Internet Information Services, It Support, Layout For, Microsoft Windows, R2, Sap, Security, System Security,
Virtualization, Windows 2003, Windows Server 2003, Cisco Asa, Emc, Emc Vnx, Orion, Vnx, Access, Atc, Dfs, Engineer, Fibre Channel,
Marketing, San, Solarwinds, Ssl, Storage Area Network, Systems Engineer, Vmware, Analog, Aws, Clients, Cost Analysis, Data Center, Emc
Vnxe, Isp, Microsoft Exchange, Pbx, Sql, System Administration, Systems Administration, Training, Virtual Machine, Vm, Vnxe, Wireless, Ac,
Brocade, Business Continuity, Catalyst, Ccna, Deployment, Dhcp, Dns, Dos, Emc Navisphere, Ethernet, Iscsi, Lan, Lan Manager, Layer 2,
Navisphere, Netware, Os/2, Red Hat, Router, Switching, Tcp, Tcp/ip, Windows 7, Windows 95, Business Management","BS : Business Management Ottawa University ï¼​ City , State , US Ottawa University ~ Overland Park, KS Campus Currently pursuing a BS in
IT, Minor in Business Management
Certifications
CCNA CCDA
MSCE
VMWARE ESXi technologies
Watchguard Firewall Technologies
Exchange 5.5-2010
OS/2/Netware/DOS Lan Manager (Many years of exposure to networks)
Windows Server NT, 2000, 2003, 2008
Office 95, 97, 2000, 2003, 2007, 2010
F5 BigIP AFM/LTM Installation/Administration
EMC VNX SAN Technologies - Training/Experience on new 5300/Unisphere/VNXe 3100 Unisphere/AX4-5i/Navisphere
Experience with iSCSI, SMB
Cisco UCS Blade Server technologies
Supporting 10gb Fabric Connect technologies for UCS/SAN/VMWARE deployment
Backup/DR Applications and Business Continuity programs TECHNOLOGY
Cisco Router - Cisco Catalyst Switch - Switching Technologies (Layer 2,3) - Ethernet, FastEthernet, GigEthernet,
HP/Dell/Cisco Managed Switches - Cisco Switching (latest is 4500)
Watchguard XSeries
F5 BigIP LTM/ASM
DHCP
TCP/IP
DNS
SSL Cert Mgmt
Wireless B/G/AC Gb
Skills
Cisco, Exchange, Firewall, Iis, Internet Information Services, It Support, Layout For, Microsoft Windows, R2, Sap, Security, System Security,
Virtualization, Windows 2003, Windows Server 2003, Cisco Asa, Emc, Emc Vnx, Orion, Vnx, Access, Atc, Dfs, Engineer, Fibre Channel,
Marketing, San, Solarwinds, Ssl, Storage Area Network, Systems Engineer, Vmware, Analog, Aws, Clients, Cost Analysis, Data Center, Emc
Vnxe, Isp, Microsoft Exchange, Pbx, Sql, System Administration, Systems Administration, Training, Virtual Machine, Vm, Vnxe, Wireless, Ac,
Brocade, Business Continuity, Catalyst, Ccna, Deployment, Dhcp, Dns, Dos, Emc Navisphere, Ethernet, Iscsi, Lan, Lan Manager, Layer 2,
Navisphere, Netware, Os/2, Red Hat, Router, Switching, Tcp, Tcp/ip, Windows 7, Windows 95, Business Management"
11270462.pdf,SOCIAL MEDIA MANAGER,"Associate, Basis, Greeting, Inventory, Monthly Sales, Sales, Sales Associate, Sales Or, Stocking, Marketing, Posting, Clients, Filing, Increase,
Liaison, Problem Solver, Proofreading, Recruitment, Very Organized, Games, Promotional, Public Relations","Bachelor's : Public Relations, Business University of Louisiana at Lafayette ï¼​ City , State , US University of Louisiana at Lafayette, Lafayette LA
Public Relations/Liberal Arts, May 2014 Bachelor's degree in Public Relations with a minor in Business
Accomplishments
As part of one of my last core Communications classes at The University of Louisiana at Lafayette, better known as Campaigns 490, students
were divided into 5 teams of 5 to create a campaign for a specific client, the ULL Communication Department. The proposal was to increase
recruitment numbers by 20% in the next year. Each member of the team had a unique job and mine was Editor, which entailed reviewing,
proofreading, and finalizing the group's final written reports and social media sites. After a semester of gathering and analyzing research, developing
a campaign based on objectives, creating a new branded image and evaluating the plan for the department, the Department of Communication
chose our campaign as the winning group proposal
Professional Affiliations
THE ANDRÃ‰ COMEAUX CAMPAIGN , Lafayette, LA
Skills
Associate, Basis, Greeting, Inventory, Monthly Sales, Sales, Sales Associate, Sales Or, Stocking, Marketing, Posting, Clients, Filing, Increase,
Liaison, Problem Solver, Proofreading, Recruitment, Very Organized, Games, Promotional, Public Relations"
11677012.pdf,SOCIAL MEDIA MARKETING MANAGER,"Excellent customer service skills
High ability to perform under stressful circumstances
Exceptional organizational skills 
Effective problem-solving skills","Bachelor of Arts : International Studies May 2016 North Carolina State University , City , State , USA
Concentration in European Studies and e mphasis on Italian StudiesÂ 
Member of Pi Beta Phi Fraternity for Women, Recruitment and Philanthropy Committees
Member of National Society of Leadership and Success
Literary Tutor with Helping Early Literacy with Practice Strategies (HELPS) ProgramÂ 
Sigma Rho Chi: Sorority Recruitment Counselor
Member of International Business Club
Semester Study Abroad
Languages
Limited working proficiency of Italian language. Elementary proficiency of Spanish language.
Skills
Excellent customer service skills
High ability to perform under stressful circumstances
Exceptional organizational skills 
Effective problem-solving skills"
12085736.pdf,DIGITAL ADVERTISING CONSULTANT,"Ad, Advertising, B2B, Basic, competitive, contract management, credit, CSS, client, Clients, customer support, client support, DBM, delivery, E-
mail, features, Flash, UX, HTML, HTML5, JavaScript, managing, marketing, market, media plan, publisher, negotiation, Newsletters,
presentations, processes, Proposal, QA, receiving, reporting, sales, Servers, shipping, SQL, strategy, strategic, technical assistance, technical
documentation, telephone, video, web development, website, workflow","Bachelors of Science : Computer Science Eastern Shore , May 2007 
University of Maryland 
Computer Science Eastern Shore
Summary
7+ years of experience in strategic planning, programmatic advertising, campaign management, performance optimization, and inventory
forecasting. Experience in programmatic advertising with proficiency in ad serving, DSP, SSP, DMP, Ad Exchange, and Ad Network platforms.
Experience in leveraging all facets of advertising operations including but not limited to campaign management, advertising application management
and detailed campaign analysis. Proficient in the use of various reporting tools and advertising platforms. Extremely passionate and knowledgeable
about digital media.
Highlights
DoubleClick (DFP-Certified, DCM & DBM) as well as an understanding of programmatic advertising delivery processes, including but not
limited to Ad Exchanges, Demand and Supply Side platforms, RTB, and prevailing industry standards (VAST, VPAID, MRAID, IAB etc.) Â·
Applications: Proficient in Basic SQL, JavaScript, and HTML5/CSS
Skills
Ad, Advertising, B2B, Basic, competitive, contract management, credit, CSS, client, Clients, customer support, client support, DBM, delivery, E-
mail, features, Flash, UX, HTML, HTML5, JavaScript, managing, marketing, market, media plan, publisher, negotiation, Newsletters,
presentations, processes, Proposal, QA, receiving, reporting, sales, Servers, shipping, SQL, strategy, strategic, technical assistance, technical
documentation, telephone, video, web development, website, workflow"
13328680.pdf,DIRECTOR,"PPC
Digital Media Planning
DSP
Behavioral Targeting
Comscore
SimilarWeb
Kenshoo
MS Excel, PPT
Agile Marketing
Ads, Portuguese
Advertising, Presentations
Agile, Quality
Agency, Quality control
Auditing, Reporting
Branding, Sales
Budget, Bilingual
BI, Spanish
Capital Markets, Strategy
Clients, Strategic
Client
Data analysis
Designing
DSP
Direction
English
Fast
Features
Financial
French
Innovation
Investments
Leadership
Marketing
Market
Media Planning
Meetings
MS Excel
Modeling
Next
Optimization
Work History
Director , 07/2017 to 05/2021 
Company Name 
With over 12 years' experience in performance marketing (PPC), Search Engine Marketing, Social, Local and Programmatic media.
The experience I gained in portfolio management reflects in obtaining the best results for my customers, allocating their investments
accordingly for better returns in the digital marketing world.
I enjoy working in fast-paced environments and find that the dynamism in digital marketing fulfills that completely., Vendor for Microsoft
Digital Advertising.
Part of a global team of 8 people all remote.
Built audience clusters based on behavioral targeting for Brazilian, Mexican, Canadian, and US markets.
Utilized data analysis tools to optimize performance and improve CTRs.
Project revenue in Brazil grew from $50k to over $500k and grew to over $3mm in the second year.
Assisted in quality control for other team members.
Digital Media Solutions Executive Director , 01/2016 to 07/2017 
Company Name â€“ City , State 
Led a team of 8 specialists in search, social, mobile, display, programmatic and local ads bringing innovation and new digital opportunities to
Blinks, focusing on Branding and Performance.
Responsible for growing media spend across all channels.
During this period media spend grew over 100% (+300mm).
Established procedures and best practices for Digital media planning and execution ensuring efficiency in all stages of the customers' journey.
Created and established the Blinks Media Mix Modeling.
Provided strategic insight across many digital channels to the account teams.
Implemented auditing and technical evaluations to improve quality in campaign execution and optimization.
Created and delivered training to new hires and weekly training for company employees covering all areas of digital media.
Built and maintained strong partnerships with media channels providing opportunities to implement betas, first-to-market cases and assist in
developing new products.
Assisted Sales team with data and cases when elaborating presentations for RFPs.
Provided insights to BI and DevOps for the development of in-house dashboards and media management tool.
Invited to test the beta for the Facebook Blueprint Certification.
Coordinated Digital Days for clients.
Member and partner of senior executive leadership and actively participated in designing the path and direction of the company.
Awarded Bing Agency of the Year award (September 2017).
Account Director , 01/2014 to 12/2015 
Managed portfolio of largest clients at Blinks including global accounts (+R$6mm/month) Led a team of 8 analysts that provided media
strategy and activation of branding and performance campaigns.
Clients included Netshoes, ACCOR, AIG and OLX.
Cross channel reporting, analysis, and weekly wrap-ups with team and clients.
Oversaw budget allocation and prioritization for campaigns.
Elaborated campaigns with clients and channel partners to develop first-to- market cases with excellent results and benchmark examples.
Created best practices such as AB Testing, Black Friday checklists, documenting learnings, creatives analysis.
Reduced CPL by 300% for one account in less than 6 months.
Maintained customer's ROI whilst increasing investment from 300k to 600k.
Tripled lead generation whilst reducing CPL by 150%.
Invited to become an executive partner at Blinks.
Account Manager , 12/2010 to 12/2013 
Managed portfolio of large and SMB accounts, +- 30 accounts and led a team of 6 analysts.
Responsible for the strategy and execution of PPC campaigns.
Defined strategy and KPIs based on client objectives and goals.
Held monthly meetings with the clients to go over results and next steps.
Behavior Targeting Specialist , 01/2008 to 01/2013 
Company Name â€“ City , State 
Senior Investment Specialist , 01/1999 to 03/2003 
Company Name â€“ City , State 
Managed portfolio of high net worth accounts (+U$ 1 million) including Latam customers.
Provided trading assistance in various financial products.
Reviewed client portfolios advising them on investment solutions conforming to their objectives.
Educated clients on usage of trading platforms and software.
Equity Trading Liaison , 07/1997 to 01/1999 
Capital Markets & Trading - Operations Liaison between exchanges and account reps resolving trade disputes.
Reduced risk to firm by resolving disputes in a timely manner mitigating losses.
Managed downtime operations.
Led team of 20+ helpers to input trades manually into the system when downtimes occurred.
Agility and accuracy were key features.
Floor Broker , 01/1995 to 01/1997 
Company Name â€“ City , State 
CBOE broker trading stocks such as KO, HON and BAC.
Executed orders from various brokerage houses, evaluating market volatility and order flow for best executions.
Education
WPP Mini MBA : Business Strategy , 04/2017 
B.S : Business Administration , 05/1994 
Boston College - City , State 
Certifications
CERTIFICATIONS Google AdWords Certified Google Analytics Certified Facebook Certified Planning Professional.
Languages
English Native or Bilingual Portuguese Native or Bilingual Spanish","WPP Mini MBA : Business Strategy , 04/2017 
B.S : Business Administration , 05/1994 
Boston College - City , State 
Certifications
CERTIFICATIONS Google AdWords Certified Google Analytics Certified Facebook Certified Planning Professional.
Languages
English Native or Bilingual Portuguese Native or Bilingual Spanish"
13343786.pdf,SR. LEAVE OF ADMINISTRATIVE SPECIALIST,"Benefits and payroll coordination
Superb interpersonal skills
Detail-oriented
Background checks
Time management
Exit interviews
Staff recruiting and retention
ADP
Fluent in English
HRIS Lawson
Work History
Sr. Leave of Administrative Specialist 06/2013 to Current 
Company Name â€“ City , State 
Extensive knowledge of Section 125 cafeteria plans, FMLA, COBRA, ERISA and HIPAA regulations.
Responsible to analyze and coordinate FMLA, STD, LTD, Military, Personal Leaves and Worker's Compensation.
Makes determinations and takes appropriate actions(s) based on state and federal regulations.
Supervise Benefits administration team.
ADA administration and compliance.
Coordinate with employees, managers, HR Partners, and TPA's, to resolve complex leave of absence questions.
Train management on proper leave of absence procedures.
Review and document the Leave of Absence process for all locations.
Represent organization at personnel-related hearings and investigations.
Works closely with Safety Manager and Employee Relations Managers to implement preventative measures to reduce WC claims.
Also acts as liaison between team and risk management in communicating changes/developments with TPA's.
Prepares reports and statistics for lost time and absence trends.
Human Resources Specialist 11/2012 to 06/2013 
Company Name â€“ City , State 
Conducted employment verifications and investigations.
Facilitated the criminal background check process for new hires.
Managed all aspects of leave administration, including employee notifications and vendor management, disability programs and health
benefits.
Acted as liaison between employees and insurance carriers to resolve problems and clarify benefits.
Shadowed employees to determine an accurate description of the duties and skills required for each position.
Handled understaffing, disputes, terminating employees and administering disciplinary procedures.
Benefits Administrator 05/2012 to 11/2012 
Company Name â€“ City , State 
Responsible for directing and planning the day-to-day operations of group benefit programs (group health, dental, vision, long-term
disability, worker's compensation, life insurance, supplemental insurances, Health Savings Plan, 401(k) plan and retirement plan).
Investigated new benefit programs, improve existing programs, supervise and monitor benefit administration.
Ensured that all invoices from Vendors are prepared and submitted accurately to Accounting.
Coordinated annual open enrollment.
Leave of Absence Consultant 02/2012 to 05/2012 
Company Name â€“ City , State 
Coordinated the administration of disability and leave programs.
Advised employees on eligibility, provisions, and other matters related to disability and leave programs.
Consulted with and advise employees, managers and occasionally HR Managers on eligibility, provisions, and other matters related to
disability and leave.
Assisted in the preparation and maintenance of employee leave communications.
Recommended new and/or improved benefit plan processes and/or cost-saving measures.
Senior Benefits Analyst 05/2011 to 11/2011 
Company Name â€“ City , State 
Provided innovative solutions that evolve our benefit offering and strategy Delivered annual financial and plan reporting inclusive of return on
investment (ROI), metrics and measures, demographic and plan analytics Analyzed, evaluate and present proposed business initiatives
and/or issues.
Develop recommendations or solutions that support the business Translated customer needs into effective, valuable solutions and
communicate solutions to the business.
Ensured effective and efficient operations of our plans Provided communication, training and support to stakeholders Managed vendor
partners to ensure the best in class products, programs and service Ensured compliance with all local, State and Federal regulations.
Corporate Human Resources Coordinator 10/2006 to 05/2011 
Company Name â€“ City , State 
Maintained human resources records by recording new hires, transfers, terminations, changes in job classifications, merit increases and
tracking leave time.
Administered and counseled with employees on leaves of absence, FMLA, STD/LTD, Workers Compensation to include documentation,
reporting, pay and communication to employee/manager.
Liaison with TPA managing COBRA enrollments.
Assisted in preparation of employee separation notices and related documentation Provide communication, training and support to
stakeholders Organized and administered various special projects for the human resource department such as policies, new hire booklets,
compiling data for audits.
Handled Tuition Reimbursement approval.
Immigration process using the E-Verify program.
Conducted Exit interviews.
Human Resources Benefit Representative 10/2003 to 10/2006 
Company Name â€“ City , State 
Managed daily entries for new hires, status changes, terminations, health benefits and welfare benefits.
Resolved escalated health benefit issues that derived from the Human Resources Service Center.
Conducted monthly audits from carrier's invoices and resolving discrepancies.
Liaison with TPA managing COBRA enrollments.
Managed hiring, enrollment, and orientation for staff members, physicians, fellows, residents and nurses.
Conducted new hire orientation and annual enrollment with the benefit's team.
Education
Master of Science : Current Penn State University - City , State Human Resources and Employment Relations
B.S : Human Resources Management 12 2012 Capella University - Human Resources Management
Certifications
FMLA Specialist Certification - HR Certification - September 2014
Affiliations
Benefits and Compensation Certification - Cornell University - November 2006 Affiliations Society for Human Resource Management (SHRM)
CEB Human Resources Network
Accounting, ADA, ADP, benefits, Benefits administration, clarify, directing, documentation, Employee Relations, financial, hiring, HRIS, human
resource, Human Resources, HR, insurance, Lawson, managing, Works, PeopleSoft, personnel, policies, processes, recording, reporting, risk
management, Safety, SAP, statistics, strategy, vendor management, vision","Master of Science : Current Penn State University - City , State Human Resources and Employment Relations
B.S : Human Resources Management 12 2012 Capella University - Human Resources Management
Certifications
FMLA Specialist Certification - HR Certification - September 2014
Affiliations
Benefits and Compensation Certification - Cornell University - November 2006 Affiliations Society for Human Resource Management (SHRM)
CEB Human Resources Network
Skills
Accounting, ADA, ADP, benefits, Benefits administration, clarify, directing, documentation, Employee Relations, financial, hiring, HRIS, human
resource, Human Resources, HR, insurance, Lawson, managing, Works, PeopleSoft, personnel, policies, processes, recording, reporting, risk
management, Safety, SAP, statistics, strategy, vendor management, vision"
13503650.pdf,MEDIA ADMINISTRATOR,"Administrative support, conflict resolution, meetings, Outlook","Briarcliffe College Associate of Arts : Paralegal Studies City , State , USA
Completed 57 credits towards Associates of Arts Degree
Professional Affiliations
Member, Alumni Association Dress for Success Worldwide (2012-Present) Association of Professional Women's Group, Ambassador, Mentor
Member, Alumni Association Henry Street Settlement (2012-Present)
Job Essentials Training (JET)
Board Member, Community Action Plan for Emergency Preparedness 2014 - Present
Interests
Writer - Preparing for publication 2015
Volunteer - Community activities - Community Harvest
Skills
Administrative support, conflict resolution, meetings, Outlook"
13837784.pdf,DIGITAL MEDIA BUYER,"account management, photo, budget, content, CPI, Creative Director, client, clients, Drupal, senior management, HTML, Internet Marketing,
managing, marketing, Excel, money, MSOffice, Outlook, PowerPoint, Word, Page, seminars, strategy, websites, Content Writing","Bachelor of Arts : Communication Business University of Missouri , City , State Communication Business
Skills
account management, photo, budget, content, CPI, Creative Director, client, clients, Drupal, senior management, HTML, Internet Marketing,
managing, marketing, Excel, money, MSOffice, Outlook, PowerPoint, Word, Page, seminars, strategy, websites, Content Writing"
