PDF File Name,Job Role,Skills,Education
10235429.pdf,FITNESS INSTRUCTOR,"Sales Management
Account Management
Program Management
Client Relationships
Product Marketing
Customer Retention
Distribution Strategies
Team Leadership
Wine & Spirits/Beverage Industry
Experience
Fitness Instructor , 02/2013 to Current 
Company Name â€“ City , State 
Teach energetic workouts that are challenging and motivating, yet safe. Provide students individualized hands-on adjustment throughout class.
Address each student by name during class and cultivate long term relationships. Organized the 2014 Fitness Kick-off Challenge in which local
vendors provided educational seminars/products to inspire a commitment to a healthier lifestyle. Assist clients of all ages and fitness levels in
improving health and wellness.
Owner , 01/2011 to Current 
Company Name â€“ City , State 
Founder of a stand up paddle board business consisting of retail sales, rentals and lessons. Hands on involvement from lease contract negotiations
to build-out, to website development and marketing strategy. On site management of all daily operations as well as recruiting, hiring and training
staff. Responsible for all aspects of business including inventory management, product education, payroll, and social media outreach. Organized
corporate outings and charity fundraisers. Became the first and only Austin stand up paddle board company to offer online reservations for clients.
Achieved an overall 5 star rating on YELP within the first year of business. The company is closing October 31, 2014.
Central Regional Manager , 10/2008 to 03/2011 
Company Name â€“ City , State 
Successfully executed sales and managed an eight state region consisting of two distributors/brokers, with a combined total sales of approximately
$2.7 million. Developed and implemented a promotional calendar for regional locations of national food stores. Collaborated with corporate
buyers on private label product development and program management. Worked as a team with distributor management and staff to educate and
develop programs for increasing product knowledge, market presence and sales. Monthly conference calls with broker principals to review
performance, goals and opportunities. Conducted educational tea classes for retail sales partners as well as consumers.
Fine Wine Specialist , 2008 to 2008 
Company Name â€“ City , State 
Developed relationships with on/off premise accounts to identify opportunities for product placement. Conducted wait staff training seminars and
designed wine by the glass programs to support the Diamond portfolio. Assisted with inventory management and stock rotation. Set shelf space,
cold box and built displays to support supplier promotions and incentive programs. Demonstrated sales abilities through successful presentation
and promotion of new and existing products and the expansion of business. Met or exceeded assigned monthly quotas and placement objectives.
Western Regional Sales Manager , 2005 to 2008 
Company Name â€“ City , State 
Proficiently managed sales in a six state region comprised of eight different distributors/brokers, with combined total sales of approximately
$1million. Interfaced directly with buyers, distributor management, sales representatives and marketing associates located throughout the territory.
Conducted regular reviews with distributor management to ensure consistent performance to goal. Attended distributor sales meetings to present
and educate representatives on new and existing products. Designed and implemented various sales incentives with a focus on elevating
performance. Provided product training and promotional strategies to sales representatives and restaurant and retail staff. Developed Excel
program to track monthly performance to goal.Increased overall sales in region by 9.5%.
California Area Sales Manager , 2002 to 2004 
Company Name â€“ City , State 
Interfaced with key on/off-premise accounts, working in partnership with the distributor sales force to promote brand building and line expansion
of existing brands within the portfolio. Conducted trade and public tastings, special promotions and wine maker dinners. Achieved growth in 13
focus brands resulting in a 24% increase in sales.
Wine Steward/Educator , 2001 to 2002 
Company Name â€“ City , State 
Instrumental in developing and implementing the bi-monthly wine class for consumers. Created content and format of class material and presented
it in a manner that was informative yet fun. As head of the wine department, responsible for driving sales, monthly promotions and all
merchandising. Operated in a management capacity when opening or closing the store. Managed staff, reconciled all bank transactions, generated
reports and ensured the store was properly stocked and detailed. Provided assistance to customers with wine selections and food/wine pairing,
made product recommendations and developed rapport to promote customer loyalty and repeat business.
Wine Educator , 2000 to 2001 
Company Name â€“ City , State 
Responsible for daily operation of the Terrace Wine Bar at the Golden Vine Winery, hosted by Robert Mondavi at Disney's California Adventure.
Conducted guided wine tastings for guests and educational seminars and tastings for the restaurant staff.
Product Marketing Manager , 1995 to 1998 
Company Name â€“ City , State 
Memory Products Buyer , 1988 to 1991 
Company Name â€“ City , State 
Additional purchasing experience with two high-technology firms in Austin, TX,.
Education
High School Diploma : University of Texas - City , State 
Communications
Volunteering
Blue Dog Rescue
Best Friends Animal Sanctuary
Certifications
2013 Certified Bar Method Fitness Instructor, 2012 Certified Power Yoga and Yoga Sculpt Instructor, 2002 Court of Masters Sommelier -Level
One Certification","High School Diploma : University of Texas - City , State 
Communications
Volunteering
Blue Dog Rescue
Best Friends Animal Sanctuary
Certifications
2013 Certified Bar Method Fitness Instructor, 2012 Certified Power Yoga and Yoga Sculpt Instructor, 2002 Court of Masters Sommelier -Level
One Certification"
10268614.pdf,FITNESS ATTENDANT,,"Master of Science : Human Nutrition , 2015 University of New Haven ï¼​ City , State , USA
Minor in Nutritional Genomics
Thesis submitted in partial fulfillment of requirements for degreeÂ 
3.8 GPA
Bachelor of Science : Human Nutrition and Dietetics , 2012 University of Jordan ï¼​ City , Jordan 3.02 GPA
Organizations
President, Engineering Smart Management (ESM) Â  Â  Â  Â  Â  Â  Â  Â Jan 2015 - June 2015Â 
Represented the organization with setting a leadership role model
Monitor E-board duties and delegated authoritiesÂ 
Planned, organized and managed clubs events with E-board members
Active member of the Graduate Student Council
Establish meetings guidelines and agendas on weekly basis
VP of Finance, Engineering Smart Management(ESM) Â  Â  Â  Â  Â Sept 2014 - Jan 2015
Created annual budget for the academic yearÂ 
Processed funds, payments, and all financial paperwork
Reported all receipts and expenditures on monthly basis
Granted Trailblazer Graduate Club of the year award for outstanding and successful events
Volunteered in Feeding Children Everywhere, packaged 2,150 meals. CT, June 2015 Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â 
Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â Â 
Professional development
FourthÂ Arab Conference for Nutrition. Jordan, April 2011
Conference on Updates in Nutritional Management of Diabetics and Elderly. Jordan, November 2011
Today scientific comprehensive health (natural right of every human being). Jordan, February 2012
Completed Creating Smarter Lunchrooms an online program by Cornell University. USA, January 2014
Women's Leadership Conference, University of New Haven. USA, October 2014
Certifications
First Aid/ CPR/AED (current)"
10333051.pdf,RN/RN TEAM LEAD,"Asc, Qa, Emr, Pharmacy, Infection Control, Metrics, Risk Management, Satisfaction, Staffing, Trading, Training, Auditing, Instrumentation,
Integration, Integrator, Medical Device, Operations, Process Improvement, Quality Assurance, Rn, Icu, Critical Care, Icp, Titration, Radiation
Safety, Rn/, Scheduling, Team Lead, Cpr, Instructor, Million, Increase, Medical Assistant, Cardiac, Cardiovascular, Model-view-presenter, Mvp,
Healthcare, Acls, Award","Master of Science : Nursing/Master of Business Administration University of Phoenix Academic Achievement Master of Science in
Nursing/Master of Business Administration- Healthcare University of Phoenix
Bachelor of Science : Nursing Valparaiso University Bachelor of Science in Nursing Valparaiso University
Bachelor of Science : Exercise Science Ball State University Bachelor of Science in Exercise Science Ball State University
Certifications/Awards/Memberships â–ª RN licenses in AZ, PA, FL, MO â–ª Licensed Healthcare Risk Manager â–ª BLS/ACLS â–ª CEO
Service Award, 2009
Certifications
Licensed Healthcare Risk Manager RN CPR BLS ACLS
Affiliations
of the enterprise team for improvement, integration, and training of the EMR system
Skills
Asc, Qa, Emr, Pharmacy, Infection Control, Metrics, Risk Management, Satisfaction, Staffing, Trading, Training, Auditing, Instrumentation,
Integration, Integrator, Medical Device, Operations, Process Improvement, Quality Assurance, Rn, Icu, Critical Care, Icp, Titration, Radiation
Safety, Rn/, Scheduling, Team Lead, Cpr, Instructor, Million, Increase, Medical Assistant, Cardiac, Cardiovascular, Model-view-presenter, Mvp,
Healthcare, Acls, Award"
10428916.pdf,RECREATION & SPORTS COORDINATOR,"Microsoft Office Programs
Budget Allocation
Good interpersonal skills that can help in building a strong team for the growth of the organization.
Ability to handle different projects for the organization effectively.
Â","Bachelor of Science : Kinesiology 2012 East Carolina University , City , State
Skills
Microsoft Office Programs
Budget Allocation
Good interpersonal skills that can help in building a strong team for the growth of the organization.
Ability to handle different projects for the organization effectively.
Â"
10568350.pdf,MANAGER / FITNESS INSTRUCTOR,"balance, clients, fast, safety, sales, statistics","High School Diploma : 2011 Eagan High School ï¼​ City , State
Skills
balance, clients, fast, safety, sales, statistics"
10816645.pdf,GROUP FITNESS COORDINATOR,"ad, CPR, First Aid, Guardian, health education, presentations, relationship building, seminars, staffing","Bachelor's Degree : Psychology/ Government December 2011 University of Tampa Psychology/ Government Healthy Lifestyle Principles
Foundations of Strength and Conditioning CPR, First Aid, AED Les Mills Bodypump Guardian ad Litem volunteer and advocacy training
Skills
ad, CPR, First Aid, Guardian, health education, presentations, relationship building, seminars, staffing"
10969918.pdf,CONCIERGE,"Patient-focused care, Excellent interpersonal skills, Compassionate and trustworthy caregiver, Detail-oriented, Medical terminology","High School Diploma : General 1988 Belton High School , City , State
Skills
Patient-focused care, Excellent interpersonal skills, Compassionate and trustworthy caregiver, Detail-oriented, Medical terminology"
11130200.pdf,MOVER,"Forklift operator, Hand trucks, Inventory, machinery, Building Materials Read and Interpret Drawings Safety Service Time Management
Education and Training
2000
Northern High School High School Diploma","2000
Northern High School High School Diploma"
11332602.pdf,GENERAL MANAGER,"Acquisitions, Advertising, budgeting, Business Operations, Customer Service, data analysis, Decision making, delivery, financial, General
Manager, Director, employee Management, marketing, Microsoft Excel, Office, power point, payroll, problem solving, Safety, Sales, seminars,
strategic marketing, Strategic Planning.","Johnson C. Smith University 1996 Bachelor Of Science : Business Administration City , State
Business Administration concentration in Marketing, and Sales Management.
Skills
Acquisitions, Advertising, budgeting, Business Operations, Customer Service, data analysis, Decision making, delivery, financial, General
Manager, Director, employee Management, marketing, Microsoft Excel, Office, power point, payroll, problem solving, Safety, Sales, seminars,
strategic marketing, Strategic Planning."
11522068.pdf,GROUP FITNESS INSTRUCTOR,"Planning
Professional Experience
Group Fitness Instructor 
March 2014 to April 2014 Company Name
An 8 week course getting trained in fitness classes to instruct group exercises for the on campus gym.
Assistant 
November 2011 to June 2013
An Assistant 
June 2011 to June 2011 Company Name
at an after school program called AlphaBEST.
Provided children from the grades K-5 a safe and friendly place to be after school hours.
Introduced fun and exciting new ways to learn outside of the classroom with student centers and interactive activities.
Mentored inner city children in New York City providing them with love and attention.
Company Name
Served with my sisters in a Christian Sorority serving Texas Tech and our community in Lubbock, TX.
Education
06/2012 Centennial High School GPA: GPA: 3.98 Full time student and athlete all four years. GPA: 3.98
5/2013 Collin College Full time student taking my basic courses. Texas Tech
Languages
Speak and read basic Spanish
basic, Coach, Human Resource, Leadership, read, Spanish, Teaching, Time Management","06/2012 Centennial High School GPA: GPA: 3.98 Full time student and athlete all four years. GPA: 3.98
5/2013 Collin College Full time student taking my basic courses. Texas Tech
Languages
Speak and read basic Spanish
Skills
basic, Coach, Human Resource, Leadership, read, Spanish, Teaching, Time Management"
