PDF File Name,Job Role,Skills,Education
10399912.pdf,HR PERSONNEL ASSISTANT,"Experience
Company Name City , State HR Personnel Assistant 03/2013 to 04/2014
Supported human resources staff with new hire orientations and monthly departmental meetings.
Entered updated personnel and subcontractor data into a central database.
Reviewed human resource paperwork for accuracy and completeness by verifying, collecting and correcting additional employee data.
Composed and drafted all outgoing correspondence and reports for managers.
Answered and managed incoming and outgoing calls while recording accurate messages.
Maintained Heavy Filing of HR Personnel Action Forms to include new hire letters, awards, certifications and promotions, providing a
stronger framework for consistency and detail.
Assisted Senior Personnel supervisors in Coordinating and conducted new hire pre-interviews.
Developed and maintained an internal new hire filing system.
Received, maintained and filed appropriate paperwork as back up for all HR Office transactions.
Typed memorandums, forms, and letters using software applications to complete HR office assignments and projects given on a regular
basis.
Utilized and Navigated PeopleSoft (HRS) to input, manage and research data.
Operated fax and copy machines to complete tasks as needed.
Initiated and maintained email correspondence with teachers, principals, VPs, and other members of NPS regarding personal ID
information, teaching background & certification info, and criminal history clearance.
Company Name City , State Assistant Store Clerk 05/2011 to 01/2012
Selling merchandise and providing customer services for patrons.
Monitoring patrons to assist the store in loss and theft prevention.
Restocking shelves.
Improving data maintenance of produce inventory.
Maintaining the appearance of the store.
Assisting with maintenance of produce inventory
Company Name City , State Office Clerk/ Federal Contractor 06/2008 to 10/2009
Checking and validating Retirement & NRC files in NFTS and CIS systems.
Calling Applicant to Counter Window to Sign Certificate.
Completing File Maintenance of Riders, Mergers, and Certificates.
Finishing and documenting 3-Box Audit for Weekly Systems Update.
Filing of FBI background report on Applicants.
Assign scheduled appointments to appointed legal officers.
Clerical Reception of Scheduled Applicants.
Auditing Confidential Department Files.
Composing & Mailing out appointment letters.
Finalizing Pick list Printouts for Examinations/Cases.
Completing NFTS Data Systems updates.
Performing Clerical tasks regarding Naturalization ceremonies, including: A. Scheduling, Preparing, and Distribution of Certificates. B.
Retrieval of Documentation from Applicants.
Using Computer Terminal to update DHS Automated Systems.
Providing Administrative Support in Processing.
Performing Daily tasks of filing, recording, copying, and maintaining records.
Company Name City , State Office Clerk/Federal Contractor 07/2005 to 01/2007
Performing Data Entry of Legal Documents and Court Case Dates.
Mail Clerk and Online Mail Information Updating
Setting Schedules for Staff or Private Meetings
Filing and Faxing of Confidential Court Documents
Metering outgoing and stamping incoming mail
Reestablishing protocols for office supplies storage and maintenance
Providing clerical support to Office administrators & Managers.
Education
Bachelor's of Arts : Political Science and Law 2007 Montclair State University , City , State , US Bachelor's of Arts Degree in Political Science
and Law Montclair State University - Upper Montclair, NJ 1998 to 2007
High School Diploma 1998 Our Lady of Good Counsel High School , City , State , US High School Diploma Our Lady of Good Counsel High
School - Newark, NJ 1995 to 1998
Filing, Clerk, Maintenance, Clerical, Office Clerk, Clerical Support, Data Entry, Faxing, Incoming Mail, Legal Documents, Mail Clerk, Office
Supplies, Stamping, Administrative Support, Audit, Auditing, Cases, Copying, Documentation, Documenting, Fbi, File, Finishing, Nrc, Scheduling,
Basis, Correspondence, Database, Hr, Human Resources, Peoplesoft, Teaching, Inventory, 60 Wpm, Customer Service, Equipment
Maintenance, Excel, File Management, Materials Management, Microsoft Word, Ms Excel, Ms Outlook, Ms Powerpoint, Office Assistant,
Word","Bachelor's of Arts : Political Science and Law 2007 Montclair State University , City , State , US Bachelor's of Arts Degree in Political Science
and Law Montclair State University - Upper Montclair, NJ 1998 to 2007
High School Diploma 1998 Our Lady of Good Counsel High School , City , State , US High School Diploma Our Lady of Good Counsel High
School - Newark, NJ 1995 to 1998
Skills
Filing, Clerk, Maintenance, Clerical, Office Clerk, Clerical Support, Data Entry, Faxing, Incoming Mail, Legal Documents, Mail Clerk, Office
Supplies, Stamping, Administrative Support, Audit, Auditing, Cases, Copying, Documentation, Documenting, Fbi, File, Finishing, Nrc, Scheduling,
Basis, Correspondence, Database, Hr, Human Resources, Peoplesoft, Teaching, Inventory, 60 Wpm, Customer Service, Equipment
Maintenance, Excel, File Management, Materials Management, Microsoft Word, Ms Excel, Ms Outlook, Ms Powerpoint, Office Assistant,
Organizational Skills, Outlook, Powerpoint, Proofreading, Receptionist, Retail Sales, Scanning, Secretarial, Telephone, Telephone Skills, Typing,
Word"
10694288.pdf,HR BENEFITS/LEAVE COORDINATOR,"Proficient in all Microsoft applications and HRIS systems (Banner, PeopleAdmin, Personnel Management Information (PMIS) System and
Benefits Eligibility System (BES), VRS Navigator (VNAV))
Experience
December 2016
to
Current
Company Name City , State HR Benefits/Leave Coordinator
Provide consultation and assistance for all employee benefits.
Assist Retirement/Benefits Manager in counseling employees on retirements as well as generate retirement calculations.
Assist Retirement/Benefits Manager with retirement trainings.
Promote and coordinate all aspects of the Highlander Wellness Watch program.
Advise faculty/staff regarding leave policies and procedures.
Interpret and apply policies, procedures and guidelines.
Develop and present leave trainings for employees and supervisors.
Content editor for the HR newsletter and HR website committee.
Analyze and reconcile leave discrepancies.
Process and maintain Workers Compensation claims, short term disability claims and FMLA requests.
Coordinate return to work for employees on short term disability, FMLA and WC.
Maintain OSHA logs and reporting to include OSHA 301 and OSHA 300A reports.
Process employees leave corrections.
Process leave share requests and coordinate payments with payroll.
Calculate leave payouts for separating employees for payment.
Process reports in Banner (HRIS) to ensure leave policies and procedures are being adhered to and applied in regards to FLSA
regulations.
Perform leave audits.
Provide programmatic support to employees and supervisors for the on-line leave reporting system.
Assist with other HR duties as needed to include job fairs, benefits fair, etc.
Maintain confidential and sensitive information.
November 2008
to
November 2016
Company Name City , State HR Leave Coordinator
Advise faculty/staff regarding leave policies and procedures.
Interpret and apply policies, procedures and guidelines.
Develop and present leave trainings for employees and supervisors.
Analyze and reconcile leave discrepancies.
Process and maintain Workers Compensation claims, short term disability claims and FMLA requests.
Coordinate return to work for employees on short term disability, FMLA and WC.
Maintain OSHA logs and reporting to include OSHA 301 and OSHA 300A reports.
Process employees leave corrections.
Process leave share requests and coordinate payments with payroll.
Calculate leave payouts for separating employees for payment.
Process reports in Banner (HRIS) to ensure leave policies and procedures are being adhered to and applied in regards to FLSA
regulations.
Assist with coordination of CommonHealth wellness program.
Perform leave audits.
Provide programmatic support to employees and supervisors for the on-line leave reporting system.
Assist with other HR duties as needed to include screening job applicants, new hire orientation, exit interviews, open enrollment for health
insurance and flexible spending accounts, job fairs, benefits fair, etc.
Maintain confidential and sensitive information.
June 2004
to
November 2008
Company Name City , State Personnel Transaction Specialist/Human Resource Assistant
Process new hires, transfers, promotions into Banner and PMIS systems.
Perform audits for payroll processing.
Process short term disability claims and FMLA requests.
Process leave share requests.
Coordinate docks with payroll.
Perform other duties and tasks as needed.
Maintain confidential and sensitive information.
August 2002
to
June 2004
Company Name City , State Communications Operator
Refer patients to appropriate areas for treatment.
Assist patients with questions and concerns via phone or walk-ins.
Answer incoming calls on a seven-line phone system.
Page doctors in a timely manner.
Update call schedules as changes occur.
File.
Overhead all codes in a timely manner.
Maintain patient confidentiality.
Education and Training
Bluefield College City , State Bachelor of Science : Organizational Management and Leadership Organizational Management and Leadership
New River Community College Associate of Applied Science : Business Management Business Management
Activities and Honors
Society for Human Resources Management (SHRM) Colleges and Universities Professional Association for Human Resources (CUPA-HR)
Benefits, consultation, Content, counseling, editor, HRIS, HR, insurance, all Microsoft, Navigator, newsletter, Page, Assist patients, payroll,
payroll processing, Personnel Management, phone system, policies, reporting, research, phone, website","Bluefield College City , State Bachelor of Science : Organizational Management and Leadership Organizational Management and Leadership
New River Community College Associate of Applied Science : Business Management Business Management
Activities and Honors
Society for Human Resources Management (SHRM) Colleges and Universities Professional Association for Human Resources (CUPA-HR)
Skills
Benefits, consultation, Content, counseling, editor, HRIS, HR, insurance, all Microsoft, Navigator, newsletter, Page, Assist patients, payroll,
payroll processing, Personnel Management, phone system, policies, reporting, research, phone, website"
11480899.pdf,HR MANAGER,"continuous improvement, decision making, English, Film, hiring, Human Resource, HR, law, legal compliance, Managerial, Managing, Exchange,
organizational, payroll, performance appraisal, performance management, personnel, policies, processes, procurement, progress, promotion,
speaking, purchase requisitions, Purchasing, Recruitment, recruiting, reporting, scheduling, strategic, strategic plans, Type, workflow","Master of Public Administration 2012 National Institute of Development Administration (NIDA)
Comprehensive English Course under Cultural Exchange Program 2007 City , State , USA
Accomplishments
Complete ongoing training in the areas of :- Human Resource Management (PM and APM Certification Course) Analytical Problem Solving
and Prevention * Tax ISO/TS 16949 & ISO 14001 requirements * Leadership Competency and Work Performance Appraisal * Labor
Law Balance Scorecard and KPI * Happy Work Place Welfare and Salary Structure * Recruitment Compensation and Benefit Corrective
and Preventive Action By 8D report and Why Why Analysis Technique Safety Supervisor Level Software Expertise Efficient in MS Office
package and surfing internet.
Skills
Administrative, administrative support, advertising, as set, benefits, business plan, clarify, Good communication skills, Interpersonal Skills,
continuous improvement, decision making, English, Film, hiring, Human Resource, HR, law, legal compliance, Managerial, Managing, Exchange,
organizational, payroll, performance appraisal, performance management, personnel, policies, processes, procurement, progress, promotion,
speaking, purchase requisitions, Purchasing, Recruitment, recruiting, reporting, scheduling, strategic, strategic plans, Type, workflow"
11592605.pdf,HR GENERALIST,"administrative, Administrative Assistant, bi, conferences, database, special events, filing, Human Resource Management, HR, Human Resources
Management, Excel, Exchange, Microsoft Office, Office, Outlook, PowerPoint, Word, newsletter, Paralegal, Performance Management,
processes, Publications, Recruitment, Strategic Planning, Supervisor, training programs, travel arrangements, Visio, Website, workshops, annual
reports","8/2013
ABA Approved Paralegal Program Certification
8/2013
BA : Justice Studies Montclair State University ï¼​ City , State Justice Studies
06/2002
AS : Psychology Essex County College ï¼​ City , State Psychology
Certificate in SHRM Essentials of Human Resource Management, 6/2013 Program Highlights *Performance Management - Critical Analysis
*Recruitment and Selection - Strategic Planning *Effective Human Resources Management - Establishing Competencies New York Institute of
Technology ï¼​ City
Publications
Identified by the Department of State as an Alternate Responsible Officer for Exchange Visitor Programs and recognized by United States
Citizenship and Immigration Services as Designated School Official. Conference Presenter, National Association of Foreign Student Advisors
(NAFSA) 2012 Appointed Acting Assistant Director (Coordinator) of International Students, 2000 She brings calm attention to detail and an
approach that places the customer as the number one focus in any activity or service. This style works. It benefits all of us."" 2008 Annual
Performance Evaluation, NJIT - Overall Performance Level -Outstanding. Lisa is a quality employee. She often works beyond contractual hours
to complete a task. This office could not operate in its current modus operandi without her efforts."" 2008 Annual Performance Evaluation, Merit
Proposal, NJIT Thank you for your steadfast style and contributions you make to this office. You are truly valued."" 2006 Annual Performance
Evaluation Notification, NJIT - Overall Performance Level - Commendable/Outstanding. She is calm, humorous, personable and a model of
patience."" 2004 Annual Performance Evaluation, NJIT - Overall Performance Level - Outstanding.
Skills
administrative, Administrative Assistant, bi, conferences, database, special events, filing, Human Resource Management, HR, Human Resources
Management, Excel, Exchange, Microsoft Office, Office, Outlook, PowerPoint, Word, newsletter, Paralegal, Performance Management,
processes, Publications, Recruitment, Strategic Planning, Supervisor, training programs, travel arrangements, Visio, Website, workshops, annual
reports"
11698189.pdf,HR EMPLOYEE RELATIONS SPECIALIST,"Critical Thinking
Conflict Resolution
Leadership
Integrity
Customer Service
Human Resource Training
Microsoft Office Suite
Volunteer Associations
Order of the Eastern Star - Unity Love Miriam #66, Worthy Matron, Secretary, Treasurer. Served in leadership, treasurer, and secretarial
roles within the organization. Chaired and co-chaired Fundraising events to support charitable causes.
AT&T Community Network - Michigan Chapter, Assistant Programs Director Organized fundraisers to support United Negro College
fund program, raised over $2500 to support Annual scholarship funds for local students.
Metro Detroit Visitors Bureau - Served in hospitality to assist visitors withÂ guidance and direction, answer any questions pertaining the
local area.","Bachelor of Science : Network Information & Technology Administration Eastern Michigan University ï¼​ City , State Network Information &
Technology Administration
MBA : Management Davenport University ï¼​ City , State
Currently enrolled
Skills
Critical Thinking
Conflict Resolution
Leadership
Integrity
Customer Service
Human Resource Training
Microsoft Office Suite
Volunteer Associations
Order of the Eastern Star - Unity Love Miriam #66, Worthy Matron, Secretary, Treasurer. Served in leadership, treasurer, and secretarial
roles within the organization. Chaired and co-chaired Fundraising events to support charitable causes.
AT&T Community Network - Michigan Chapter, Assistant Programs Director Organized fundraisers to support United Negro College
fund program, raised over $2500 to support Annual scholarship funds for local students.
Metro Detroit Visitors Bureau - Served in hospitality to assist visitors withÂ guidance and direction, answer any questions pertaining the
local area."
11763983.pdf,HR GENERALIST,"ACA, ADP Payroll, AS400, benefits, benefits administration, consultation, ERP, hiring, HRIS, Internet Explorer, Kronos, labor relations, Excel,
Outlook, PowerPoint, Word, organization development, payroll, PeopleSoft, personnel policies, recruitment, SOX, employee handbook","MBA , HR Walsh College - City , State
HR
Bachelors Degree Walsh College - City , State
Professional Affiliations
2014-Present Michigan Judo Development Association Board Member
2014-Present Certified Nage No Kata Instructor
2006-Present Society for Human Resource Management
1995-Present Volunteer Judo Instructor
1998-1999 United States Olympic Training Center Resident-USA Judo
Skills
ACA, ADP Payroll, AS400, benefits, benefits administration, consultation, ERP, hiring, HRIS, Internet Explorer, Kronos, labor relations, Excel,
Outlook, PowerPoint, Word, organization development, payroll, PeopleSoft, personnel policies, recruitment, SOX, employee handbook"
11847784.pdf,HR SPECIALIST,"Management consultation
Negotiation
Outlook
E-Recruitment
HR policies/procedures
Provision of excellent customer service
Micro-soft applications: Word, Excel, PowerPoint
Problem-solve and serve as change agent to ensure that HR functions are included in organizational missions. Negotiate budget revisions to include
HR initiatives. Ensure excellent customer service delivery, provide state/federal and soft-skills management/employee training. Conduct job
analyses, as well as conduct compensation/job market analysis, and deliver and measure leadership training. Develop, implement, and monitor
performance management. Develop, implement, and monitor personnel policies and procedures, and manage full-cycle recruitment.
Experience
03/2016 to 08/2017
HR Specialist Company Name ï¼​ City , State
Managed full-cycle recruitment efforts for multi-state needs.
Ensured candidate job qualifications matched minimum KSAs.
Completed pre-employment processes (background checks, drug screens, reference checks).
Conducted on-boarding/ orientation.
Conducted initial phone screens and recommended applicants for on-site interviews.
Contacted candidates with salary/hourly wage offers.
Negotiated start dates.
08/2014 to 06/2015
HR Analyst Company Name ï¼​ City , State
Conducted analysis of 50+ roles (250+ positions) within a 10-month period.
Recommended, developed, and implemented a new classification and level-based on the evolution of roles (IT, Security, and Radiation
classes).
Conducted labor-market studies and recommended, implemented, and monitored compensation practices.
Recruitment: reviewed, approved, and referred candidates for management's selection based on documented KSAs and required education
and experience requirements.
Budget: daily contact with the budget manager to ensure or to request additional salary needs to be included in budgetary revisions/and
legislative special requests.Â 
Salary administration: reviewed, justified, and approved management requests for salary adjustments based on expanded variety and scope
of responsibilities. Determined appropriate percentage increase and status (temp/perm).
03/2013 to 06/2013
Manager, Classification/Compensation Company Name ï¼​ City , State
Reduced the established timeframe for individual job analysis from an average of four months to 11 calendar days.Â 
Established a requirement and template for project management and communication plans.
Prioritized and assigned classification and compensation studies and reviews.
Established and coordinated the recruitment of referrals from Cabinet and Council of State members.Â 
Conducted statewide FLSA evaluations that resulted in appropriate designations.
Ensured legal/justified salary administration practices.
10/2012 to 02/2013
Manager, Recruitment/Classification/Compensation Company Name ï¼​ City , State
Reduced the backlog of management-requested classification/compensation studies and individual job reviews by 100% w/in a four-month
period.Â 
Supervised recruitment efforts for all occupational needs of the hospital. Well-versed in NeoGov (e-recruitment).Â 
Reviewed management requests for occupational and individual position studies toward upgrades, reallocations, downgrades, salary
adjustments, and competency and skill-based pay programs for nurses, mechanical trades, and institutional services personnel.
06/2004 to 01/2013
Senior HR Analyst Company Name ï¼​ City , State
Oversight of HR classification/compensation activities of 12 field HR managers and analysts.
Project manager for a variety of occupational competency and skill-based pay programs.
Managed the statewide competency-based-pay program for nurses.
Qualified applicants for jobs.
Reviewed and approved requests for salary exceptions career progressions, and in-range salary adjustments.
Led statewide FLSA designation analysis (18,000 employees).Â 
Processed reduction-in-force activities.
Developed and delivered training to department-wide employees regarding a variety of regulations, laws, rules, policies, and procedures.
Ensured that field HR managers fulfilled performance management initiatives.Â 
06/2000 to 05/2004
Senior HR Analyst Company Name ï¼​ City , State
Facilitated the development of statewide policies and procedures for competency and skill-based pay programs.Â 
Partnered with managers and agency leaders to create CBPs (technical and soft-skills).
Managed the statewide skill-based pay program for machine operators.Â 
06/1996 to 05/2000
Training And Development Specialist Company Name ï¼​ City , State
Assessed educational/training needs.
Developed, delivered and evaluated leadership, technical, administrative, and state/federal-mandated employee training based on ASTD
principles.Â 
Served as team lead for the development and delivery of statewide initiatives such as performance-based pay and performance
evaluations.Â 
Major contributor toward the research and development of internalÂ  Ethical Practice of Trainers/Educational Leaders.
Education and Training
2007
Bachelor of Arts : English Lit/Language NC State University ï¼​ City , State , US","2007
Bachelor of Arts : English Lit/Language NC State University ï¼​ City , State , US"
12786012.pdf,HR COORDINATOR,"benchmarking, benefits, conflict resolution, direction, Employee Relations,Â  , performance management, personnel, policies, processes,
recruitment, research, Safety, staffing, strategic,Â  training programs,","2012
Keller Graduate School of Management City , State MBA : Human Resource Management Human Resource Management
2002
University of North Dakota City , State B.A : Communications Communications
Skills
benchmarking, benefits, conflict resolution, direction, Employee Relations,Â  , performance management, personnel, policies, processes,
recruitment, research, Safety, staffing, strategic,Â  training programs,"
13376919.pdf,REGIONAL HR DEPUTY MANAGER,"Assistant Manager, banking, counseling, clients, hiring, HR, marketing, MS Excel, Office, MS Outlook, MS PowerPoint, MS Word, negotiations,
network, Oracle, PeopleSoft, performance management, personnel, policies, processes, Recruitment, recruiting, reporting, sales training, Vendor
Management, annual reports","MBA : Human Resources 2007 GHS-IMR Business School India Human Resources
B.Com 2005 CSJMU, Uttar Pradesh University India
Skills
Assistant Manager, banking, counseling, clients, hiring, HR, marketing, MS Excel, Office, MS Outlook, MS PowerPoint, MS Word, negotiations,
network, Oracle, PeopleSoft, performance management, personnel, policies, processes, Recruitment, recruiting, reporting, sales training, Vendor
Management, annual reports"
13520837.pdf,HR REPRESENTATIVE,"leadership, merchandising, Lisa, negotiations, organizational, payroll, performance reviews, personnel, policies, Problem Resolution, reconciling,
recruiting, reporting, sales, sound, employee development","Colorado State University ï¼​ City , State Bachelor of Science Apparel and Merchandising Apparel and Merchandising
Human Resources Certificate Mountain States Employers Council
Skills
administrative, administrative support, benefits, C, cash handling, closing, coaching, com, Interpersonal Skills, Council, customer service, Customer
Service Skills, data entry, Decision Making, Employee Relations, hiring, HRIS, Human Resources, HR, Interpretation, Labor Relations,
leadership, merchandising, Lisa, negotiations, organizational, payroll, performance reviews, personnel, policies, Problem Resolution, reconciling,
recruiting, reporting, sales, sound, employee development"
