PDF File Name,Job Role,Skills,Education
10089434.pdf,INFORMATION TECHNOLOGY TECHNICIAN I,"Active Directory, Azure, anti-virus, Backup Exec, backup, Bash, batch, Cacti, Cisco ASA, databases, DHCP, DNS, documentation,
DataDomain, EMC, Enterprise Vault, ePO, file servers, firewall, GPO, HTML, IIS, ISA, LDAP, Linux, McAfee, Exchange, Microsoft Office,
Microsoft Windows, security, policies, PowerShell, programming, proxy server, servers, scripts, SolarWinds, SQL, StorSimple, troubleshooting,
TMG, Ubuntu, Visual Basic Script, VBS, Veritas Netbackup, VPN, VRanger, Veeam, VMWare, VDI, virtual manchine, NMap, ZenMap.","Bachelor of Science , Information Technology 2005 Florida International Univeristy ï¼​ City , State , United States
Coursework in Programming, Web Administration, Network Administration, Database Administration, and Systems Administration â€“
Linux
Programming Languages: C++, Java, JSP, HTML, CSS, VB.Net, Bash, T-SQL
Certifications
CompTIA Network+ - 2014
Skills
Active Directory, Azure, anti-virus, Backup Exec, backup, Bash, batch, Cacti, Cisco ASA, databases, DHCP, DNS, documentation,
DataDomain, EMC, Enterprise Vault, ePO, file servers, firewall, GPO, HTML, IIS, ISA, LDAP, Linux, McAfee, Exchange, Microsoft Office,
Microsoft Windows, security, policies, PowerShell, programming, proxy server, servers, scripts, SolarWinds, SQL, StorSimple, troubleshooting,
TMG, Ubuntu, Visual Basic Script, VBS, Veritas Netbackup, VPN, VRanger, Veeam, VMWare, VDI, virtual manchine, NMap, ZenMap."
10247517.pdf,INFORMATION TECHNOLOGY MANAGER,"anti-virus, backup, cabling, Cisco, hardware, contracts, client, clients, database, disaster recovery planning, disaster recovery, email, ERP,
features, imaging, information systems, inspection, Inspects, LAN, notebooks, laptops, Mechanical, access, office, enterprise, Network
Administrator, network, networks, Nortel, peripherals, pick, policies, printers, programming, real-time, scanner, scheduling, servers, script,
shipping, switches, switch, user documentation, telecom, WAN, wiring","Master of Science : Leadership Walden University ï¼​ City , State
2015
Master of Science : Information Systems Management Project Management Walden University ï¼​ City , State
2013
Bachelor of Science : Information Systems Management Mechanical Engineering Walden University ï¼​ City , State
Certifications
MCP, Â CompTIA Network+, CompTIA A+
Skills
anti-virus, backup, cabling, Cisco, hardware, contracts, client, clients, database, disaster recovery planning, disaster recovery, email, ERP,
features, imaging, information systems, inspection, Inspects, LAN, notebooks, laptops, Mechanical, access, office, enterprise, Network
Administrator, network, networks, Nortel, peripherals, pick, policies, printers, programming, real-time, scanner, scheduling, servers, script,
shipping, switches, switch, user documentation, telecom, WAN, wiring"
10265057.pdf,WORKING RF SYSTEMS ENGINEER,"big data, C, C++, charts, Circuit design, hardware, Data acquisition, data analyst, data collection, data mining, databases, database, dBm, DTI,
design software, documentation, functional, GSM, innovation, Java, LabView, Team leader, Logic Analyzer, Mac, manufacturing processes,
Matlab, Excel, Microsoft office, Office, Microwave, Radar, NCs, Network, dB, packaging, pivot tables, Programming, project design, proposals,
Publication, Python, quality, requirement, research, SAS, self-starter, Spectrum analyzer, SPSS, SQL, SSL, statistics, surveys, system design,
troubleshooting, validation","M.S : Electrical and Computer Engineering , Dec. 2013 PURDUE UNIVERSITY GPA: GPA: 3.9/4.0 Electrical and Computer Engineering GPA:
3.9/4.0
B.S : Electrical and Computer Engineering , Dec. 2011 GPA: GPA: 3.2/4.0 Electrical and Computer Engineering GPA: 3.2/4.0 Thesis The Design
and Evaluation of a 5.8 GHz Laptop-Based Radar System Publication Â· Innovative laptop radar design to operate in both FMCW and CW
mode Â· Doppler shift (DTI), ranging (RTI), and SAR measurement capability Â· Operate in ISM frequency band with +13dBm transmitting
power Â· Data acquisition and signal processing using Matlab
Skills
big data, C, C++, charts, Circuit design, hardware, Data acquisition, data analyst, data collection, data mining, databases, database, dBm, DTI,
design software, documentation, functional, GSM, innovation, Java, LabView, Team leader, Logic Analyzer, Mac, manufacturing processes,
Matlab, Excel, Microsoft office, Office, Microwave, Radar, NCs, Network, dB, packaging, pivot tables, Programming, project design, proposals,
Publication, Python, quality, requirement, research, SAS, self-starter, Spectrum analyzer, SPSS, SQL, SSL, statistics, surveys, system design,
troubleshooting, validation"
10553553.pdf,INFORMATION TECHNOLOGY MANAGER,"Active Directory, administrative support, Adobe Acrobat, Architect, backup, budget, Client/Server, hardware, Concept, Client, clients, client
support, DAS, database, disaster recovery, Ghost, LAN, laptops, Mac hardware, Mac, Exchange, Microsoft Exchange, Microsoft Exchange
2003, Microsoft Office, Windows 7, Windows, Microsoft Windows 2003, Windows XP, NEC, Novell, operating systems, operating system,
PBX, peripherals, Policies, processes, purchasing, servers, SLA, SQL, Symantec, technical support, phones, Video, Vista, web servers, WAN,
Windows Server","Performed PC and Mac hardware and software configurations.
Troubleshot general Novell Client issues.
Installed and maintained peripherals.
Built images to be used with Symantec Ghost.
Master of Science : Business Information Technology , 2018 DePaul University ï¼​ City , State
Bachelor of Science : Network and Communications Management , 2009 DeVry University ï¼​ City , State
Skills
Active Directory, administrative support, Adobe Acrobat, Architect, backup, budget, Client/Server, hardware, Concept, Client, clients, client
support, DAS, database, disaster recovery, Ghost, LAN, laptops, Mac hardware, Mac, Exchange, Microsoft Exchange, Microsoft Exchange
2003, Microsoft Office, Windows 7, Windows, Microsoft Windows 2003, Windows XP, NEC, Novell, operating systems, operating system,
PBX, peripherals, Policies, processes, purchasing, servers, SLA, SQL, Symantec, technical support, phones, Video, Vista, web servers, WAN,
Windows Server"
10641230.pdf,IT MANAGEMENT,"A+ certified, ActionScript, Active directory, administrative, Adobe Creative Suite 5, Photo, Audio, Brochure, budgeting, business management,
client and server, CMS, Hardware, computer repair, consulting, Content Management, CSS, CSS3, client, Database, designing, Documentation,
Electronics, XML, Graphics, Hardware support, HTML, HTML5, PHP, Information security, Java, Java programming, JavaScript, Linux, Logic,
Logo, Mac OS, managing, marketing, Medical technology, Microsoft Office, office, Windows, Windows 95, Network engineering, network,
Networking, newsletter, Operating Systems, Organization development, Programming, protocols, Prototyping, Search Engine Optimization,
servers, Storyboarding, TCP/IP, Telephony, Phone 7.0, Troubleshooting, upgrade, video, video editing, Web Development I, Website, website
management, Windows Server, Wiring","Virus and spyware removal q MCSA certification class q Computer diagnostics and repair q Web Development I + II class q Gaming console
repair and q Digital media manipulation class modification q Java programming class q Mobile device repair q Hardware support and
Programming and Web troubleshooting q HTML - HTML5 q Optimizing and performance tuning q XML q Audio and video technologies q
CSS - CSS3 q Medical technology installation and q JavaScript troubleshooting q Command Line q Java Management q ActionScript q
Hardware and software upgrade q PHP planning q Database servers q Documentation q Android mobile application q Organization
development q Multi-project priority management q Content Management Systems (CMS) Operating Systems q Website enhancement q
Windows 95 - 8 q Storyboarding q Windows Server 2003 - 8 q Search Engine Optimization (SEO) q Windows Phone 7.0 - 8.0 q Social
Media and marketing q Multiple Linux Distributions q Ubuntu 10.04 LTS - 12.10 Networking q Android 1.0 - 4.0.4 q Cloud computing q Mac
OS X v10.0 - v10.8 q Server management q IOS 1.0 - 6.1 q Active directory q Remote connection technologies Programs q Proficiency in
numerous protocols q Microsoft Office 2010 including TCP/IP q Small business management q Information security software (client and server)
q Wireless technologies q Adobe Creative Suite 5 q Telephony technologies q Wiring and Network engineering Graphics and Media q Photo
enhancing Electronics q Brochure and newsletter formatting q Electronic circuits and components q Audio and video editing q Circuit diagrams
and Prototyping q Logo and business card q Logic, electronic and computational algorithms q Electromagnetisms and waves q Quantum particle
mechanics q As well as many miscellaneous IT q Energy and electrical alternatives skills. (Solar)
Accomplishments
Rebuilt a client's website from the ground up and increased monthly hits from 3422 to 40884 in a matter of a few months.
Designed, priced, built, and installed a complete information system upgrade for a client; including networking devices, wiring, client
computers, server and software.
Diagrammed, prototyped, and assembled a portable USB phone charger outputting optimal voltage and amperage, with circuits and
components small enough to all fit in an Altoids tin.
It allows next to unlimited portable phone charging due to the device itself being recharged by a small solar panel on the top.
Automated and streamlined daily office tasks for client using Batch Scripting.
Troubleshot medical technology including X-ray machines and medical industry client and server software (Eaglesoft).
Information Technology project management experience.
Programmed a cloud storage website allowing a client access to a shared home network drive from any browser, anywhere.
It includes security login, uploading and downloading.
Work Experience
IT management 
March 2012 to November 2012 Company Name ï¼​ City , State
In charge of planning, budgeting, and executing all IT projects.In addition to office troubleshooting, building/managing the company website
and designing/updating the business's electronic newsletter.
Information Technology Consultant 
July 2011 to February 2012 Company Name ï¼​ State
Contracted IT consulting work from client computer repair to network expansion.
May 2011 to July 2011 Company Name ï¼​ City , State
In charge of company website management, social media administration, as well as assisting in administrative tasks.
Associate of Science : Information Technology , 2014 Lyons Township ï¼​ City , State , United States Information Technology
Coursework in computer science all 4 years GPA: Diamond Achievement Academic award * Honor Roll Diamond Achievement Academic
award * Honor Roll
Skills
A+ certified, ActionScript, Active directory, administrative, Adobe Creative Suite 5, Photo, Audio, Brochure, budgeting, business management,
client and server, CMS, Hardware, computer repair, consulting, Content Management, CSS, CSS3, client, Database, designing, Documentation,
Electronics, XML, Graphics, Hardware support, HTML, HTML5, PHP, Information security, Java, Java programming, JavaScript, Linux, Logic,
Logo, Mac OS, managing, marketing, Medical technology, Microsoft Office, office, Windows, Windows 95, Network engineering, network,
Networking, newsletter, Operating Systems, Organization development, Programming, protocols, Prototyping, Search Engine Optimization,
servers, Storyboarding, TCP/IP, Telephony, Phone 7.0, Troubleshooting, upgrade, video, video editing, Web Development I, Website, website
management, Windows Server, Wiring"
10839851.pdf,INFORMATION TECHNOLOGY SPECIALIST,"Desktops,
Ethernet cables
Cisco routers
Video & Sound Cards
CD-ROM Drives
Multiplexors
Scanners
Monitors
Switches
TCP/IP Configuration
Installing, adding and deleting user accounts with Active Directory
Strong software and application knowledge such as Avaya, Microsoft Office, and Remedy
Experience with Information Technology Service Management (ITSM)
Desktops,
Ethernet cables
Cisco routers
Video & Sound Cards
CD-ROM Drives
Multiplexors
Scanners
Monitors
Switches
TCP/IP Configuration
Installing, adding and deleting user accounts with Active
Directory
Strong software and application knowledge such as Avaya,
Microsoft Office, and Remedy
Experience with Information Technology Service Management
(ITSM)
Experience with Information TechnologyÂ 
Strong Â software and application knowledge such as
Avaya,Microsoft Office,and Remedy
Installing,adding and deleting user accounts with Active Directory
Ethernet cables
Video & Sound Cards
CD-ROM Drives
Multiplexors
Scanners
Monitors
Switches
TCP/IP Configuration
Installing, adding and deleting user accounts with Active
Directory
Strong software and application knowledge such as Avaya,
Microsoft Office, and Remedy
Experience with Information Technology Service Management
(ITSM)
Experience with Information TechnologyÂ 
Strong Â software and application knowledge such as
Avaya,Microsoft Office,and Remedy
Installing,adding and deleting user accounts with Active Directory
Experience with Information Technology Service Managment
(ITSM)
Ethernet cables
CD-ROM Drives
Scanners
TCP/IP Configuration
Installing, adding and deleting user accounts with Active
Directory
Strong software and application knowledge such as Avaya,
Experience with Information TechnologyÂ 
Strong Â software and application knowledge such as
Avaya,Microsoft Office,and Remedy
Installing,adding and deleting user accounts with Active Directory
Experience with Information Technology Service Managment
(ITSM)
Microsoft Office, and Remedy
Experience with Information Technology Service Management
(ITSM)
Work History
Information Technology Specialist , 02/2018 to Current 
Company Name 
Defines scope, plans and deliverables for assigned projects Coordinates and collaborates with others in analyzing collected requirements to
ensure plans and identified solutions meet customer needs and expectations Confirms and prioritizes project plans and deliverables with the
customer, participates in business and technical information technology solution implementations, upgrades, enhancement and conversions
Understands and uses appropriate tools to analyze, identify and resolve business and or technical problems Applies metrics to monitor
performance and measure key project criteria Performs maintenance and troubleshoots network connectivity, printer, and other hardware
issues for both uses on site and those that are remote Assists users with deployment and maintenance of desktop workstations.
06/2016 to 01/2018 
Company Name 
Diplomatic Security Service for the Department of State Protected U.S.
diplomats while visiting foreign dignitaries for diplomatic missions Maintained security awareness in a federal environment Assisted in
employee management Interacted with VIP personnel such as members of the Senate, foreign and domestic diplomats, and the Secretary of
State.
Information Technology Interpreter , 08/2010 to 03/2016 
Company Name 
Assisted United States military in training foreign nationals on information technology such as basic troubleshooting and basic system set up
Diagnosed computer errors and provided technical support Backed up and restored organizational data files and systems Installed,
configured and upgraded PC software and operating systems Created and updated IT support tickets per Standard Operating Procedures
Provided customer support for email, hosted applications, desktop, system and network problems within defined Service Level
Agreements.
Languages
Fluent in Dari, Dutch, and Russian",
10840430.pdf,BRANCH CHIEF INFORMATION TECHNOLOGY SPECIALIST,"Air Force, art, Agency, Basic, budget, oral, hardware, Computer Operations, configuration management, cost analysis, data management, Dec,
direction, documentation, edge, feasibility studies, forms, functional, Government, Information Systems, information technology, computer support,
meetings, Office, enterprise, Network, personnel, policies, problem resolution, procurement, project management, publications, publication,
software development, strategic, systems administration, systems analysis, systems development, systems integration, training manuals, trend,
written","M.S : Public Administration, Government Law Sul Ross University ï¼​ City , State Public Administration, Government Law
Jun-2014
SPECIALIZED TRAINING _ *Security + Certified, CE 20-
Aug-2011
Sep-2010
*Basic Computer Operations Planner's Course 24-
Sep-2009
*DISA Action Officers Course 10-Dec-2009 *DOD Information Assurance Boot Camp 06-Nov-2009 *Computer Network Defense/Computer
Network Threat 24-
Skills
Air Force, art, Agency, Basic, budget, oral, hardware, Computer Operations, configuration management, cost analysis, data management, Dec,
direction, documentation, edge, feasibility studies, forms, functional, Government, Information Systems, information technology, computer support,
meetings, Office, enterprise, Network, personnel, policies, problem resolution, procurement, project management, publications, publication,
software development, strategic, systems administration, systems analysis, systems development, systems integration, training manuals, trend,
written"
11580408.pdf,INFORMATION TECHNOLOGY COORDINATOR,"A+ Certified, Active Directory, billing, business process, C, cash flow, Cisco, Cisco Routers, Hardware, network systems, Content management,
contracts, Coral, databases, Database, delivery, disaster recovery, Email, ERP, extranet, financial, Firewalls, internet marketing, laptops, Lotus,
Microsoft Access I, Microsoft Access, Microsoft Certified Professional, Microsoft Certified, Microsoft Exchange, Office, Microsoft Office 97,
Windows, Windows 2000, 2000, Microsoft Windows 2003, Microsoft NT 4, NT 4 0, Windows NT 4 0, Microsoft Windows NT4 0, Windows
XP, Navision, network security, network, Office Suites, Operating Systems, Organizing, Report Writer I, reporting, SCO Unix, servers, Microsoft
SQL, SQL 2000, Sybase, System Administrator, phones, phone, training employees, Visio, voice mail, web site, website
Additional Information
Awards: Who's Who Among Students in American Universities and Colleges Outstanding Young Men of America United States
Achievement Academy - National Award Winner Sanford R. Levitt - 1 -","1 1988
Curry College 
City , State Business Management 
Bachelor of Arts Business Management
Certifications
Microsoft Certified Professional -NT 4 0 Microsoft Certified Professional - Windows XP / Windows 2003 Microsoft Certified Professional -
Internet Comp-TA A+ Certified Microsoft Certified System Administrator (eligible should be completed by end of 2006) Microsoft SQL 2000
Design and Administration Microsoft Access I, II, III Navision Report Writer I & II
Skills
A+ Certified, Active Directory, billing, business process, C, cash flow, Cisco, Cisco Routers, Hardware, network systems, Content management,
contracts, Coral, databases, Database, delivery, disaster recovery, Email, ERP, extranet, financial, Firewalls, internet marketing, laptops, Lotus,
Microsoft Access I, Microsoft Access, Microsoft Certified Professional, Microsoft Certified, Microsoft Exchange, Office, Microsoft Office 97,
Windows, Windows 2000, 2000, Microsoft Windows 2003, Microsoft NT 4, NT 4 0, Windows NT 4 0, Microsoft Windows NT4 0, Windows
XP, Navision, network security, network, Office Suites, Operating Systems, Organizing, Report Writer I, reporting, SCO Unix, servers, Microsoft
SQL, SQL 2000, Sybase, System Administrator, phones, phone, training employees, Visio, voice mail, web site, website
Additional Information
Awards: Who's Who Among Students in American Universities and Colleges Outstanding Young Men of America United States
Achievement Academy - National Award Winner Sanford R. Levitt - 1 -"
11584809.pdf,MANAGER - INFORMATION TECHNOLOGY AND BUILDING AUTOMATION SYSTEMS,"System administration
Windows Server 2003
Windows Server 2008
VMwareÂ 
Active Directory
Microsoft Exchange 2013
Large computer networks
Linux
Mac OS
Microsoft Dynamics
Access Control SecurityÂ 
Certifications
Certified Naval Information Systems Technician â€“ First Class Petty Officer (E6)
Information Systems Security Professional (CISSP)
Microsoft Certified Systems Administrator (MCSA)
PMI - Project Management Professional (PMP)
ISA - Certified Automation Professional
Cisco
Certified Network Associate (CCNA)
Certified Network Professional (CCNP)
Certified Security Professional (CCSP)
Video Teleconference Certified Expert
CompTIA
Security+
Network+
A+","Master of Science : Computer & Information Science , 2015 University of Houston ï¼​ City , State , USA
Top 15 % of class
Emphasis in Cyber Security andÂ Information Awareness.Â 
Coursework in Operating Systems and System Programming
Coursework in Computer Networking and Information Technology 
Bachelor of Science : Management of Information Systems , 2011 University of Maryland University College ï¼​ City , State , USA
Coursework in Computer Networking and Information Technology
4.0Â  GPA 
Skills
System administration
Windows Server 2003
Windows Server 2008
VMwareÂ 
Active Directory
Microsoft Exchange 2013
Large computer networks
Linux
Mac OS
Microsoft Dynamics
Access Control SecurityÂ 
Certifications
Certified Naval Information Systems Technician â€“ First Class Petty Officer (E6)
Information Systems Security Professional (CISSP)
Microsoft Certified Systems Administrator (MCSA)
PMI - Project Management Professional (PMP)
ISA - Certified Automation Professional
Cisco
Certified Network Associate (CCNA)
Certified Network Professional (CCNP)
Certified Security Professional (CCSP)
Video Teleconference Certified Expert
CompTIA
Security+
Network+
A+"
11957080.pdf,LEAD INFORMATION TECHNOLOGY SUPPORT SPECIALIST,"Applications: MS Office Suite 2000-2016, O365, GroupWise, HEAT Call Logging, Crystal Reports, T3 VoiceMail, NetMotion, Novell
iManager, Active Directory Client/Server: Heatweb-fs Platforms: Windows 2000/XP/7/8/10, UNIX, DOS
Experience
03/2016 to Current
Lead Information Technology Support Specialist Company Name ï¼​ City , State
Perform lead worker functions including assigning, coordinating and reviewing daily work of staff, training other employees and act as a
resource to other staff.
Perform help desk systems administration; develop and document procedures.
Coordinate with technical support team, management, and users to define user needs for new or improved systems; coordinate software
deployments and PC replacements; manage hardware and software inventories.
All duties as listed below.
04/2007 to 03/2016
Information Technology Support Specialist Company Name ï¼​ City , State
Identify, troubleshoot, install, program, configure, upgrade, analyze and maintain various computer and network peripherals including mobile
data computing devices.
Determine appropriate course of action and conduct repairs, modifications, procurement, and replacement of internal peripherals as needed.
Install, configure, and support enterprise class, SQL compliant database software.
Document the procedures for other support personnel to use as reference material to assist in the support of these systems.
Exceptional ability to work with a very demanding group of users in providing timely support in person, over the phone, or in remote
desktop sessions.
Known for approachability, diplomacy and patience in dealing with frustrated users.
Excellent problem-solving skills relating to Access, Excel, or Word questions.
Create macros, research complex inquiries, and find solutions to users' issues.
Monitor and maintain back-up systems and server health including Heatweb-fs.
Collaborate with team members and vendors, to develop strategies for hardware and software solutions.
Key Achievements: Designed and developed training material, then conducted training classes to assist internal end users in the proper use
and procedures of City software applications and computer systems.
Reduced by half the equipment inventory process time by researching and recommending new hand-held scanners then customizing the
Inventory Worksheet in HEAT to autofill the form.
Increased efficiency and communication within IT department by redesigning and automating tasks in several of the HEAT Call Logging
screens.
Created document for new employees to help them navigate the City's technology, everything from how to access their email, how to use
their desk phones, to explaining policies and procedures for printing, scanning, and end of day procedures.
08/2004 to 03/2007
End User Support Specialist Company Name ï¼​ City , State
Ensure customer satisfaction by responding to calls to the help desk.
Logs all customer questions and problems and tracks the same through to resolution.
Field over 20,800 calls from user community per year.
Analyze each call for problem symptoms then determine problem resolution.
Coordinate planning, development, and teaching of software, including time frame for deliverables.
Designed and created class evaluation database for the purposes of certificate recognition.
Generate and analyze statistical data from HEAT call ticket database.
Maintain and update call tracking software.
Create and update knowledgebase.
Provide software training to all employees of the District through web pages, training classes, correspondence, or one-on-one assistance.
Conducted 34 software classes over the last year-and-a-half, with a 98% approval rating.
Provide software installation, repair, and support to approximately 2,800 employees including the administration compound and district
laptop users.
Set up new district laptops to district standards.
08/2002 to 05/2004
Instructional Support Specialist Company Name ï¼​ City , State
Provided administrative/secretarial support to all full- and part-time instructors in the Business Computer Information Systems Department.
Worked cooperatively with Department Chair and all other faculty of the Business Education Department located on the Main Campus,
Chico Center, Orland, Paradise, and Glenn County.
Recommended modifications or improvements for methods, procedures, techniques, and equipment required for the Business Education
Degree programs and computer labs resulting in time and cost savings for the department.
Designed and maintained database of 8 years of graduating students following their degree programs and certificates.
Provided effective instruction and tutoring to a widely diverse group of students in the following career programs: Microsoft Office (Word,
Excel, Access, PowerPoint and Publisher), Computer Applications, Office Assistant, Medical Front Office Assistant, Legal Office
Assistant, Desktop Publishing; and Medical Transcription for Certification.
Collaborated with the technical support team to recommend new hardware and software to improve the performance of the computers.
Maintained and updated Butte College, Business Education Website.
Provided desktop publishing design work including creation of flyers, brochures, news releases, and newspaper ads outlining special events
and course offerings.
Assist Enterprise Networks department by installing lab computer systems (4 labs - 125 systems, 80 new systems), validating lab system
images every semester, troubleshooting user hardware and software issues, hardware repair, memory upgrades, software installs, OS and
software patch installation, and OS upgrades.
02/2002 to 05/2002
Instructional Support Asst I Company Name ï¼​ City , State
Instructed and tutored Corporate Information Technology students in the basics of: Database design: including ERD diagrams, data
dictionaries, using all functions of Microsoft Access.
SAP R/3: enterprise wide functionality, materials requirement planning (MRP) functionality and to create a personnel file for a new
employee.
HTML web design: create two inter-related web pages in HTML, upload a database to the web server, connect web pages to the
database, and pull information from the database to display in the pages.
Implemented and documented lab policies and procedures.
Lead Documentation Team in the designing, developing and delivering of a computerized training solution for the Center for Economic
Development.
Worked jointly with seven other team leaders.
Managed a six-person team.
Wrote documentation guidelines.
Produced the User Guide and Online Help for the users of the new software.
06/1994 to 05/1997
Computer Systems Manager Company Name ï¼​ City , State
Database Manager and Desktop Publisher Managed and maintained customized church database with 6000+ entries including membership,
attendance, and contribution modules.
Produced tailored reports for administrator using data analysis and manipulation techniques.
Analyzed and produced visualized reports of abstract data.
Trained others to manipulate the database for creating custom reports for their departments.
Served as network administrator.
Diagnosed and implemented solutions for routine hardware issues.
Edited weekly publications including the Lantern Newsletter.
Prepared special publication projects.
Education and Training
May, 2002
B.S : Business Administration, Management Information Systems California State University ï¼​ City Business Administration, Management
Information Systems Cum Laude
December, 2008
Microsoft Word XP Certification, Microsoft Office Specialist Program May, 2003 Crystal Certification of Crystal Reports Design 9.0 April, 2005
New Horizons Course: OLL - Developing MS ASP .NET Web Applications Using Visual Studio October, 2007 Novell Certificate in
Implementing Novell Open Enterprise Server 2 for Linux
Graduate Certificate in Corporate Education August, 2009 Pearson VUE Certified Test Administrator May, 2010 Siemon Certification in Design
Principles and Installation Practices December, 2011 FrontRange HEAT Administration I November, 2013 FrontRange HEAT Administration II
February, 2014 Dell Certification for Online Self Dispatch for Desktops and Notebooks June, 2015
Activities and Honors
Driven Information Technology Professional with broad technical skill set. Known for ability to multi-task and juggle multiple projects
simultaneously, meeting all deadlines. Excels in customer support, training, and documentation. Most noted for customer service and teamwork
expertise. Thrives in environments that continually embraces new technologies.
ASP .NET, Client/Server, Crystal Reports, data analysis, Database design, database software, Desktop Publishing, Desktop Publisher, equipment
inventory, special events, Front Office, help desk, HTML web design, in Design, instruction, Linux, Logging, macros, Publisher, network
administrator, Newsletter, procurement, repairs, SAP R/3, software installation, SQL, systems administration, technical support, training material,
tutoring, UNIX, Visual Studio, Web Applications, web server","Chico Center, Orland, Paradise, and Glenn County.
Degree programs and computer labs resulting in time and cost savings for the department.
Designed and maintained database of 8 years of graduating students following their degree programs and certificates.
Provided effective instruction and tutoring to a widely diverse group of students in the following career programs: Microsoft Office (Word,
Excel, Access, PowerPoint and Publisher), Computer Applications, Office Assistant, Medical Front Office Assistant, Legal Office
Assistant, Desktop Publishing; and Medical Transcription for Certification.
Collaborated with the technical support team to recommend new hardware and software to improve the performance of the computers.
Provided desktop publishing design work including creation of flyers, brochures, news releases, and newspaper ads outlining special events
and course offerings.
Assist Enterprise Networks department by installing lab computer systems (4 labs - 125 systems, 80 new systems), validating lab system
images every semester, troubleshooting user hardware and software issues, hardware repair, memory upgrades, software installs, OS and
software patch installation, and OS upgrades.
02/2002 to 05/2002
Instructional Support Asst I Company Name ï¼​ City , State
Instructed and tutored Corporate Information Technology students in the basics of: Database design: including ERD diagrams, data
dictionaries, using all functions of Microsoft Access.
SAP R/3: enterprise wide functionality, materials requirement planning (MRP) functionality and to create a personnel file for a new
employee.
HTML web design: create two inter-related web pages in HTML, upload a database to the web server, connect web pages to the
database, and pull information from the database to display in the pages.
Implemented and documented lab policies and procedures.
Lead Documentation Team in the designing, developing and delivering of a computerized training solution for the Center for Economic
Development.
Worked jointly with seven other team leaders.
Managed a six-person team.
Wrote documentation guidelines.
Produced the User Guide and Online Help for the users of the new software.
06/1994 to 05/1997
Computer Systems Manager Company Name ï¼​ City , State
Database Manager and Desktop Publisher Managed and maintained customized church database with 6000+ entries including membership,
attendance, and contribution modules.
Produced tailored reports for administrator using data analysis and manipulation techniques.
Analyzed and produced visualized reports of abstract data.
Trained others to manipulate the database for creating custom reports for their departments.
Served as network administrator.
Diagnosed and implemented solutions for routine hardware issues.
Edited weekly publications including the Lantern Newsletter.
Prepared special publication projects.
May, 2002
B.S : Business Administration, Management Information Systems California State University ï¼​ City Business Administration, Management
Information Systems Cum Laude
December, 2008
Microsoft Word XP Certification, Microsoft Office Specialist Program May, 2003 Crystal Certification of Crystal Reports Design 9.0 April, 2005
New Horizons Course: OLL - Developing MS ASP .NET Web Applications Using Visual Studio October, 2007 Novell Certificate in
Implementing Novell Open Enterprise Server 2 for Linux
Principles and Installation Practices December, 2011 FrontRange HEAT Administration I November, 2013 FrontRange HEAT Administration II
February, 2014 Dell Certification for Online Self Dispatch for Desktops and Notebooks June, 2015
Activities and Honors
Driven Information Technology Professional with broad technical skill set. Known for ability to multi-task and juggle multiple projects
simultaneously, meeting all deadlines. Excels in customer support, training, and documentation. Most noted for customer service and teamwork
expertise. Thrives in environments that continually embraces new technologies.
Skills
ASP .NET, Client/Server, Crystal Reports, data analysis, Database design, database software, Desktop Publishing, Desktop Publisher, equipment
inventory, special events, Front Office, help desk, HTML web design, in Design, instruction, Linux, Logging, macros, Publisher, network
administrator, Newsletter, procurement, repairs, SAP R/3, software installation, SQL, systems administration, technical support, training material,
tutoring, UNIX, Visual Studio, Web Applications, web server"
