PDF File Name,Job Role,Skills,Education
10070224.pdf,PUBLIC RELATIONS DIRECTOR,"Microsoft Office Suite: Word, Excel, Publisher, PowerPoint 
Constant Contact: Email marketing tool 
OU Campus: Web content managementÂ 
Meltwater News: Media tracking and distributionÂ 
TVEyes: Broadcast monitoring
Community Service
Capital Area ReEntry Coalition: Email Marketing, Press Releases, Media Relations, 2015 
Media 101 Workshop for non-profits: Served as a panelist, April 2016â€‹
Community Grant Writing Workshop:Â  Conducted media workshop, 2016","Master of Arts : Mass Communication , May 2003 Southern University ï¼​ City , State Public Relations
Bachelor of Arts : Mass Communication , December 2001 Southern University ï¼​ City , State Broadcast Journalism
Professional Affiliations
Public Relations Society of America- 2009 to present
Public Relations Association of Louisiana- 2009 to present
National Council for Marketing and Public Relations - 2006 to present
National Association of Black Journalists- 2014 to present
Awards
Outstanding Professional Staff Award, 2016
Outstanding Staff Achievement Award, 2013
Skills
Microsoft Office Suite: Word, Excel, Publisher, PowerPoint 
Constant Contact: Email marketing tool 
OU Campus: Web content managementÂ 
Meltwater News: Media tracking and distributionÂ 
TVEyes: Broadcast monitoring
Community Service
Capital Area ReEntry Coalition: Email Marketing, Press Releases, Media Relations, 2015 
Media 101 Workshop for non-profits: Served as a panelist, April 2016â€‹
Community Grant Writing Workshop:Â  Conducted media workshop, 2016"
10554045.pdf,WARD CLERK UNIT SECRETARY ADMISSIONS AND DISPOSITIONS CLERK 3RD PARTY LIABILITY CLERK PATIENT,"accounts payable, accounts receivable, administrative, administrative functions, Back-up, balance sheet, billing, billings, budget, cashier, concise,
CPR, delivery, diagnosis, Financial forecasting, financial reporting, HR, Insurance, inventory, managing, MS Excel, Mail, Office, MS Powerpoint,
MS Word, Month-end closing, payroll, policies, proposals, receiving, reporting, Sarbanes-Oxley, taxes, type","University of North Carolina 1982 Bachelors of Arts : Sociology City Sociology
Military - 1983- 1992
Skills
accounts payable, accounts receivable, administrative, administrative functions, Back-up, balance sheet, billing, billings, budget, cashier, concise,
CPR, delivery, diagnosis, Financial forecasting, financial reporting, HR, Insurance, inventory, managing, MS Excel, Mail, Office, MS Powerpoint,
MS Word, Month-end closing, payroll, policies, proposals, receiving, reporting, Sarbanes-Oxley, taxes, type"
10873344.pdf,ACCOUNT MANAGER,"administrative, Adobe Photoshop, Premiere, ad, advertisements, advertising, product analysis, art, assembly, billing, brochures, budget, Chinese,
interpersonal skills, competitive, clientele, client, customer service, database, delivery, creative development, documentation, edit, Fame, fast, film,
functional, image, IMS, indexing, marketing, materials, Access, Excel, Microsoft Office, PowerPoint, Word, networking, Newsletters, newsletter,
newspapers, Internet Research, online research, Oracle, organizational, organization skills, camera, policies, presenting, Presentations, press, press
releases, proposals, publications, publication, radio, Read, reporting, Research, scanning, scripts, script, television, Type, Video, written
communication skills
Professional Affiliations
Order of Omega Greek Honor Society Member Alpha Phi Sorority Member March 2007- Present Marketing Club Member January 2009-
Present Relay for Life Participant April 2007, 2008, 2009, 2010 SHU 500 Volunteer September 2006, 2007, 2008, 2009","Bachelor of Arts : Public Relations and Journalism Seton Hall University ï¼​ City , State GPA: Cum Laude Public Relations and Journalism Cum
Laude
Skills
administrative, Adobe Photoshop, Premiere, ad, advertisements, advertising, product analysis, art, assembly, billing, brochures, budget, Chinese,
interpersonal skills, competitive, clientele, client, customer service, database, delivery, creative development, documentation, edit, Fame, fast, film,
functional, image, IMS, indexing, marketing, materials, Access, Excel, Microsoft Office, PowerPoint, Word, networking, Newsletters, newsletter,
newspapers, Internet Research, online research, Oracle, organizational, organization skills, camera, policies, presenting, Presentations, press, press
releases, proposals, publications, publication, radio, Read, reporting, Research, scanning, scripts, script, television, Type, Video, written
communication skills
Professional Affiliations
Order of Omega Greek Honor Society Member Alpha Phi Sorority Member March 2007- Present Marketing Club Member January 2009-
Present Relay for Life Participant April 2007, 2008, 2009, 2010 SHU 500 Volunteer September 2006, 2007, 2008, 2009"
10926726.pdf,ASSISTANT DIRECTOR OF POLAR EXPEDITIONS,"photo, PhotoShop, ads, analyst, art, agency, book, branding, brochures, catalogs, closing, concise, clientele, Client, clients, database software,
Digital photography, direct marketing, direction, due diligence, event planning, film, finance, financing, forms, fundraising, hiring, human resources,
InDesign, investments, invoicing, layout, logistics, Mac, materials, meetings, Excel, office, Outlook, PowerPoint, Word, communicator,
networking, newspaper, personnel, photo editing, photography, presentations, presentation skills, print design, print media, procurement, property
management, proposals, Public Health, radio, research, sales, staffing, strategy, vendor relations, video, written
Desktop Publishing Software: Photoshop, InDesign","Bachelor of Arts : Photography & Fiction Writing Columbia College Chicago ï¼​ City , State GPA: Dean's List Dean's ListÂ Spring 1999
Skills
photo, PhotoShop, ads, analyst, art, agency, book, branding, brochures, catalogs, closing, concise, clientele, Client, clients, database software,
Digital photography, direct marketing, direction, due diligence, event planning, film, finance, financing, forms, fundraising, hiring, human resources,
InDesign, investments, invoicing, layout, logistics, Mac, materials, meetings, Excel, office, Outlook, PowerPoint, Word, communicator,
networking, newspaper, personnel, photo editing, photography, presentations, presentation skills, print design, print media, procurement, property
management, proposals, Public Health, radio, research, sales, staffing, strategy, vendor relations, video, written
Desktop Publishing Software: Photoshop, InDesign"
11160414.pdf,VP MARKETING & COMMUNICATIONS,"Business strategy, content creation and management, email marketing, social media, public relations","BA : Communication University of Pittsburgh ï¼​ City , State
BA : Business University of Pittsburgh ï¼​ City , State
Professional Designations
Associate of Insurance Service (AIS)
Associate of Personal Insurance (API)
Skills
Business strategy, content creation and management, email marketing, social media, public relations"
11624880.pdf,COMMUNICATIONS COORDINATOR,"Adobe Photoshop,Illustrator, InDesign
Experience with Cvent Crowdcompass' mobile application software
Microsoft Office
Constant Contact, Mailchimp","Bachelor of Arts : Strategic Communications May 2014 Elon University City , State GPA: GPA: 3.71 Graduated Magna Cum Laude Dean's List
Fall 2010, Spring 2011, Spring 2012, President's List Fall 2012, Spring 2013, Fall 2013; Spring 2014 Inducted into National Communications
Association, Lambda Pi Eta Inducted into National Social Science Honor Society, Pi Gamma Mu Inducted into the International Sociology Honor
Society, Alpha Kappa Delta
Strategic Communications GPA: 3.71 Graduated Magna Cum Laude Dean's List Fall 2010, Spring 2011, Spring 2012, President's List Fall 2012,
Strategic Communications GPA: 3.71 Graduated Magna Cum Laude Dean's List Fall 2010, Spring 2011, Spring 2012, President's List Fall 2012,
Spring 2013, Fall 2013; Spring 2014
Inducted into National Communications Association, Lambda Pi Eta
Inducted into National Social Science Honor Society, Pi Gamma Mu
Inducted into the International Sociology Honor Society, Alpha Kappa Delta
Interests
Member of Public Relations Student Society of America - ""1000 Thanks"" Program Contributor Received over 1500 thank-you cards from
university community (Fall 2013) Completed service-learning work with nonprofit organization, Sustainable Alamance, helped plan and coordinate
an event that helped raise over $1,000. Volunteered with Elon University's Student Government Association to promote their organization
Member of academic organization, Theta Psi Alpha (Spring 2013) House Representative in The Station at Mill Point residence community (Fall-
Spring 2013) Study Abroad: Studied ecotourism abroad in Australia for winter term in January 2014. Visited the cities of Sydney, Brisbane,
Cairns, Melbourne, and Tasmania and learned about sustainable travel and tourism. Relevant Coursework: Communications in a Global Age,
Media Writing, Strategic Campaigns, Health Communications, Public Relations & Civic Responsibility, Digital Media Convergence, Strategic
Writing, Communication Research, Corporate Publishing, Capstone in Communications, Advertising in Society, Intro to Marketing
Additional Information
Past Extracurricular Activities: Member of Public Relations Student Society of America - ""1000 Thanks"" Program Contributor Received
over 1500 thank-you cards from university community (Fall 2013) Completed service-learning work with nonprofit organization,
Sustainable Alamance, helped plan and coordinate an event that helped raise over $1,000. Volunteered with Elon University's Student
Government Association to promote their organization Member of academic organization, Theta Psi Alpha (Spring 2013) House
Representative in The Station at Mill Point residence community (Fall-Spring 2013) Study Abroad: Studied ecotourism abroad in Australia
for winter term in January 2014. Visited the cities of Sydney, Brisbane, Cairns, Melbourne, and Tasmania and learned about sustainable
travel and tourism.
Skills
Adobe Photoshop,Illustrator, InDesign
Experience with Cvent Crowdcompass' mobile application software
Microsoft Office
Constant Contact, Mailchimp"
11635137.pdf,MARKETING & COMMUNICATIONS EXECUTIVE,,"Bachelor of Arts : English Literature UC SANTA BARBARA ï¼​ City , State 
Credentials
Content development, corporate communications, health care, new business development, producing, public relations, sales, stories, strategic
planning"
11842274.pdf,BARTENDER,"Accounting, advertising, basic, brochures, C, cashier, closing, conferences, cooking, credit, make change, clients, customer satisfaction,
Customer Service, direct mail, documentation, editing, special events, exhibitions, fast, forms, functional, funds, health and safety standards, IDs,
image, instruction, Insurance, Maintain inventory, inventory, law, legal, market, Marketing, meetings, money, multimedia, neat, newsletters,
newspapers, Organizing, Organizational, policies, POS, presentations, press, press releases, PR, Processes, promotion, Public Relations, publicity,
quality, radio, safety, selling, sales, speeches, supervisor, supervising, supervision, tables, taxes, TV, television, tops, website, articles, annual
reports","High School Diploma : 1993 
Susan B. Dorsey High - City , State 
Cosmetology , 1993 
Career Academy Inc - City , State 
Skills
Accounting, advertising, basic, brochures, C, cashier, closing, conferences, cooking, credit, make change, clients, customer satisfaction,
Customer Service, direct mail, documentation, editing, special events, exhibitions, fast, forms, functional, funds, health and safety standards, IDs,
image, instruction, Insurance, Maintain inventory, inventory, law, legal, market, Marketing, meetings, money, multimedia, neat, newsletters,
newspapers, Organizing, Organizational, policies, POS, presentations, press, press releases, PR, Processes, promotion, Public Relations, publicity,
quality, radio, safety, selling, sales, speeches, supervisor, supervising, supervision, tables, taxes, TV, television, tops, website, articles, annual
reports"
11850315.pdf,PUBLIC RELATIONS SPECIALIST AND BRAND CONSULTANT,"agency, branding, budgets, content creation, clients, direction, editorial, editor, email, event planning, special events, Fashion, financial, functional,
Google Analytics, GPS, image, leadership, Lexis Nexis, marketing, marketing communications, media plans, media relations, merchandising,
Access, Excel, MS Office Suite, PowerPoint, Word, press, press releases, PR, project plans, Public Relations, public speaking, retail, sales,
Spanish, speeches, strategy, strategic, TV, video","B.A : Marketing , June 2005 Berkeley College Marketing
Languages
Native fluency in Spanish
Personal Information
I know I will make a positive contribution to your company and look forward to discussing my capabilities in more detail. I am available for a
personal interview at your convenience. I know you are busy, and have many applications to review, so please let me know if you wish to further
discuss your requirements and my ability to meet them. Thank you for your time and consideration. Sincerely, Lorena Pino
Additional Information
I know I will make a positive contribution to your company and look forward to discussing my capabilities in more detail. I am available for
a personal interview at your convenience. I know you are busy, and have many applications to review, so please let me know if you wish to
further discuss your requirements and my ability to meet them. Thank you for your time and consideration. Sincerely, Lorena Pino
Skills
agency, branding, budgets, content creation, clients, direction, editorial, editor, email, event planning, special events, Fashion, financial, functional,
Google Analytics, GPS, image, leadership, Lexis Nexis, marketing, marketing communications, media plans, media relations, merchandising,
Access, Excel, MS Office Suite, PowerPoint, Word, press, press releases, PR, project plans, Public Relations, public speaking, retail, sales,
Spanish, speeches, strategy, strategic, TV, video"
11902276.pdf,PUBLIC RELATIONS MANAGER,"approach, C, concept, Credit, Client, clients, customer service, English, senior management, Financial, Leadership, marketing, market, meetings,
Money, enterprise, oil, policies, processes, quality, quick, relationship management, repairs, research, Selling, sales, Spanish, strategic, technical
training","BABSON COLLEGE, F.W. OLIN GRADUATE SCHOOL OF BUSINESS May 2016 Master of Business Administration City , State
UNIVERSIDAD METROPOLITANA October 2010 Bachelor of Science : Business Administration Management City , Venezuela Business
Administration Management
Financial Engineering Certificate
Languages
Spanish, English
Skills
approach, C, concept, Credit, Client, clients, customer service, English, senior management, Financial, Leadership, marketing, market, meetings,
Money, enterprise, oil, policies, processes, quality, quick, relationship management, repairs, research, Selling, sales, Spanish, strategic, technical
training"
