PDF File Name,Job Role,Skills,Education
10138632.pdf,SALES MANAGER,"â€¢Computers and Electronics
â€¢Administration and Management
â€¢Critical Thinking
â€¢Negotiation
â€¢Persuasion
â€¢Sales and Marketing
Experience
01/2010 to Current
Sales Manager Company Name ï¼​ City , State
Resolve customer complaints regarding sales and service.
Direct and coordinate activities involving sales of manufactured products, services, commodities or other subjects of sale.
Plan and direct staffing, training, and performance evaluations to develop and control sales and service.
Determine price schedules and discount rates.
Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.
Review operational records and reports to project sales and determine profitability.
Direct foreign sales and service outlets of an organization.
Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.
Monitor customer preferences to determine focus of sales efforts.
Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.
Direct, coordinate, and review activities in sales and service accounting and record keeping, and in receiving and shipping operations.
07/2007 to 03/2010
Emergency Road Service Technician Company Name ï¼​ City , State
Identify and inflate tires correctly for the size and ply.
Place wheels on balancing machines to determine counterweights required to balance wheels.
Raise vehicles, using hydraulic jacks.
Remount wheels onto vehicles.
Unbolt wheels from vehicles and remove them, using lug wrenches and other hand and power tools.
Apply rubber cement to buffed tire casings prior to vulcanization process.
Reassemble tires onto wheels.
Drive automobile or service trucks to industrial sites to provide services or respond to emergency calls.
Replace valve stems and remove puncturing objects.
Hammer required counterweights onto rims of wheels.
Inspect tire casings for defects, such as holes or tears.
Glue tire patches over ruptures in tire casings, using rubber cement.
Prepare rims and wheel drums for reassembly by scraping, grinding, or sandblasting.
Assist mechanics and perform other duties as directed.
Inflate inner tubes and immerse them in water to locate leaks.
03/2005 to 09/2007
Wholesale Food Supplier Company Name ï¼​ City , State
Sell and keep records of sales for products from truck inventory.
Maintain records, such as vehicle logs, records of cargo, or billing statements, in accordance with regulations.
Drive vehicles with capacities under three tons to transport materials to and from specified destinations, such as railroad stations, plants, residences, offices, or within industrial yards.
Wrap, weigh, label and price cuts of meat.
Prepare special cuts of meat ordered by customers.
Cut, trim, bone, tie, and grind meats, such as beef, pork, poultry to prepare meat in cooking form.
Total sales, and collect money from customers.
Use knives, cleavers, meat saws, bandsaws, or other equipment to perform meat cutting and trimming.
Cut and trim meat to prepare for packing.
Inspect meat products for defects, bruises or blemishes and remove them along with any excess fat.
Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.
Total sales, and collect money from customers.
Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.
Analyze price proposals, financial reports, and other data and information to determine reasonable prices.
Purchase the highest quality merchandise at the lowest possible price and in correct amounts.
Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.
Negotiate prices, discount terms and transportation arrangements for merchandise.
Consult with store or merchandise managers about budgets or goods to be purchased.
Collect money from customers, make change, and record transactions on customer receipts.
Drive trucks to deliver such items as food, medical supplies, or newspapers.
Write customer orders and sales contracts according to company guidelines.
Inform regular customers of new products or services and price changes.
Record sales or delivery information on daily sales or delivery record.
Call on prospective customers to explain company services or to solicit new business.
Listen to and resolve customers' complaints regarding products or services.
Education
2012
High School Diploma : General Pennsauken High School ï¼​ City , State
Additional Information
Volunteer
ActivitiesÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Seeds Of Hope - Oct 2013 - present Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â Â  Serve food, beverages, and desserts in
lunchrooms,Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  business or industrial establishments.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Community Service, etc.","2012
High School Diploma : General Pennsauken High School ï¼​ City , State
Additional Information
Volunteer
ActivitiesÂ Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Seeds Of Hope - Oct 2013 - present Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â  Â Â  Serve food, beverages, and desserts in
lunchrooms,Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â  business or industrial establishments.Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â 
Community Service, etc."
10464113.pdf,SALES EXECUTIVE,"Inside and Outside Sales, Customer Service, Salesforce, Act, and Goldmine CRM, Allscripts Software, Outlook, Practice Fusion Software,
Appointment Setting, Cold Calling, Presenting, Closing and Client Retention. Database management, direct mail, insurance, marketing, reporting
and training and support.","Carnegie, Dare to be Different by Bob Clements International, Inc., How to Master the Art of Selling by Tom Hopkins International,
Elemental Selling by Jeffrey Gitomer at Business Marketing Services, Building Customer Relationships by Waste Management Training
Team, and Quality Sales Training by Waste Management Training Team.
Account Manager 04/2012 to 02/2015 Company Name City , State
Responsible for helping new start up billing company acquire new clients in Southern Ohio and Kentucky. Sold Allscripts software with meaningful
use allowances, sold billing and credentialing services and continued to support the client and their staff.
This company changed their business plan and layed off outside sales team to grow the business by acquiring failing billing companies who were
losing their physician clients to hospital and large physician buyouts.
High School Diploma : Required and Business 1977 Suncoast City , State , United States
business experience. My positions were managing a golf pro shop of a country club part time and working the late day shift as team leader for a
Publix Bakery Department.
Skills
Inside and Outside Sales, Customer Service, Salesforce, Act, and Goldmine CRM, Allscripts Software, Outlook, Practice Fusion Software,
Appointment Setting, Cold Calling, Presenting, Closing and Client Retention. Database management, direct mail, insurance, marketing, reporting
and training and support."
10603337.pdf,SALES ASSOCIATE,"photo, credit, clients, customer service, digital cameras, editing, fashion, flash, instruction, Inventory, meetings, policies, Research, sales, set design,
script, transmission","Dec 2016
Associates Borough of Manhattan Community College ï¼​ City , State
Jun 2013
High School Diploma Talent Unlimited High School ï¼​ City , State
Skills
photo, credit, clients, customer service, digital cameras, editing, fashion, flash, instruction, Inventory, meetings, policies, Research, sales, set design,
script, transmission"
10724818.pdf,SALES,"Microsoft Office Suite, Calendaring, Critical Thinking, Travel Arrangements
Additional Information
LINKS
http://www.linkedin.com/in/rachellascalla","Bachelor's : Anthropology Hunter College ï¼​ City , State
Emphasis in Linguistics
Skills
Microsoft Office Suite, Calendaring, Critical Thinking, Travel Arrangements
Additional Information
LINKS
http://www.linkedin.com/in/rachellascalla"
10898339.pdf,SALES ASSOCIATE,"Dependable independent worker
Customer service skills
Good at following instructions
Customer service experience
Solid communication skills
Strong work ethic
Experience
Sales Associate 
August 2013 to December 2013 Company Name ï¼​ City , State
Responsibilities:
â€¨Make the customer happyâ€¨
Great customer servicesâ€¨
Perform assigned/unassigned tasks Face-front/Organize shelves and bays
â€¨Good oral/communication skills
Able to lift heavy objects
ALWAYS put the customer firstÂ 
Lawn Care Technician 
May 2013 to September 2013 Company Name ï¼​ City , State
Responsibilities: â€¨
Lawn Mowing- Edging, Weed whipping, Blowing grass and debris off pavement and structures,â€¨and 20 in. lawn mower was primarily my
responsibilities.
Learned how to use the 36, 42 in. mowers and rider.
Gardening/Landscaping- Maintain gardens by cultivating and weeding, and mulching.
Snow Plowing-Snow blow/shovel driveways and sidewalks. Salt afterwards. â€¨Preform tasks quickly with minimal mistakes
â€¨Learned how to use plenty of mowing/landscaping equipment (36,42 inch blades, rider etc.)Â 
Handyman 
January 2009 to July 2016 Company Name ï¼​ City , State
Handyman Services including-
Window/gutter cleaning
Power washing/staining decks
Power washing houses
Painting Repairing (from little tasks like screens and windows to larger tasks like a basement.)
Snow Plowing.
Education
High School Diploma : 2011 Avondale High School ï¼​ City , State
Liberal Arts , 2013 Clackamas Community College ï¼​ City , State Liberal Arts
Liberal Arts , 2016 Oakland Community College ï¼​ City , State
Personal Information
Hard worker and fast learner. Always able to compete a task on time and with satisfaction.
Jack of all trades. Can perform all typesof handiwork and any task necessary.Â","High School Diploma : 2011 Avondale High School ï¼​ City , State
Liberal Arts , 2013 Clackamas Community College ï¼​ City , State Liberal Arts
Liberal Arts , 2016 Oakland Community College ï¼​ City , State
Personal Information
Hard worker and fast learner. Always able to compete a task on time and with satisfaction.
Skills
Jack of all trades. Can perform all typesof handiwork and any task necessary.Â"
12082377.pdf,SALES REPRESENTATIVE,"Business development
Organized
Fast learner
Highly dependable
Natural leader
Enthusiastic yet professional demeanor
Organized
Excellent attention to
Customer satisfaction
Account and territory management
Retail sales
detail
Fluent in Spanish
Computer literate
Work History
Sales Representative Company Name - City , State 12/2012 - 09/2014 
Increased sales volume by adding 10 accounts in the territory.
Selected the correct products based on customer needs, product specifications and applicable regulations.
Increased sales volume by adding 10 accounts in the Rio Grande Valley territory.
Negotiated prices, terms of sales and service agreements.
Contacted new and existing customers to discuss how their needs could be met through specific products and services.
Territory Manager Company Name - City , State 04/2012 - 11/2013 
Â Established new territory for the company, adding special order, stocking dealers.
Â Managed portfolio of 30 accounts and $60,000-$90,000 per month in sales.
Â Negotiated prices, terms of sales, service agreements. Contacted new and existing customers to discuss how their needs could be met
through specific products, services.
Â Selected correct products based on customer needs, product specifications.
Â Created sales contacts with on- and off-premise accounts.
Â Recorded accurate, efficient records in customer database.
Â Prospected and conducted face-to-face sales calls with business executives and directors throughout assigned territory.
Â Consulted businesses to supply accurate product, service information.
Â Met existing customers to review current services and expand sales opportunities.
Â Built relationships with customers to promote long term business growth.
Exceeded team sales goals by 30%.
Sales Decora Kitchen Bath & Floors - McAllen, TX l Managed residential and commercial sales.
Sales Company Name - City , State 01/2008 - 09/2010 
Â Retailed all types of flooring, ceramic & porcelain tile, natural stone, resilient flooring, laminate and hardwood, carpet.
Â Coordinated and supervised installations of Floor and counter-tops.
Â Project estimating and purchasing.
Attended Surfaces and KBIS trade shows.
Â Negotiated prices, terms of sales and service agreements.
Â Contacted new and existing customers to discuss how their needs could be met through specific products and services.
Â Quoted prices, credit terms and other bid specifications.
Â Identified prospective customers by using business directories and following leads from existing clients.
Â Wrote sales contracts for orders obtained and submitted orders for processing.
Â Selected the correct products based on customer needs, product specifications and applicable regulations.
Â Prioritized tasks and projects to meet tight deadlines.
Owner Company Name - City , State 01/2000 - 07/2007 
Coordinated residential and commercial sales, along with supervising all installations.
Project estimating and purchasing.
Retailed all types of flooring, ceramic & porcelain tile, natural stone, resilient flooring, laminate, hardwood and carpet.
Â Attended Surfaces and Mohawk U trade shows and seminars.
Â Negotiated prices, terms of sales and service agreements.
Â Contacted new and existing customers to discuss how their needs could be met through specific products and services.
Â Quoted prices, credit terms and other bid specifications.
Â Wrote sales contracts for orders obtained and submitted orders for processing.
Â Selected the correct products based on customer needs, product specifications and applicable regulations.
Assigned tasks to associates, staffed projects, tracked progress and updated managers, partners and clients as necessary.
Matched purchase orders with invoices and recorded the necessary information.
Education
High School Diploma : James Pace High School -
Continuing education Interior Decorator
attention to detail, Strong interpersonal skills, contracts, credit, clients, database, Dependable, English, estimating, outlook, natural, negotiator,
Persuasive, progress, purchasing, Sales, Sales Management, seminars, Spanish, Strategic, supervising, tops, trade shows","High School Diploma : James Pace High School -
Continuing education Interior Decorator
Skills
attention to detail, Strong interpersonal skills, contracts, credit, clients, database, Dependable, English, estimating, outlook, natural, negotiator,
Persuasive, progress, purchasing, Sales, Sales Management, seminars, Spanish, Strategic, supervising, tops, trade shows"
12351749.pdf,SALES COORDINATOR,"Excellent quantitative skills Advanced MS Office
Suite knowledge
Strong knowledge of R, Excel Advanced Excel
modeling
Excellent research skills Business systems
analysis
Knowledge of statistical analysis and Superb
communication skills
Algorithm development Business Domain, Statistics and Interpretation, Mining,
predictive analysis, and coding
Visualization and exploration, Data Analyst, RStudio, Tableau, Data Collection,
Machine Learning, C++
Â Report Generation
Education and Training
Master of Science , Data Analytics 2018 University of Houston ï¼​ City , State Data Analytics
BBA , Finance 2005 University of Houston ï¼​ City , State Finance
Finance
Experience
Sales Coordinator Jul 2016 to May 2017 
Company Name ï¼​ City , State
Heavy cold calling to new and existing oil and gas, energy, and aerospace clientele to increase revenue and market penetration Managed a
portfolio of 250 accounts that generated 36% of increased proposals in 4 months.
Conducted business to business telephone sales.
Researched sales and contact information for prospects and created reports for business development managers
Inside Sales Representative Aug 2015 to Feb 2016 
Company Name ï¼​ City , State
Prioritized daily workflows, including all inbound calls, quotes and sales-related inquiries.
Wrote sales contracts for orders obtained and submitted orders for processing.
Achieved 170% of first 90 day quota, earning 2nd highest rookie quarter in 21 year company history.
Prioritized daily workflows, including all inbound calls, quotes and sales-related inquiries.
Emphasized product features based on analysis of customers' needs.
Inside Sales Representative Sep 2014 to May 2015 
Company Name ï¼​ City , State
Developed competitive comparison tables of steel grating pricing, fees, ratings, category and product performance to use for account sales
calls.
Created sales contacts with on- and off-premise accounts.
Built client relationships by acting as the liaison between the drafting and sales teams.
Consulted with clients after sales and contract signings to resolve problems and provide ongoing support.
Recruiter Feb 2007 to Oct 2014 
Company Name ï¼​ City , State
Developed creative recruiting strategies that met small to mid-sized broker dealer staffing needs.
Managed all aspects of advisor transition cycle, from initial set to on boarding.
Served as link between broker dealer and advisor by handling questions, interpreting contracts, and resolving transition issues.
Memberships/Scholarly Societies University of Houston- Downtown Analytics Society.
Business systems analysis, C++, cold calling, communication skills, competitive, contracts, credit, clientele, client, clients, Data Analyst, Data
Collection, database, drafting, features, Finance, financial, financial statements, Interpretation, Machine Learning, market, Excel, Money, MS
Office Suite, modeling, oil, outside sales, pricing, Coding, proposals, recruiting, research, sales, staffing, statistical analysis, Statistics, Tableau,
tables, telephone, underwriter","Master of Science , Data Analytics 2018 University of Houston ï¼​ City , State Data Analytics
BBA , Finance 2005 University of Houston ï¼​ City , State Finance
Finance
Experience
Sales Coordinator Jul 2016 to May 2017 
Company Name ï¼​ City , State
Heavy cold calling to new and existing oil and gas, energy, and aerospace clientele to increase revenue and market penetration Managed a
portfolio of 250 accounts that generated 36% of increased proposals in 4 months.
Conducted business to business telephone sales.
Researched sales and contact information for prospects and created reports for business development managers
Inside Sales Representative Aug 2015 to Feb 2016 
Company Name ï¼​ City , State
Prioritized daily workflows, including all inbound calls, quotes and sales-related inquiries.
Wrote sales contracts for orders obtained and submitted orders for processing.
Achieved 170% of first 90 day quota, earning 2nd highest rookie quarter in 21 year company history.
Prioritized daily workflows, including all inbound calls, quotes and sales-related inquiries.
Emphasized product features based on analysis of customers' needs.
Inside Sales Representative Sep 2014 to May 2015 
Company Name ï¼​ City , State
Developed competitive comparison tables of steel grating pricing, fees, ratings, category and product performance to use for account sales
calls.
Created sales contacts with on- and off-premise accounts.
Built client relationships by acting as the liaison between the drafting and sales teams.
Consulted with clients after sales and contract signings to resolve problems and provide ongoing support.
Recruiter Feb 2007 to Oct 2014 
Company Name ï¼​ City , State
Developed creative recruiting strategies that met small to mid-sized broker dealer staffing needs.
Managed all aspects of advisor transition cycle, from initial set to on boarding.
Served as link between broker dealer and advisor by handling questions, interpreting contracts, and resolving transition issues.
Memberships/Scholarly Societies University of Houston- Downtown Analytics Society.
Skills
Business systems analysis, C++, cold calling, communication skills, competitive, contracts, credit, clientele, client, clients, Data Analyst, Data
Collection, database, drafting, features, Finance, financial, financial statements, Interpretation, Machine Learning, market, Excel, Money, MS
Office Suite, modeling, oil, outside sales, pricing, Coding, proposals, recruiting, research, sales, staffing, statistical analysis, Statistics, Tableau,
tables, telephone, underwriter"
12696104.pdf,SALES ASSOCIATE,"- Good at communicating and interacting with customers
- Good time management
-Â Self-motivation
- Good adaptability","2015
High School Diploma High School ï¼​ City , State
Suffolk County Community College ï¼​ State
Skills
- Good at communicating and interacting with customers
- Good time management
-Â Self-motivation
- Good adaptability"
12820557.pdf,SALES ASSOCIATE,"incentive programs and contests designed to support achievement of production goals. Worked independently and as part of a team to achieve
numerous objectives. Described use and operation of merchandise to customers. Received and processed cash and credit payments for in-store
purchases. Opened and closed the store, including counting cash, opening and closing cash registers and creating staff assignments. Used POS
systems to accurately take orders and receive payments.
Sales Associate 
March 2014 to February 2015 Company Name ï¼​ City , State Responsibilities Assist store management in merchandising the store in accordance
with company directed standards. Supervise the sales staff to generate sales through effective sales techniques and approved customer service
practices. Maintain current knowledge of the product and how to apply it while servicing the customer. Sell the Merchandise.Assist the Store
Manager and Assistant Manager to ensure the store is school and inventory account ready. Supervise the staff in the absence of the Store
Manager and Assistant Manage. Assist in the training of sales staff on company policies and procedures and in particular, selling techniques.
Ensure staff is well versed in company directed customer service practices. Comply with all company directed policies and procedures as they
relate to the store operations; receiving of merchandise, store opening and closing, cash register transactions, daily cash reconciliation and
incentive programs and contests designed to support achievement of production goals. Worked independently and as part of a team to achieve
numerous objectives. Described use and operation of merchandise to customers. Received and processed cash and credit payments for in-store
purchases. Opened and closed the store, including counting cash, opening and closing cash registers and creating staff assignments. Used POS
systems to accurately take orders and receive payments.
Team Member/Cashier 
February 2013 to December 2013 Company Name ï¼​ City , State Responsibilities Participated in various incentive programs and contests
designed to support achievement of production goals. Worked independently and as part of a team to achieve numerous objectives. Described use
and operation of merchandise to customers. Received and processed cash and credit payments for in-store purchases. Opened and closed the
store, including counting cash, opening and closing cash registers and creating staff assignments. Used POS systems to accurately take orders and
sales staff to generate sales through effective sales techniques and approved customer service practices. Maintain current knowledge of the
product and how to apply it while servicing the customer. Sell the Merchandise.Assist the Store Manager and Assistant Manager to ensure the
store is school and inventory account ready. Supervise the staff in the absence of the Store Manager and Assistant Manage. Assist in the training of
sales staff on company policies and procedures and in particular, selling techniques. Ensure staff is well versed in company directed customer
service practices. Comply with all company directed policies and procedures as they relate to the store operations; receiving of merchandise, store
opening and closing, cash register transactions, daily cash reconciliation and inventory control. Maintain security of the store and understand the
operations of the store security system.
Administrative Assistant/Receptionist 
August 2011 to January 2013 Company Name ï¼​ City , State Responsibilities Drafted meeting agendas, supplied advance materials and executed
follow-up for meetings and team conferences. Managed the receptionist area, including greeting visitors and responding to telephone and in-person
requests for information. Designed electronic file systems and maintained electronic and paper files. Maintained the front desk and reception area in
Mathematical aptitude Customer- and service-oriented MS Office proficient POS systems Exceptional customer service Cash handling accuracy
Excel spreadsheets Excellent communication skills Understands grammar Flexible schedule
Education
BA : Communications , 2018 University Of Phoenix ï¼​ City , State , US BA in Communications - Marketing And Sales University Of Phoenix -
Phoenix, AZ 2014 to 2018
Professional Affiliations
Team Member/Cashier
Presentations
team conferences
And Sales, Marketing, Sales, Cash, Customer Service, Point Of Sale, Pos, Pos Systems, Receptionist, Retail Sales, Cash Register, Closing,
Credit, Effective Sales, Generate Sales, Incentive Programs, Inventory, Inventory Control, Merchandising, Of Sales, Operations, Payments,
Reconciliation, Sales Staff, Sales Techniques, Sales Through, Security, Selling Techniques, The Sales, Training, Associate, Sales Associate,
Cashier, Client Relations","BA : Communications , 2018 University Of Phoenix ï¼​ City , State , US BA in Communications - Marketing And Sales University Of Phoenix -
Phoenix, AZ 2014 to 2018
Professional Affiliations
Team Member/Cashier
Presentations
team conferences
Skills
And Sales, Marketing, Sales, Cash, Customer Service, Point Of Sale, Pos, Pos Systems, Receptionist, Retail Sales, Cash Register, Closing,
Credit, Effective Sales, Generate Sales, Incentive Programs, Inventory, Inventory Control, Merchandising, Of Sales, Operations, Payments,
Reconciliation, Sales Staff, Sales Techniques, Sales Through, Security, Selling Techniques, The Sales, Training, Associate, Sales Associate,
Administrative Assistant, Cash Handling, Excel, Excellent Communication Skills, File, File Systems, Front Desk, Greeting, Ms Office, Telephone,
Cashier, Client Relations"
13178604.pdf,"MERCHANDISER, SALES","Sales, Benefits, Increase, Pediatric, Marketing, Account Executive, Clients, Of Sales, Sales Quotas, Solutions, Its, Closing, Award, Channel
Marketing, Internet Marketing, Major Accounts, Marketing Strategy, New Hires, Overall Sales, Quota, Sales Quota, Yellow Pages, Cold
Calling, Million, Retail, Retail Marketing, Training, And Marketing, For Sales, Key Accounts, Merchandising, Owned Sales, Point Of Sale, Pos,
Sales And, Sales Reps, Account Manager, Accounts To, Accounts With, And Sales, Coordinate Sales, Networking, New Account, Sales
Events, Sales Presentations, Sales Representatives, Territory, With Sales, In Sales, Sales For, Sales Meetings, Senior Sales, Top Sales, Account
Management, B To B, B2b, Lead Generation, Project Management","Bachelors of Arts : basketball leagues, skiing and exercise programs Marist College City , State , US Marist College, Poughkeepsie, NY
Bachelors of Arts ~ COMPETITIVE ACHIEVEMENTS ~ A sports guru and competitor actively involved in basketball leagues, skiing and
exercise programs. As a member of the Marist Ski Team competed against schools in Slalom and Giant Slalom events. As well as player on the
Marist Rugby Team competed against teams in its region. Competed on the NCC Speech and Debate Team. Traveled to Portland, Oregon,
placed NCC in 3rd place nationwide at the Phi-Ro-Pi National Championships and won multiple awards: âž¢ Dramatic Interpretation, Bronze of
88 competitors. âž¢ Parliamentary Debate, Bronze of 114 teams âž¢ Debate Team, Overall Bronze of 109 schools
Languages
French/Spanish
Professional Affiliations
FUNDRAISER AND EVENTS COORDINATOR, EXECUTIVE
Presentations
C-Level & Technical Presentations
Skills
Sales, Benefits, Increase, Pediatric, Marketing, Account Executive, Clients, Of Sales, Sales Quotas, Solutions, Its, Closing, Award, Channel
Marketing, Internet Marketing, Major Accounts, Marketing Strategy, New Hires, Overall Sales, Quota, Sales Quota, Yellow Pages, Cold
Calling, Million, Retail, Retail Marketing, Training, And Marketing, For Sales, Key Accounts, Merchandising, Owned Sales, Point Of Sale, Pos,
Sales And, Sales Reps, Account Manager, Accounts To, Accounts With, And Sales, Coordinate Sales, Networking, New Account, Sales
Events, Sales Presentations, Sales Representatives, Territory, With Sales, In Sales, Sales For, Sales Meetings, Senior Sales, Top Sales, Account
Management, B To B, B2b, Lead Generation, Project Management"
